DISTRICT,DISTNAME,DPETALLC,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
15835,GREAT HEARTS TEXAS,572,32,0,0,208,17,12,20,300,80
15836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,258,3,0,1,130,3,11,6,109,49
15901,ALAMO HEIGHTS ISD,4760,114,19,0,1918,57,76,333,2579,980
15904,HARLANDALE ISD,15270,15,15,0,14872,61,15,1420,290,13498
15905,EDGEWOOD ISD,11726,11,0,0,11491,140,11,1078,58,11034
15906,RANDOLPH FIELD ISD,1293,43,2,12,287,249,133,72,563,116
15907,SAN ANTONIO ISD,53701,107,53,0,48867,3436,214,5531,966,49190
15908,SOUTH SAN ANTONIO ISD,9953,9,9,9,9634,129,9,736,149,9206
15909,SOMERSET ISD,3932,0,7,7,3397,23,31,342,463,3125
15910,NORTH EAST ISD,67757,2439,203,135,39028,4946,2100,6098,19039,30626
15911,EAST CENTRAL ISD,9811,39,9,9,7073,784,117,1010,1785,6259
15912,SOUTHWEST ISD,13479,40,13,0,12198,390,107,1374,714,11160
15913,LACKLAND ISD,880,26,5,13,198,149,101,92,387,302
15914,FT SAM HOUSTON ISD,1513,40,12,16,432,295,146,196,568,449
15915,NORTHSIDE ISD,102950,3191,102,308,70417,6485,2882,11221,19663,52710
15916,JUDSON ISD,23292,442,69,93,12973,5240,768,2282,3726,14743
15917,SOUTHSIDE ISD,5332,15,5,0,4814,63,21,549,415,4158
16901,JOHNSON CITY ISD,679,2,6,0,196,0,14,74,456,266
16902,BLANCO ISD,995,0,2,0,384,7,19,89,580,507
17901,BORDEN COUNTY ISD,249,0,3,0,42,1,8,16,191,60
18901,CLIFTON ISD,1022,12,8,0,337,25,32,106,606,553
18902,MERIDIAN ISD,493,1,0,0,164,13,16,61,295,309
18903,MORGAN ISD,108,0,0,0,66,0,4,19,34,104
18904,VALLEY MILLS ISD,620,3,1,0,159,19,13,78,424,383
18905,WALNUT SPRINGS ISD,172,0,1,0,100,0,0,20,70,142
18906,IREDELL ISD,134,0,0,0,36,0,2,13,93,69
18907,KOPPERL ISD,232,0,0,0,21,5,2,31,203,164
18908,CRANFILLS GAP ISD,125,0,0,0,36,1,2,13,86,83
19901,DEKALB ISD,801,0,8,0,93,155,36,89,507,535
19902,HOOKS ISD,857,0,4,0,76,114,65,95,597,475
