DISTRICT,Year,ALL-DAE,ALL-DAE-S,ALL-EXP,ALL-EXP-S,ALL-ISS,ALL-ISS-S,ALL-OSS,ALL-OSS-S,ALL-POP,ASI-DAE,ASI-DAE-S,ASI-EXP,ASI-EXP-S,ASI-ISS,ASI-ISS-S,ASI-OSS,ASI-OSS-S,ASI-POP,BLA-DAE,BLA-DAE-S,BLA-EXP,BLA-EXP-S,BLA-ISS,BLA-ISS-S,BLA-OSS,BLA-OSS-S,BLA-POP,ECO-DAE,ECO-DAE-S,ECO-EXP,ECO-EXP-S,ECO-ISS,ECO-ISS-S,ECO-OSS,ECO-OSS-S,ECO-POP,HIS-DAE,HIS-DAE-S,HIS-EXP,HIS-EXP-S,HIS-ISS,HIS-ISS-S,HIS-OSS,HIS-OSS-S,HIS-POP,IND-DAE,IND-DAE-S,IND-EXP,IND-EXP-S,IND-ISS,IND-ISS-S,IND-OSS,IND-OSS-S,IND-POP,PCI-DAE,PCI-DAE-S,PCI-EXP,PCI-EXP-S,PCI-ISS,PCI-ISS-S,PCI-OSS,PCI-OSS-S,PCI-POP,SPE-DAE,SPE-DAE-S,SPE-EXP,SPE-EXP-S,SPE-ISS,SPE-ISS-S,SPE-OSS,SPE-OSS-S,SPE-POP,TWO-DAE,TWO-DAE-S,TWO-EXP,TWO-EXP-S,TWO-ISS,TWO-ISS-S,TWO-OSS,TWO-OSS-S,TWO-POP,WHI-DAE,WHI-DAE-S,WHI-EXP,WHI-EXP-S,WHI-ISS,WHI-ISS-S,WHI-OSS,WHI-OSS-S,WHI-POP
15819,2006,,-6,,-2,9,-6,83,-6,1077,,0,,0,,-6,,-6,1077,,0,,0,1,-2,49,4,474,,0,,0,1,-5,45,-3,703,,0,,0,1,-1,13,-4,312,,0,,0,,-6,,-6,1077,,,,,,,,,1077,,0,,0,1,1,15,5,65,,,,,,,,,1077,,0,,0,5,2,21,-1,280
15820,2006,,-5,,-1,,-6,13,-6,320,,0,,0,,0,,-6,320,,0,,0,,0,1,1,19,,0,,0,1,0,10,-3,306,,0,,0,1,1,12,2,250,,0,,0,,0,,-6,320,,,,,,,,,320,,0,,0,,0,7,3,64,,,,,,,,,320,,0,,0,,0,,-2,51
15822,2006,,-6,,-1,22,-6,57,-2,525,,0,,0,,-6,,-6,525,,0,,0,,-2,1,-3,47,,0,,0,14,-2,42,-1,393,,0,,0,16,-1,48,2,410,,0,,0,,-6,,-6,525,,,,,,,,,525,,0,,0,7,3,14,4,58,,,,,,,,,525,,0,,0,6,2,8,1,63
15825,2006,,-4,,-1,105,5,29,1,201,,0,,0,,-6,,-6,201,,0,1,1,98,5,25,2,153,,0,1,1,78,2,16,-2,132,,0,,0,1,-6,1,-2,34,,0,,0,,-6,,-6,201,,,,,,,,,201,,0,1,2,28,5,10,4,22,,,,,,,,,201,,0,,0,1,-3,1,-1,14
15826,2006,,-5,,-1,,-6,,-6,246,,0,,0,,0,,0,246,,,,,,,,,0,,0,,0,,0,,0,196,,0,,0,,0,,0,234,,0,,0,,0,,0,246,,,,,,,,,246,,0,,0,,0,,0,25,,,,,,,,,246,,0,,0,,0,,0,10
15827,2006,,-5,,-1,,-6,,-6,279,,0,,0,,0,,0,279,,0,,0,,0,1,2,31,,0,,0,1,1,1,1,114,,0,,0,1,1,16,5,145,,0,,0,,0,,0,279,,,,,,,,,279,,0,,0,,0,,0,14,,,,,,,,,279,,0,,0,1,1,1,1,95
21803,2006,,-6,,-1,,-6,,-6,489,,0,,0,,0,,0,489,,0,,0,,0,,0,205,,0,,0,,0,,0,459,,0,,0,,0,,0,220,,0,,0,,0,,0,489,,,,,,,,,489,,0,,0,,0,,0,24,,,,,,,,,489,,0,,0,,0,,0,64
46802,2006,,-6,,-1,88,-6,,-6,435,,0,,0,,-6,,0,435,,0,,0,30,2,,0,122,,0,,0,46,-6,,0,433,,0,,0,20,-1,,0,104,,0,,0,8,-6,,0,435,,,,,,,,,435,,0,,0,83,-2,,0,422,,,,,,,,,435,,0,,0,30,-3,,0,204
57802,2006,,-5,,-1,,-6,24,-3,285,,0,,0,1,0,,-6,285,,0,,0,1,1,12,2,86,,0,,0,1,1,7,-5,199,,0,,0,,0,7,-5,185,,0,,0,,0,,-6,285,,,,,,,,,285,,0,,0,,0,5,1,48,,,,,,,,,285,,0,,0,,0,5,3,14
57803,2006,,-6,,-2,,-6,14,-6,975,,0,,0,,0,1,-6,975,,0,,0,,0,1,1,68,,,,,,,,,0,,0,,0,,0,,-1,98,,0,,0,,0,,-6,975,,,,,,,,,975,,0,,0,,0,1,1,49,,,,,,,,,975,,0,,0,,0,9,2,390
