DISTRICT,DISTNAME,DPETALLC,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
29901,CALHOUN COUNTY ISD,4172,221,12,0,2628,87,33,346,1189,2515
30901,CROSS PLAINS ISD,349,2,1,0,38,0,1,40,307,194
30902,CLYDE CISD,1465,7,4,1,200,21,29,143,1201,716
30903,BAIRD ISD,336,1,0,0,56,2,5,36,272,224
30906,EULA ISD,397,3,1,0,57,3,11,38,319,210
31901,BROWNSVILLE ISD,47669,95,0,0,47049,47,0,5005,476,45142
31903,HARLINGEN CISD,18650,93,18,0,17213,74,37,1697,1193,13968
31905,LA FERIA ISD,3634,0,3,0,3481,3,14,305,130,3023
31906,LOS FRESNOS CISD,10872,21,10,0,10513,21,10,858,282,8512
31909,POINT ISABEL ISD,2524,15,2,0,2311,10,10,232,174,2072
31911,RIO HONDO ISD,2138,0,2,0,2046,2,0,188,85,1860
31912,SAN BENITO CISD,10885,0,0,0,10776,10,10,859,87,8849
31913,SANTA MARIA ISD,692,0,0,0,683,0,0,47,6,667
31914,SANTA ROSA ISD,1131,0,0,0,1114,1,1,95,14,973
31916,SOUTH TEXAS ISD,3589,355,0,0,2975,35,35,64,186,1945
32902,PITTSBURG ISD,2468,24,12,0,967,431,64,234,964,1910
33901,GROOM ISD,148,0,0,0,18,2,0,18,126,47
33902,PANHANDLE ISD,650,1,7,1,59,9,7,55,564,152
33904,WHITE DEER ISD,376,0,1,0,42,0,1,30,330,165
34901,ATLANTA ISD,1754,8,5,1,136,585,57,166,957,1141
34902,AVINGER ISD,145,1,0,0,7,26,15,11,92,119
34903,HUGHES SPRINGS ISD,1243,2,2,1,119,154,49,100,913,686
34905,LINDEN-KILDARE CISD,712,5,0,0,57,150,26,84,469,507
34906,MCLEOD ISD,353,2,2,0,2,4,4,32,337,118
34907,QUEEN CITY ISD,1010,6,10,0,28,128,43,87,794,570
34909,BLOOMBURG ISD,274,4,4,0,9,9,1,21,246,155
35901,DIMMITT ISD,1203,6,1,0,1034,18,2,80,139,1070
35902,HART ISD,256,0,0,0,240,5,2,17,8,229
35903,NAZARETH ISD,231,0,5,0,23,2,0,15,200,30
36901,ANAHUAC ISD,1298,20,6,0,389,172,40,103,668,755
36902,BARBERS HILL ISD,5079,40,35,5,1117,162,96,360,3621,873
36903,EAST CHAMBERS ISD,1457,14,0,0,603,107,23,132,708,817
37901,ALTO ISD,643,1,0,0,212,158,27,66,241,444
37904,JACKSONVILLE ISD,4973,19,24,4,2501,810,134,427,1476,3883
37907,RUSK ISD,2162,2,2,0,335,311,67,237,1442,1312
37908,NEW SUMMERFIELD ISD,547,2,1,0,449,20,2,35,71,526
37909,WELLS ISD,283,0,0,0,31,22,13,26,215,187
38901,CHILDRESS ISD,1134,17,11,3,436,47,15,106,602,605
39902,HENRIETTA ISD,963,1,11,0,75,9,27,121,835,393
39903,PETROLIA CISD,513,1,9,1,69,3,12,51,416,262
39904,BELLEVUE ISD,145,0,1,0,10,3,6,15,123,70
39905,MIDWAY ISD,104,0,0,0,3,0,0,16,100,55
40901,MORTON ISD,419,0,0,0,372,7,2,31,35,390
40902,WHITEFACE CISD,343,0,2,0,174,12,1,40,152,194
41901,BRONTE ISD,262,0,0,0,95,1,1,25,165,128
41902,ROBERT LEE ISD,289,0,0,0,113,4,2,41,167,175
42901,COLEMAN ISD,916,6,4,0,242,23,19,106,619,580
42903,SANTA ANNA ISD,255,0,3,0,60,8,13,23,169,196
42905,PANTHER CREEK CISD,150,1,0,0,31,1,1,15,114,24
43801,IMAGINE INTERNATIONAL ACADEMY OF N,1192,288,15,3,160,132,54,60,537,83
43901,ALLEN ISD,20739,3587,124,62,2613,2426,933,2094,10991,3090
43902,ANNA ISD,3051,21,21,0,958,280,125,289,1644,1379
43903,CELINA ISD,2349,16,23,0,570,79,93,176,1564,584
43904,FARMERSVILLE ISD,1559,7,10,0,520,49,32,159,936,824
43905,FRISCO ISD,53130,11104,318,53,7331,5525,1753,4622,27043,5738
43907,MCKINNEY ISD,24626,985,123,73,6944,3275,689,2437,12559,7560
43908,MELISSA ISD,2327,23,23,2,414,144,74,193,1645,388
43910,PLANO ISD,54322,12385,162,54,12928,6518,1955,5649,20316,15590
43911,PRINCETON ISD,3859,23,19,3,1728,219,115,416,1748,2080
43912,PROSPER ISD,8254,297,49,8,1031,602,387,602,5868,553
43914,WYLIE ISD,14562,1252,101,43,3174,2038,465,1325,7484,3960
43917,BLUE RIDGE ISD,699,0,4,0,157,0,16,51,520,389
43918,COMMUNITY ISD,1916,24,11,1,586,107,49,174,1134,837
43919,LOVEJOY ISD,3925,227,27,3,317,82,160,270,3108,109
44902,WELLINGTON ISD,593,0,0,0,304,17,8,49,262,354
45902,COLUMBUS ISD,1596,7,4,0,665,210,27,178,681,940
45903,RICE CISD,1316,3,2,0,729,261,17,153,301,975
45905,WEIMAR ISD,635,1,0,0,262,76,19,57,274,299
46802,TRINITY CHARTER SCHOOL,496,0,1,0,224,67,10,179,189,496
46901,NEW BRAUNFELS ISD,8438,75,25,8,4024,160,160,632,3991,3071
46902,COMAL ISD,21090,295,63,21,8098,463,548,2024,11599,6137
47901,COMANCHE ISD,1336,8,5,0,674,5,12,124,629,865
47902,DE LEON ISD,672,2,2,0,217,2,10,67,434,397
47903,GUSTINE ISD,194,0,0,0,133,0,5,27,56,156
47905,SIDNEY ISD,140,0,0,0,29,0,0,14,109,91
48901,EDEN CISD,245,0,0,0,167,0,0,27,76,166
48903,PAINT ROCK ISD,252,0,0,0,123,2,6,27,119,202
49901,GAINESVILLE ISD,2855,19,17,2,1655,177,131,222,850,2284
49902,MUENSTER ISD,477,4,3,0,11,0,9,62,445,72
49903,VALLEY VIEW ISD,774,3,2,0,195,0,17,89,554,380
49905,CALLISBURG ISD,1131,1,12,0,139,10,20,98,947,475
49906,ERA ISD,482,2,7,0,57,0,11,32,401,161
49907,LINDSAY ISD,490,8,2,0,16,0,5,23,455,56
49908,WALNUT BEND ISD,83,0,0,0,16,0,0,1,65,53
49909,SIVELLS BEND ISD,73,0,2,0,10,1,1,5,57,48
50901,EVANT ISD,237,0,1,0,62,0,0,13,173,147
50902,GATESVILLE ISD,2839,19,19,0,618,65,124,352,1990,1467
50904,OGLESBY ISD,165,0,0,0,49,0,4,14,110,95
50909,JONESBORO ISD,219,0,0,0,35,1,3,22,178,86
50910,COPPERAS COVE ISD,7995,127,47,135,1942,1471,735,751,3541,4325
51901,PADUCAH ISD,204,0,0,0,83,22,4,25,95,137
52901,CRANE ISD,1146,1,2,0,869,25,4,87,242,484
53001,CROCKETT COUNTY CONSOLIDATED CSD,826,1,9,0,618,4,1,58,189,421
54901,CROSBYTON CISD,387,0,0,0,275,20,0,35,90,287
54902,LORENZO ISD,298,0,0,0,241,14,0,42,42,233
54903,RALLS ISD,581,1,0,0,445,4,1,62,128,478
55901,CULBERSON COUNTY-ALLAMOORE ISD,436,3,0,2,384,0,9,29,36,323
56901,DALHART ISD,1753,12,5,0,964,19,22,126,729,969
56902,TEXLINE ISD,175,0,1,0,84,4,0,16,85,116
57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,646,3,1,0,454,158,7,58,20,500
57803,UPLIFT EDUCATION,13959,1130,27,0,9380,2568,237,851,614,10399
57804,TEXANS CAN ACADEMIES,4468,17,4,0,3006,1318,13,428,111,4199
57805,LUMIN EDUCATION,281,0,0,0,205,10,12,19,53,186
57806,ADVANTAGE ACADEMY,1833,20,5,3,1129,386,25,111,260,1385
57807,LIFE SCHOOL,5364,37,16,5,1786,2531,155,375,831,3052
57808,UNIVERSAL ACADEMY,1985,1016,19,0,579,307,25,37,35,657
57809,NOVA ACADEMY,197,0,0,0,95,93,3,7,2,187
57810,ACADEMY OF DALLAS,604,0,0,0,135,466,0,59,1,588
57811,CHILDREN FIRST ACADEMY OF DALLAS,783,0,0,0,24,756,0,14,2,783
57813,TRINITY BASIN PREPARATORY,2353,30,7,0,2211,77,4,152,23,2148
57814,ACADEMY FOR ACADEMIC EXCELLENCE,486,1,2,0,224,220,1,97,34,486
57816,A W BROWN-FELLOWSHIP LEADERSHIP AC,2161,2,0,6,62,2076,4,108,8,1795
57817,FOCUS LEARNING ACADEMY,1155,0,0,0,66,1083,2,158,3,1155
57819,JEAN MASSIEU ACADEMY,195,0,0,0,141,36,2,13,13,187
57827,NOVA ACADEMY (SOUTHEAST),766,0,0,0,462,294,0,45,6,684
57828,WINFREE ACADEMY CHARTER SCHOOLS,1380,15,12,2,561,361,31,161,394,924
57829,A+ ACADEMY,940,0,0,0,862,30,15,106,31,854
57830,INSPIRED VISION ACADEMY,1118,1,1,1,1003,90,4,112,15,1028
57831,GATEWAY CHARTER ACADEMY,747,0,2,0,15,719,5,70,5,516
57832,ALPHA CHARTER SCHOOL,132,1,1,0,62,41,5,24,20,121
57833,EDUCATION CENTER INTERNATIONAL ACA,381,43,0,0,97,91,4,36,144,156
57834,EVOLUTION ACADEMY CHARTER SCHOOL,795,3,7,11,282,395,8,77,85,457
57835,GOLDEN RULE CHARTER SCHOOL,1526,7,0,1,1382,114,1,59,19,1461
57836,ST ANTHONY SCHOOL,316,0,0,0,8,305,0,22,0,220
57837,KIPP DALLAS-FORT WORTH,1234,0,0,0,436,753,7,71,34,1106
57839,LA ACADEMIA DE ESTRELLAS,1126,0,0,1,1102,9,2,106,12,1011
57840,RICHLAND COLLEGIATE HIGH SCHOOL,511,112,1,1,127,104,11,3,152,100
57841,CITYSCAPE SCHOOLS,520,0,3,0,413,45,6,29,52,498
57844,MANARA ACADEMY,873,301,0,0,52,213,19,52,286,428
57845,UME PREPARATORY ACADEMY,429,23,0,2,115,42,11,20,233,118
57846,LEGACY PREPARATORY,1187,28,0,0,716,258,17,73,163,790
57847,VILLAGE TECH SCHOOLS,725,10,0,0,237,216,36,23,221,219
57848,INTERNATIONAL LEADERSHIP OF TEXAS,5030,367,25,10,2525,799,135,266,1171,2218
57849,TRINITY ENVIRONMENTAL ACADEMY,143,0,1,0,22,110,3,14,6,128
57903,CARROLLTON-FARMERS BRANCH ISD,25724,2675,77,25,14405,4270,617,2546,3652,16669
57904,CEDAR HILL ISD,8018,104,24,8,1820,5380,216,657,473,5131
57905,DALLAS ISD,158495,2218,475,158,111104,35819,950,11570,7766,139158
57906,DESOTO ISD,9716,29,19,9,1797,7452,155,923,272,6976
57907,DUNCANVILLE ISD,12761,204,102,25,6610,5117,153,1174,561,9596
57909,GARLAND ISD,57418,4823,976,57,28594,10105,1263,4708,11655,37666
57910,GRAND PRAIRIE ISD,29309,908,117,29,18845,5334,498,2549,3546,21483
57911,HIGHLAND PARK ISD,7054,395,21,7,338,42,141,571,6101,0
57912,IRVING ISD,34872,1150,523,69,25142,4498,348,2545,3103,27548
57913,LANCASTER ISD,7315,7,51,0,1411,5610,73,592,153,6312
57914,MESQUITE ISD,40718,610,203,40,22639,10260,855,3949,6148,30619
57916,RICHARDSON ISD,38671,2706,154,38,15275,8120,1044,4060,11291,21810
57919,SUNNYVALE ISD,1633,370,3,1,160,171,65,145,860,261
57922,COPPELL ISD,11851,4835,47,11,1564,545,308,616,4538,1042
58902,DAWSON ISD,176,0,1,0,90,0,0,11,83,86
58905,KLONDIKE ISD,267,6,1,0,91,2,2,10,162,84
58906,LAMESA ISD,2034,8,4,2,1663,71,14,183,268,1673
58909,SANDS CISD,255,2,3,0,119,0,2,19,129,144
59901,HEREFORD ISD,4244,12,8,0,3705,25,16,309,471,3501
59902,WALCOTT ISD,138,0,0,0,105,0,0,8,32,85
60902,COOPER ISD,801,4,8,0,84,76,28,75,599,463
60914,FANNINDEL ISD,172,6,1,0,8,54,7,27,95,142
61802,NORTH TEXAS COLLEGIATE ACADEMY,380,1,0,0,180,58,15,36,123,278
61804,LEADERSHIP PREP SCHOOL,595,227,1,0,73,36,20,51,236,20
61901,DENTON ISD,27296,764,191,54,8216,3684,545,2866,13839,11464
61902,LEWISVILLE ISD,53396,6941,266,53,15164,5392,1815,5392,23761,17407
61903,PILOT POINT ISD,1392,8,12,4,595,36,26,104,708,768
61905,KRUM ISD,2055,8,8,0,540,51,49,219,1395,733
61906,PONDER ISD,1273,3,5,1,263,17,21,96,959,507
61907,AUBREY ISD,2315,13,16,0,393,134,43,180,1713,678
61908,SANGER ISD,2686,21,26,2,658,80,94,268,1802,1203
61910,ARGYLE ISD,2227,28,8,0,216,22,48,182,1901,224
61911,NORTHWEST ISD,20900,668,104,41,4326,1442,543,1692,13773,3908
61912,LAKE DALLAS ISD,3958,94,35,3,1096,308,213,415,2208,1511
61914,LITTLE ELM ISD,7171,186,21,14,2897,1089,250,544,2710,3126
62901,CUERO ISD,2166,6,4,0,946,279,51,225,875,1160
62902,NORDHEIM ISD,159,0,0,0,66,4,0,18,86,76
62903,YOAKUM ISD,1621,6,0,0,1024,136,21,204,434,1181
62904,YORKTOWN ISD,516,0,1,0,262,12,3,57,236,309
62905,WESTHOFF ISD,68,0,0,0,35,4,0,5,28,43
62906,MEYERSVILLE ISD,109,0,0,0,13,0,0,5,93,26
63903,SPUR ISD,272,0,0,0,109,7,4,26,149,136
63906,PATTON SPRINGS ISD,114,0,0,0,46,0,0,19,67,101
64903,CARRIZO SPRINGS CISD,2311,16,0,0,2170,11,6,157,103,1308
65901,CLARENDON ISD,480,1,0,2,58,49,14,48,351,272
65902,HEDLEY ISD,136,0,2,0,39,2,0,8,93,107
66005,RAMIREZ CSD,34,0,0,0,34,0,0,4,0,34
66901,BENAVIDES ISD,361,0,0,0,358,0,0,44,2,273
66902,SAN DIEGO ISD,1378,0,1,0,1361,0,0,111,16,1000
66903,FREER ISD,804,3,0,0,733,0,3,102,62,553
67902,CISCO ISD,868,6,6,0,157,5,25,92,668,475
67903,EASTLAND ISD,1095,7,4,0,314,17,16,114,734,605
67904,GORMAN ISD,322,0,0,0,122,0,9,39,189,228
67907,RANGER ISD,426,0,2,0,89,19,5,60,307,313
67908,RISING STAR ISD,160,0,0,0,31,0,2,8,127,112
68802,COMPASS ACADEMY CHARTER SCHOOL,673,2,2,0,240,10,6,45,411,142
68803,UTPB STEM ACADEMY,323,0,0,0,92,10,10,17,209,31
68901,ECTOR COUNTY ISD,31434,282,94,62,23544,1225,282,2326,5941,16251
69901,ROCKSPRINGS ISD,265,0,0,0,218,0,0,31,46,202
69902,NUECES CANYON CISD,291,0,0,0,130,0,2,29,155,188
70801,WAXAHACHIE FAITH FAMILY ACADEMY,2566,5,2,0,1629,751,10,120,166,2122
70901,AVALON ISD,379,0,0,1,119,4,1,48,253,206
70903,ENNIS ISD,5799,23,11,17,3253,719,63,614,1716,3949
70905,FERRIS ISD,2497,2,7,0,1745,162,19,264,559,1977
70907,ITALY ISD,573,1,1,0,197,75,18,63,279,347
70908,MIDLOTHIAN ISD,8125,105,40,8,1706,398,243,723,5622,1771
70909,MILFORD ISD,255,0,0,0,72,57,22,31,100,194
70910,PALMER ISD,1162,4,3,0,469,18,17,161,649,599
70911,RED OAK ISD,5823,46,40,5,1944,1205,139,623,2439,2614
70912,WAXAHACHIE ISD,8107,40,32,8,2821,956,218,899,4029,3818
70915,MAYPEARL ISD,1062,7,5,1,178,14,21,88,834,379
71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,1031,23,2,1,888,29,4,46,81,535
71803,PASO DEL NORTE ACADEMY CHARTER DIS,241,0,0,0,239,0,0,15,0,232
71804,EL PASO ACADEMY,362,1,0,0,341,2,0,27,18,270
71806,HARMONY SCIENCE ACAD (EL PASO),2691,18,5,0,2206,145,32,199,282,1821
71807,LA FE PREPARATORY SCHOOL,262,0,0,0,259,0,0,14,2,247
71809,VISTA DEL FUTURO CHARTER SCHOOL,364,2,0,0,318,12,6,26,22,180
71810,EL PASO LEADERSHIP ACADEMY,181,1,1,1,165,3,1,17,7,135
71901,CLINT ISD,11669,11,23,0,11062,58,58,816,443,10105
71902,EL PASO ISD,59772,717,119,239,49849,2211,836,6156,5917,42199
71903,FABENS ISD,2364,0,0,0,2337,2,2,255,21,2163
71904,SAN ELIZARIO ISD,3955,0,0,0,3927,3,0,320,19,3753
71905,YSLETA ISD,42232,84,84,42,39529,633,211,4983,1647,31842
71906,ANTHONY ISD,838,0,0,0,803,3,3,87,27,834
