DISTRICT,DISTNAME,DPETALLC,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
1902,CAYUGA ISD,568,3,0,0,39,23,28,77,470,191
1903,ELKHART ISD,1244,11,1,2,119,67,32,144,1012,680
1904,FRANKSTON ISD,841,5,4,0,85,74,31,68,638,475
1906,NECHES ISD,383,3,0,0,44,32,8,42,296,163
1907,PALESTINE ISD,3385,27,6,0,1394,913,94,287,944,2508
1908,WESTWOOD ISD,1609,8,9,0,384,286,64,159,857,1010
1909,SLOCUM ISD,414,0,2,0,21,9,9,53,370,197
2901,ANDREWS ISD,3968,15,11,0,2674,43,71,257,1154,1575
3801,PINEYWOODS COMMUNITY ACADEMY,966,22,0,1,189,166,17,57,569,451
3902,HUDSON ISD,2778,22,19,0,666,183,47,211,1836,1486
3903,LUFKIN ISD,8243,140,16,8,3288,2365,156,865,2266,6017
3904,HUNTINGTON ISD,1699,1,8,1,110,37,44,149,1493,883
3905,DIBOLL ISD,1878,5,5,1,1021,215,24,210,606,1316
3906,ZAVALLA ISD,419,0,5,0,18,5,10,56,380,258
3907,CENTRAL ISD,1583,1,6,0,307,90,31,166,1147,856
4901,ARANSAS COUNTY ISD,3399,64,10,3,1393,54,81,329,1794,1845
5901,ARCHER CITY ISD,460,1,3,0,40,5,26,51,384,187
5902,HOLLIDAY ISD,945,1,5,0,74,2,17,71,841,226
5904,WINDTHORST ISD,439,0,3,0,119,0,0,35,313,148
6902,CLAUDE ISD,353,0,2,0,43,9,9,42,288,156
7901,CHARLOTTE ISD,496,0,0,0,444,0,0,60,49,335
7902,JOURDANTON ISD,1609,3,1,0,942,12,17,138,630,844
7904,LYTLE ISD,1672,0,6,3,1337,16,11,118,295,1225
7905,PLEASANTON ISD,3507,14,10,3,2461,14,28,287,978,1858
7906,POTEET ISD,1786,3,1,0,1518,7,7,150,248,1257
8901,BELLVILLE ISD,2208,8,6,0,651,203,44,185,1293,1020
8902,SEALY ISD,2839,14,2,2,1365,269,51,252,1129,1524
8903,BRAZOS ISD,795,4,0,0,386,70,20,62,311,457
9901,MULESHOE ISD,1467,8,1,0,1229,2,1,165,221,1230
10901,MEDINA ISD,287,0,0,0,55,12,6,35,212,171
10902,BANDERA ISD,2202,11,6,0,709,8,39,229,1424,1112
11901,BASTROP ISD,10253,51,30,0,6438,502,256,1076,2973,6674
11902,ELGIN ISD,4299,17,4,4,2635,558,90,369,984,3254
11904,SMITHVILLE ISD,1781,7,5,1,568,135,58,147,1004,1070
11905,MCDADE ISD,221,0,0,0,118,1,1,13,99,154
12901,SEYMOUR ISD,594,2,2,0,112,13,29,58,433,298
13801,ST MARY'S ACADEMY CHARTER SCHOOL,442,10,0,0,355,8,3,26,63,350
13901,BEEVILLE ISD,3373,10,3,3,2799,97,33,330,424,2553
13902,PAWNEE ISD,335,1,1,0,266,12,1,19,52,285
13903,PETTUS ISD,431,0,2,0,271,9,6,43,141,284
13905,SKIDMORE-TYNAN ISD,840,10,3,1,546,10,5,72,262,483
14801,RICHARD MILBURN ALTER HIGH SCHOOL,2020,6,6,2,1161,286,26,218,529,1258
14803,PRIORITY CHARTER SCHOOLS,1030,29,6,10,284,161,52,96,485,538
14804,ORENDA CHARTER SCHOOL,1381,42,1,1,267,81,52,120,933,168
14901,ACADEMY ISD,1410,14,9,2,313,56,31,88,982,565
14902,BARTLETT ISD,369,1,1,0,232,33,8,40,91,277
14903,BELTON ISD,10828,194,64,21,3464,714,411,1126,5955,4991
14905,HOLLAND ISD,677,0,0,0,199,16,8,56,452,318
14906,KILLEEN ISD,43204,1036,259,734,12485,14732,3197,4752,10757,24410
14907,ROGERS ISD,879,5,2,0,246,21,5,62,598,406
14908,SALADO ISD,1662,16,3,1,370,19,43,99,1206,417
14909,TEMPLE ISD,8599,154,34,17,3663,2373,275,773,2089,6518
14910,TROY ISD,1483,7,7,1,394,16,26,152,1030,717
15801,POR VIDA ACADEMY,322,0,0,0,290,5,0,39,25,247
15802,GEORGE GERVIN ACADEMY,1304,3,1,2,856,382,16,53,40,1301
15805,NEW FRONTIERS CHARTER SCHOOL,707,0,0,0,673,11,0,50,21,598
15806,SCHOOL OF EXCELLENCE IN EDUCATION,1095,3,0,3,744,301,16,83,27,973
15807,SOUTHWEST PREPARATORY SCHOOL,891,0,0,1,692,125,16,90,52,719
15808,JOHN H WOOD JR PUBLIC CHARTER DIST,799,11,2,0,365,96,28,202,293,520
15809,BEXAR COUNTY ACADEMY,444,0,0,0,413,14,0,58,15,391
15814,POSITIVE SOLUTIONS CHARTER SCHOOL,163,0,0,0,153,5,0,19,4,147
15815,RADIANCE ACADEMY OF LEARNING,501,46,2,0,375,36,5,26,36,359
15816,ACADEMY OF CAREERS AND TECHNOLOGIE,190,0,0,0,144,23,2,11,19,126
15819,SHEKINAH RADIANCE ACADEMY,486,2,0,1,151,150,21,40,156,368
15820,SAN ANTONIO SCHOOL FOR INQUIRY & C,515,0,1,1,431,19,5,58,58,508
15822,JUBILEE ACADEMIC CENTER,4598,68,9,0,3568,372,101,298,478,2928
15825,LIGHTHOUSE CHARTER SCHOOL,287,0,0,0,247,20,2,24,16,249
15826,KIPP SAN ANTONIO,2442,4,2,0,2317,61,4,192,48,2114
15827,SCHOOL OF SCIENCE AND TECHNOLOGY,863,37,0,0,477,96,51,62,197,503
15828,HARMONY SCIENCE ACAD (SAN ANTONIO),3509,52,3,3,2866,242,56,175,280,2537
15830,BROOKS ACADEMY OF SCIENCE AND ENGI,1785,14,1,1,1576,33,5,78,151,1147
15831,SCHOOL OF SCIENCE AND TECHNOLOGY D,1176,41,1,0,843,76,23,90,190,711
15833,HENRY FORD ACADEMY ALAMEDA SCHOOL,126,0,2,0,100,5,0,13,19,70
15834,BASIS TEXAS,1305,378,3,5,437,44,57,15,378,87
15835,GREAT HEARTS TEXAS,2009,253,0,2,640,62,96,66,954,293
15836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,280,8,0,0,152,5,8,5,103,40
15837,CARPE DIEM SCHOOLS,244,0,0,0,190,11,2,40,39,150
15901,ALAMO HEIGHTS ISD,4808,158,19,0,1961,76,19,312,2577,985
15904,HARLANDALE ISD,15080,15,0,0,14733,45,15,1342,271,13014
15905,EDGEWOOD ISD,11279,11,0,0,11042,157,22,1094,56,10399
15906,RANDOLPH FIELD ISD,1357,39,4,14,297,237,150,96,614,119
15907,SAN ANTONIO ISD,53035,159,53,0,48155,3394,212,5409,1060,48898
15908,SOUTH SAN ANTONIO ISD,9849,9,9,9,9553,108,9,758,137,8952
15909,SOMERSET ISD,3981,3,11,3,3467,19,27,366,449,3160
15910,NORTH EAST ISD,67501,2497,202,135,39218,4927,2160,6345,18427,31252
15911,EAST CENTRAL ISD,10075,40,10,10,7334,866,141,1017,1682,6589
15912,SOUTHWEST ISD,13661,40,13,0,12349,396,122,1434,724,11188
15913,LACKLAND ISD,961,19,2,11,206,172,98,107,447,353
15914,FT SAM HOUSTON ISD,1582,47,11,12,471,300,150,183,588,471
15915,NORTHSIDE ISD,104437,3341,104,313,71226,6683,2819,11488,19843,53158
15916,JUDSON ISD,23251,418,46,69,13160,5115,790,2394,3627,15113
15917,SOUTHSIDE ISD,5582,11,5,5,5029,83,27,580,429,4515
16901,JOHNSON CITY ISD,695,2,6,0,200,0,13,68,471,255
16902,BLANCO ISD,990,0,1,0,398,8,15,85,564,488
17901,BORDEN COUNTY ISD,243,0,0,0,45,1,8,16,185,53
18901,CLIFTON ISD,964,10,8,0,319,27,32,102,563,528
18902,MERIDIAN ISD,476,1,0,0,158,16,15,59,284,300
18903,MORGAN ISD,134,0,2,0,79,2,4,25,45,120
18904,VALLEY MILLS ISD,617,1,0,0,154,22,12,72,425,333
18905,WALNUT SPRINGS ISD,187,0,0,0,103,0,0,22,80,154
18906,IREDELL ISD,134,0,0,0,34,0,2,13,97,73
18907,KOPPERL ISD,223,0,0,0,20,2,2,24,198,146
18908,CRANFILLS GAP ISD,130,0,0,0,34,1,4,14,89,82
19901,DEKALB ISD,789,0,8,0,90,149,30,88,508,512
19902,HOOKS ISD,873,0,2,0,78,122,62,90,605,481
19903,MAUD ISD,478,0,2,0,10,42,20,53,402,269
19905,NEW BOSTON ISD,1356,12,2,1,88,283,119,180,847,839
19906,REDWATER ISD,1133,7,3,0,29,35,15,99,1041,412
19907,TEXARKANA ISD,7058,77,35,7,1016,3183,324,670,2420,4827
19908,LIBERTY-EYLAU ISD,2612,2,7,10,148,1334,122,336,982,2134
19909,SIMMS ISD,502,0,4,0,20,0,12,80,465,277
19910,MALTA ISD,119,0,2,0,9,0,7,9,99,59
19911,RED LICK ISD,509,2,4,0,18,7,13,31,464,46
19912,PLEASANT GROVE ISD,2143,75,8,8,165,315,90,180,1480,621
19913,HUBBARD ISD,83,0,1,0,19,0,4,11,56,44
19914,LEARY ISD,122,0,0,0,6,4,5,10,105,76
20901,ALVIN ISD,22067,1941,66,22,9599,3729,441,2074,6267,10945
20902,ANGLETON ISD,6743,33,114,6,3074,748,155,579,2609,4126
20904,DANBURY ISD,772,4,10,0,155,4,21,57,572,207
20905,BRAZOSPORT ISD,12306,172,61,12,6546,984,283,959,4233,6866
20906,SWEENY ISD,2039,6,10,2,468,289,95,165,1168,995
20907,COLUMBIA-BRAZORIA ISD,3057,6,12,0,828,351,85,241,1773,1525
20908,PEARLAND ISD,21030,2208,105,21,6582,3322,588,1787,8201,5593
20910,DAMON ISD,195,0,0,0,104,2,6,25,80,195
21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,417,0,0,0,181,211,7,34,15,394
21805,ARROW ACADEMY,547,3,1,0,112,415,4,25,9,391
21901,COLLEGE STATION ISD,12874,1004,38,0,2742,1763,411,1068,6926,4583
21902,BRYAN ISD,16138,64,32,16,8859,3130,274,1387,3760,12055
22004,TERLINGUA CSD,86,0,1,0,66,0,0,9,17,63
22901,ALPINE ISD,1079,6,1,2,689,8,12,89,357,514
22902,MARATHON ISD,54,0,0,0,36,0,0,5,17,42
22903,SAN VICENTE ISD,31,0,0,2,7,0,2,2,19,14
23902,SILVERTON ISD,187,0,0,0,83,0,2,17,100,91
24901,BROOKS COUNTY ISD,1536,3,4,0,1503,0,1,122,21,1236
25901,BANGS ISD,986,0,0,0,244,28,23,90,686,433
25902,BROWNWOOD ISD,3698,25,14,0,1460,181,140,310,1878,2348
25904,BLANKET ISD,206,1,3,1,57,5,2,24,134,124
25905,MAY ISD,306,0,0,0,59,4,4,30,235,186
25906,ZEPHYR ISD,199,0,0,0,24,0,6,13,166,129
25908,BROOKESMITH ISD,171,0,1,0,38,0,3,11,128,95
25909,EARLY ISD,1193,15,5,1,266,23,27,114,852,553
26901,CALDWELL ISD,1793,7,5,0,654,188,48,127,889,973
26902,SOMERVILLE ISD,442,0,2,0,138,102,15,45,182,320
26903,SNOOK ISD,509,0,0,0,127,139,16,51,224,366
27903,BURNET CISD,3132,12,12,3,930,40,59,319,2079,1769
27904,MARBLE FALLS ISD,4163,37,16,16,1835,99,58,437,2102,2618
28902,LOCKHART ISD,5377,21,16,5,3855,204,75,666,1199,3753
28903,LULING ISD,1407,1,1,1,920,78,18,128,386,1000
28906,PRAIRIE LEA ISD,169,0,0,0,75,14,4,17,76,143
