DISTRICT,Year,ALL-DAE,ALL-DAE-S,ALL-EXP,ALL-EXP-S,ALL-ISS,ALL-ISS-S,ALL-OSS,ALL-OSS-S,ALL-POP,ASI-DAE,ASI-DAE-S,ASI-EXP,ASI-EXP-S,ASI-ISS,ASI-ISS-S,ASI-OSS,ASI-OSS-S,ASI-POP,BLA-DAE,BLA-DAE-S,BLA-EXP,BLA-EXP-S,BLA-ISS,BLA-ISS-S,BLA-OSS,BLA-OSS-S,BLA-POP,ECO-DAE,ECO-DAE-S,ECO-EXP,ECO-EXP-S,ECO-ISS,ECO-ISS-S,ECO-OSS,ECO-OSS-S,ECO-POP,HIS-DAE,HIS-DAE-S,HIS-EXP,HIS-EXP-S,HIS-ISS,HIS-ISS-S,HIS-OSS,HIS-OSS-S,HIS-POP,IND-DAE,IND-DAE-S,IND-EXP,IND-EXP-S,IND-ISS,IND-ISS-S,IND-OSS,IND-OSS-S,IND-POP,PCI-DAE,PCI-DAE-S,PCI-EXP,PCI-EXP-S,PCI-ISS,PCI-ISS-S,PCI-OSS,PCI-OSS-S,PCI-POP,SPE-DAE,SPE-DAE-S,SPE-EXP,SPE-EXP-S,SPE-ISS,SPE-ISS-S,SPE-OSS,SPE-OSS-S,SPE-POP,TWO-DAE,TWO-DAE-S,TWO-EXP,TWO-EXP-S,TWO-ISS,TWO-ISS-S,TWO-OSS,TWO-OSS-S,TWO-POP,WHI-DAE,WHI-DAE-S,WHI-EXP,WHI-EXP-S,WHI-ISS,WHI-ISS-S,WHI-OSS,WHI-OSS-S,WHI-POP
3907,2006,19,-6,,-3,310,-6,142,-6,1855,,-6,,0,,-6,,-6,1855,1,1,,0,14,1,21,6,74,9,1,,0,142,2,84,5,794,1,-1,,0,21,-4,10,-2,223,,-6,,0,,-6,,-6,1855,,,,,,,,,1855,7,2,,0,101,6,64,6,334,,,,,,,,,1855,16,1,,0,275,4,111,-2,1540
4901,2006,112,2,,-5,1617,6,219,-6,3742,1,-6,,0,15,-6,5,-6,3742,10,5,,0,78,6,6,1,75,80,3,1,1,1070,5,143,2,2279,55,4,1,1,659,5,81,1,1310,1,-6,,0,1,-6,1,-6,3742,,,,,,,,,3742,24,3,,0,393,6,63,6,524,,,,,,,,,3742,43,-5,,0,864,-5,126,-1,2208
5901,2006,6,-3,2,1,254,5,30,-6,542,,-6,,-6,,-6,,-6,542,,,,,,,,,0,,-2,,-1,87,2,7,-1,157,,0,,0,14,2,,-1,16,,-6,,-6,,-6,,-6,542,,,,,,,,,542,1,1,,-1,47,3,5,1,65,,,,,,,,,542,6,1,1,-2,240,-1,30,1,520
5902,2006,20,-1,,-2,390,5,26,-6,878,,-6,,0,,-6,,-6,878,,0,,0,,-3,,-1,9,10,3,1,1,150,6,8,1,225,,-1,,0,12,1,,-1,26,1,-6,,0,12,-6,1,-6,878,,,,,,,,,878,10,6,1,2,76,6,12,6,61,,,,,,,,,878,19,-1,1,0,366,-1,24,-1,834
5903,2006,,-2,,0,8,-6,17,2,95,,0,,0,,-6,,-6,95,,0,,0,,0,,-1,2,1,0,,0,9,,14,1,76,,0,,0,1,1,,-2,12,,0,,0,,-6,,-6,95,,,,,,,,,95,,0,,0,1,-1,6,2,18,,,,,,,,,95,1,0,1,0,8,1,17,2,79
5904,2006,2,-5,2,1,22,-6,,-6,537,,-6,,-6,,-6,,0,537,,,,,,,,,0,1,1,1,1,7,-1,,0,214,1,1,1,1,5,1,,0,107,,-6,,-6,,-6,,0,537,,,,,,,,,537,1,2,1,2,1,-1,,0,48,,,,,,,,,537,1,-1,1,-1,19,1,,0,430
6902,2006,,-5,,-1,35,-6,,-6,403,,0,,0,,-6,,0,403,,0,,0,1,1,,0,4,,0,,0,21,2,,0,174,,0,,0,5,2,,0,28,,0,,0,,-6,,0,403,,,,,,,,,403,,0,,0,5,1,,0,48,,,,,,,,,403,,0,,0,29,-2,1,0,371
7901,2006,,-6,,-1,195,-1,2,-6,570,,0,,0,,-6,,-6,570,,,,,,,,,0,6,2,1,1,140,1,5,2,406,6,1,1,0,168,1,5,1,479,,0,,0,,-6,,-6,570,,,,,,,,,570,,0,1,2,28,2,1,1,63,,,,,,,,,570,,0,,0,27,-1,,-1,91
7902,2006,57,3,,-2,594,3,36,-6,1562,,-6,,0,,-6,,-6,1562,1,,,,1,,,,0,46,5,,0,335,-3,28,3,948,45,5,1,1,365,2,33,5,906,,-6,,0,5,-6,,-6,1562,,,,,,,,,1562,16,5,,0,143,6,8,3,156,,,,,,,,,1562,11,-5,,0,222,-2,1,-6,640
7904,2006,43,-1,2,-1,260,-6,100,-6,1708,,-6,,-6,,-6,,-6,1708,,-1,,0,,-2,,-1,17,33,2,1,-1,180,1,75,2,1179,38,3,1,-1,212,4,95,6,1264,,-6,,-6,,-6,,-6,1708,,,,,,,,,1708,11,5,1,2,27,1,27,6,154,,,,,,,,,1708,5,-3,,-1,48,-3,5,-6,427
7905,2006,151,5,8,1,2405,6,661,6,3852,,-6,,-6,,-6,,-6,3852,1,,,,8,,1,,0,109,3,1,-4,1768,6,520,6,2415,123,5,6,1,1879,6,543,6,2542,,-6,,-6,,-6,,-6,3852,,,,,,,,,3852,36,5,1,-1,703,6,269,6,539,,,,,,,,,3852,27,-5,1,-2,518,-6,114,-6,1310
7906,2006,59,2,2,-1,1232,6,166,-6,1887,,-6,,-6,,-6,,-6,1887,,-1,,0,5,-2,,-1,19,51,3,1,-1,976,3,125,-1,1430,48,-1,5,1,1062,2,144,1,1585,1,-6,,-6,5,-6,1,-6,1887,,,,,,,,,1887,26,6,1,1,311,6,59,6,208,,,,,,,,,1887,9,1,,-1,160,-2,20,-2,283
8901,2006,22,-6,,-3,950,5,60,-6,2326,,-6,,0,,-6,,-6,2326,1,-2,,0,268,6,19,5,326,11,2,1,1,471,6,42,6,798,1,-2,1,1,180,-1,12,1,465,,-6,,0,,-6,,-6,2326,,,,,,,,,2326,10,5,,0,324,6,28,6,349,,,,,,,,,2326,14,-1,,0,502,-6,29,-4,1558
8902,2006,41,-5,,-4,1284,6,129,-6,2798,,-6,,0,6,-6,,-6,2798,14,4,,0,370,6,58,6,420,24,2,,0,829,6,72,2,1402,20,2,,0,415,-2,48,1,979,,-6,,0,1,-6,,-6,2798,,,,,,,,,2798,15,5,,0,408,6,75,6,392,,,,,,,,,2798,7,-5,,0,492,-6,23,-6,1371
8903,2006,24,-1,,-2,493,6,102,-2,955,,-6,,0,,-6,,-6,955,1,-2,1,2,108,4,20,1,153,9,-1,,0,246,2,49,1,446,7,-1,,0,174,-1,29,-2,353,,-6,,0,,-6,,-6,955,,,,,,,,,955,10,4,1,2,167,6,41,6,143,,,,,,,,,955,13,1,,0,211,-2,53,2,439
9901,2006,67,5,,-3,335,-6,35,-6,1661,,-6,,0,,-6,,-6,1661,6,5,,0,11,4,1,1,17,52,1,1,1,286,6,17,-5,1242,58,4,1,1,253,2,32,4,1179,,-6,,0,,-6,,-6,1661,,,,,,,,,1661,13,1,,0,101,6,1,-3,249,,,,,,,,,1661,1,-6,,0,71,-4,1,-5,465
10901,2006,10,-1,,-1,151,2,10,-6,389,,-6,,0,,-6,,-6,389,1,1,,0,17,3,1,1,19,1,-3,,0,96,5,9,4,176,,-1,,0,16,-2,,-1,58,,-6,,0,1,-6,,-6,389,,,,,,,,,389,5,2,,0,85,6,9,5,109,,,,,,,,,389,8,-1,,0,117,-1,9,1,311
10902,2006,70,-1,,-4,1276,6,86,-6,2786,,-6,,0,6,-6,1,-6,2786,,,,,1,,,,0,39,2,,0,787,6,64,6,1315,9,-2,,0,372,6,25,2,613,1,-6,,0,22,-6,,-6,2786,,,,,,,,,2786,25,5,,0,421,6,47,6,418,,,,,,,,,2786,58,2,,0,873,-6,57,-3,2117
11901,2006,338,6,34,5,6072,6,848,-6,8920,,-6,,-6,1,-6,,-6,8920,61,6,1,-2,1074,6,185,6,892,208,4,20,1,3770,6,566,6,4817,156,4,15,1,2605,6,366,4,3390,,-6,1,-6,12,-6,1,-6,8920,,,,,,,,,8920,117,6,13,5,1577,6,315,6,1160,,,,,,,,,8920,121,-6,15,-1,2378,-6,294,-6,4549
11902,2006,181,6,9,1,1321,1,298,-6,3726,,-6,,-6,1,-6,,-6,3726,39,3,1,-1,287,6,97,6,559,116,2,6,1,844,3,187,1,2239,85,-1,5,1,660,2,118,-4,1788,,-6,,-6,1,-6,,-6,3726,,,,,,,,,3726,47,6,1,1,236,6,101,6,447,,,,,,,,,3726,57,-2,1,-2,369,-6,83,-5,1379
11904,2006,58,1,,-3,1335,6,175,-6,2025,,-6,,0,,-6,,-6,2025,12,3,,0,239,6,59,6,202,39,4,,0,820,6,118,6,992,24,5,,0,340,6,31,-1,385,,-6,,0,,-6,,-6,2025,,,,,,,,,2025,12,2,,0,316,6,55,6,263,,,,,,,,,2025,22,-6,,0,756,-6,85,-6,1418
11905,2006,2,-3,,-1,25,-6,,-6,260,,-5,,0,,-6,,0,260,,0,,0,,-1,,0,3,1,1,1,1,19,4,,0,122,1,1,1,1,9,1,,0,86,,-5,,0,1,-6,,0,260,,,,,,,,,260,1,2,,0,1,-1,,0,26,,,,,,,,,260,,-2,,0,17,1,,0,169
12901,2006,19,1,,-1,48,-6,18,-6,683,,-6,,0,,-6,,-6,683,6,5,,0,10,5,1,1,41,17,5,,0,33,4,21,,314,1,-1,,0,5,-1,1,-1,102,,-6,,0,,-6,,-6,683,,,,,,,,,683,5,2,,0,15,5,1,-1,75,,,,,,,,,683,9,-4,,0,33,-2,17,2,533
13901,2006,98,-2,2,-3,2557,6,535,2,4045,1,-6,,-6,5,-6,1,-6,4045,6,2,1,2,64,-2,21,2,121,75,2,,-2,1937,6,390,3,2795,77,1,,-2,2106,6,429,2,3115,,-6,,-6,1,-6,,-6,4045,,,,,,,,,4045,12,1,1,2,434,6,129,6,404,,,,,,,,,4045,13,-2,1,1,381,-6,83,-4,809
13902,2006,,-3,,-1,12,-6,,-6,159,,0,,0,,-6,,0,159,,,,,,,,,0,1,1,,0,10,2,1,1,93,1,1,,0,10,2,1,1,91,,0,,0,,-6,,0,159,,,,,,,,,159,,0,,0,1,1,,0,8,,,,,,,,,159,,0,,0,1,-3,,0,67
13903,2006,8,-1,,-1,93,-5,10,-6,418,,-6,,0,,-6,,-6,418,,0,,0,1,-1,,0,8,1,-4,,0,69,2,1,-5,283,6,2,,0,50,1,8,2,222,,-6,,0,,-6,,-6,418,,,,,,,,,418,1,-1,,0,26,3,1,-1,71,,,,,,,,,418,1,-2,,0,39,-1,1,-3,188
13905,2006,2,-6,,-2,130,-6,17,-6,847,,-6,,0,,-6,,-6,847,,0,,0,1,-2,1,1,25,1,-1,,0,95,2,16,3,562,1,-1,,0,82,1,8,-1,508,,-6,,0,1,-6,,-6,847,,,,,,,,,847,1,1,,0,44,6,5,2,102,,,,,,,,,847,1,1,,0,44,-1,7,1,305
14802,2006,,-3,,-1,,-6,,-6,167,,0,,0,,0,,0,167,,0,,0,,0,,0,87,,0,,0,,0,,0,107,,0,,0,,0,,0,20,,0,,0,,0,,0,167,,,,,,,,,167,,0,,0,,0,,0,23,,,,,,,,,167,,0,,0,,0,,0,53
14901,2006,19,-2,,-2,276,-5,36,-6,1032,,-6,,0,,-6,,-6,1032,,0,,0,1,-1,,-1,10,10,3,,0,93,3,18,4,285,1,-1,,0,58,3,1,-3,155,,-6,,0,,-6,,-6,1032,,,,,,,,,1032,8,4,,0,94,6,17,6,134,,,,,,,,,1032,16,1,,0,216,-2,32,1,857
14902,2006,28,5,2,1,199,3,17,-6,489,,-6,,-6,,-6,,-6,489,7,2,1,1,42,4,5,2,64,24,2,1,-1,155,1,13,1,367,13,-1,,-1,83,-4,1,-5,264,,-6,,-6,1,-6,,-6,489,,,,,,,,,489,1,-2,,-1,46,5,5,2,64,,,,,,,,,489,8,-1,1,1,71,1,8,2,161
14903,2006,141,-6,22,2,3450,6,924,-6,8471,1,-6,,-6,11,-6,1,-6,8471,24,5,9,6,367,6,148,6,593,74,3,12,1,2157,6,584,6,3787,46,2,8,1,1270,6,341,6,2372,,-6,,-6,18,-6,1,-6,8471,,,,,,,,,8471,47,6,6,2,1161,6,397,6,1186,,,,,,,,,8471,70,-5,5,-5,1784,-6,429,-6,5337
14905,2006,2,-5,,-1,104,-6,,-6,598,,-6,,0,1,-6,,0,598,,0,,0,11,2,,0,36,1,1,,0,60,3,1,1,285,1,1,,0,14,-3,,0,138,,-6,,0,1,-6,,0,598,,,,,,,,,598,1,2,,0,27,6,1,2,48,,,,,,,,,598,1,-1,,0,77,1,1,1,419
14906,2006,1547,6,258,6,15476,6,4509,-6,40164,41,-6,5,-6,358,-6,87,-6,40164,910,6,150,6,9114,6,2683,6,16467,789,3,100,-5,8195,6,2473,6,19560,237,-6,43,-2,2294,-6,648,-6,8033,9,-6,1,-6,89,-6,35,-6,40164,,,,,,,,,40164,408,6,78,6,4046,6,1242,6,5221,,,,,,,,,40164,350,-6,58,-6,3621,-6,1056,-6,14057
14907,2006,6,-5,,-2,137,-6,7,-6,903,,-6,,0,,-6,,-6,903,,0,,0,7,2,,0,27,5,2,,0,65,2,8,5,381,1,-1,,0,32,2,1,-1,172,,-6,,0,1,-6,,-6,903,,,,,,,,,903,1,1,,0,56,6,1,1,117,,,,,,,,,903,6,1,,0,97,-2,9,,704
14908,2006,22,-3,2,-1,339,-6,30,-6,1334,,-6,,-6,,-6,,-6,1334,1,1,1,2,14,3,1,1,27,1,-3,1,1,80,-1,10,2,319,1,-2,,-1,87,5,1,-3,227,,-6,,-6,1,-6,,-6,1334,,,,,,,,,1334,5,2,1,1,48,2,8,3,147,,,,,,,,,1334,18,1,1,-1,237,-5,24,1,1054
14909,2006,455,6,115,6,6114,6,2538,6,9191,1,-6,,-6,11,-6,1,-6,9191,276,6,68,6,3481,6,1534,6,2665,308,5,70,1,4357,6,1825,6,5349,100,-5,25,-3,1317,-6,515,-6,2849,,-6,,-6,16,-6,1,-6,9191,,,,,,,,,9191,173,6,48,6,2106,6,1068,6,1562,,,,,,,,,9191,78,-6,22,-5,1289,-6,485,-6,3493
14910,2006,36,-1,,-2,536,3,69,-6,1364,,-6,,0,1,-6,,-6,1364,,-1,,0,26,5,,-1,27,19,2,,0,278,6,40,5,527,11,2,,0,136,3,16,1,286,,-6,,0,1,-6,,-6,1364,,,,,,,,,1364,10,2,1,2,125,5,30,6,232,,,,,,,,,1364,25,-2,1,1,369,-5,53,-1,1050
15803,2006,,-5,,-1,2,-6,20,-6,392,,0,,0,,-5,,-6,392,,0,,0,1,2,5,3,27,,0,,0,5,1,17,-2,374,,0,,0,5,1,16,-1,341,,0,,0,,-5,,-6,392,,,,,,,,,392,,0,,0,1,2,1,-1,31,,,,,,,,,392,,0,,0,,0,,-1,20
15810,2006,,0,,0,,-1,,0,1,,0,,0,,0,,0,1,,,,,,,,,0,,0,,0,,0,,0,1,,0,,0,,0,,0,1,,0,,0,,0,,0,1,,,,,,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0
