SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT08R,DA0708DR08R,DADC408R,DA0GR08N,DAGC408R,DA311TA09R,DA311TR09R,DA311TW09R,DA311TM09R,DA311TC09R,DA311TS09R,DB311TA09R,DH311TA09R,DW311TA09R,DO311TA09R,DE311TA09R,DACTA09R,DA0CT08R,DA0CC08R,DA0CS08R,DA0CA08R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Childress,038901,038 CHILDRESS,16,RE,3,1106,8,33,57,2,50.7,3,13,3,32,7,95.9,0,5.1,74,94.9,76,92,94,83,77,98,56,69,82,77,70,88,93.3,8.9,.,18.6,207,98,1,3,5,47,19,25,82558,58193,46907,39987,17,5.3,11.3,18.7,14.5,19.3,13.2,1,4,95,0,77,11,3,1,8,0,181502,1.126000,11668636,10354,67,23,10,2036108,18,11925007,10898418,9670,58,8,5,12,17,6302692,5592,51,14,18,1,9,1,5,2
Byers,039901,039 CLAY,09,RE,1,110,0,5,92,4,50,0,10,0,42,6,94.4,0,6.7,11,86.7,67,92,.,76,67,90,.,.,66,.,54,100,12.5,.,.,.,26,15,4,4,2,56,8,27,65546,63070,48780,38841,0,4.2,7.6,27.6,15.2,13.8,24,0,0,100,0,86,0,3,0,11,0,192908,1.250000,1558620,14844,72,22,6,440106,33,1355203,1298173,12364,54,11,8,12,15,704796,6712,63,10,9,0,9,0,7,1
Henrietta,039902,039 CLAY,09,EX,3,936,1,6,91,2,34.9,0,13,0,37,4,96.1,0,5.5,64,86.3,86,96,94,91,90,95,80,94,85,88,81,90,70.7,26.8,977,21.4,152,82,2,4,5,54,15,20,77793,55247,44598,42830,6,6.2,11.4,13.4,16.6,5.8,11.9,0,1,96,3,78,11,4,0,5,1,346772,1.310000,12109861,12357,48,41,11,3437116,40,14588572,9505577,9700,58,7,6,9,20,5509847,5622,55,28,8,0,4,0,5,0
Petrolia,039903,039 CLAY,09,EX,3,467,1,7,90,2,48,1,10,1,34,8,96,0,2.8,37,97.2,84,97,91,88,87,98,.,59,87,80,83,94,66.7,18.2,1042,20.7,75,39,3,4,1,52,14,26,64350,62188,33916,38395,2,6.3,12.1,23.3,11.4,11.2,14.9,0,3,97,0,77,5,9,0,8,0,183530,1.260000,4934318,10499,67,25,8,862077,22,4691458,4286854,9121,52,8,6,15,19,2218954,4721,63,10,12,0,8,0,7,0
Bellevue,039904,039 CLAY,09,RE,1,175,0,1,99,1,36.6,1,10,1,42,2,95.3,0,33.3,7,66.7,66,89,90,80,77,98,.,.,67,.,59,93,40,.,.,.,31,17,3,3,2,55,15,21,75000,58000,47770,40401,0,5.6,10.1,28.7,16.9,5.2,17.4,0,0,100,0,85,5,0,0,9,1,239855,1.040000,1747251,9707,64,29,8,480026,32,1651394,1554238,8635,61,11,6,10,13,939582,5220,63,13,12,0,10,0,3,0
Midway,039905,039 CLAY,09,RE,1,118,0,7,93,0,30.5,0,15,0,48,3,96.7,0,20,8,80,73,91,79,87,79,85,.,60,74,.,63,100,28.6,.,.,.,28,17,4,4,1,60,10,22,80350,43584,46752,41432,10,4.3,7.1,25.7,16.3,12,6.7,0,0,100,0,84,5,2,0,8,0,713248,1.040000,1514211,14845,42,54,4,192657,13,1555592,1462544,14339,59,11,5,10,15,859436,8426,66,10,8,0,11,1,4,0
Morton,040901,040 COCHRAN,17,AA,4,458,6,74,20,0,81.2,13,11,13,47,5,95.7,0,5.9,28,73.5,58,81,77,70,63,83,65,52,76,.,52,91,83.3,0,.,16.5,104,49,2,4,5,48,18,23,70381,65427,46734,42180,32,4.4,9.3,18.2,15.2,18.5,13.1,4,6,90,0,66,6,8,6,14,0,137955,1.040000,6884967,15000,53,30,17,1895713,32,6650025,6348094,13830,54,7,7,13,19,3423586,7459,46,6,24,1,5,0,4,14
Whiteface Cons,040902,040 COCHRAN,17,RE,4,318,4,36,59,2,72.6,4,9,4,39,6,96.2,0,7,44,93,75,93,81,86,77,98,67,64,80,.,72,86,83.3,20,891,19,75,43,3,3,5,57,9,23,82410,71300,51925,44350,15,4.2,7.4,27.9,16.8,25.7,20.7,0,5,95,0,82,5,2,0,9,2,2667865,1.040000,8439000,24675,32,65,4,4532173,41,6835735,6070956,17751,52,8,5,14,20,3178614,9294,70,10,10,1,4,0,4,0
Bronte,041901,041 COKE,15,RE,3,320,0,29,71,0,50.6,8,13,8,41,12,96.1,0,2,20,39.2,83,95,92,92,87,97,.,77,85,.,74,100,94.4,29.4,.,20.2,59,34,3,3,4,58,7,24,74174,59081,47246,42708,3,5.4,9.3,11.7,18.4,7.4,23.9,0,3,97,0,68,9,10,3,6,3,302928,1.040000,5411612,15686,70,23,7,594366,15,4680232,4448467,12894,56,10,8,9,16,2488200,7212,58,12,17,2,4,0,8,0
Robert Lee,041902,041 COKE,15,EX,5,236,0,34,66,0,54.2,3,12,3,48,4,96.7,0,11.1,18,88.9,82,96,.,90,85,98,.,77,85,.,86,95,88.2,13.3,.,19.5,46,27,2,1,0,60,7,30,75705,58500,.,42639,19,5.2,8.6,14.6,16.3,29.1,10.6,0,4,96,0,88,0,2,1,9,0,841646,1.480000,3235403,12738,39,56,5,546269,20,3071224,2838747,11176,55,14,5,11,15,1556381,6127,63,8,13,1,10,0,5,0
Coleman,042901,042 COLEMAN,15,AA,3,981,4,25,70,1,57.5,3,10,3,24,4,96.7,0,0,76,98.6,73,91,95,82,78,97,53,61,78,80,64,93,71.4,12,981,19.3,175,87,1,3,10,50,12,23,68360,56916,42326,39147,12,5.6,11.2,19.7,14.1,4.6,17.3,3,3,94,0,84,7,1,0,6,2,110001,1.240000,10139921,10263,72,17,12,1759893,21,10050073,8893113,9001,54,9,5,14,19,4767808,4826,58,11,15,1,6,3,6,0
Santa Anna,042903,042 COLEMAN,15,AA,3,296,4,30,64,2,70.9,1,14,1,31,7,96.9,0,5.9,16,88.2,65,93,88,76,61,88,.,51,73,.,58,96,64.3,11.1,.,18.3,55,27,1,4,5,49,17,24,93878,62713,39571,38022,15,5.4,11,40.6,12.8,5.4,28.6,0,9,87,4,78,6,10,0,7,1,180075,1.118000,3403933,12114,73,21,6,346247,11,3030633,2732721,9725,56,9,6,10,19,1542100,5488,51,22,20,1,2,0,3,0
Panther Creek Cons,042905,042 COLEMAN,15,RE,2,165,0,19,81,0,6.7,5,16,5,41,8,95.6,0,0,10,100,79,93,.,87,74,93,.,50,86,.,.,86,85.7,33.3,.,22.2,34,19,6,2,0,56,15,21,48000,55511,.,41773,3,4.9,8.6,5.2,14.3,23.4,44.2,0,0,100,0,74,10,5,0,9,1,476497,1.040000,1931320,12380,49,43,8,121138,6,1985251,1965319,12598,51,12,5,13,18,996428,6387,65,11,14,0,5,0,5,0
Novice,042906,042 COLEMAN,15,AU,1,89,3,18,79,0,70.8,0,11,0,51,0,94.3,6.3,35.7,8,57.1,37,82,83,48,44,80,.,23,41,.,29,43,57.1,.,.,.,23,13,2,2,3,58,12,22,60000,60000,29181,35041,0,3.9,6.6,59.5,6.7,10.7,47.9,0,0,100,0,78,3,4,0,15,0,506088,1.040000,1398703,15370,61,35,3,51830,4,1424430,1373156,15090,53,12,3,12,20,727938,7999,69,9,10,0,5,1,6,0
Allen,043901,043 COLLIN,10,RE,20,17455,11,13,63,13,14.3,8,11,7,16,11,96.8,0,1.4,1133,94.7,92,98,98,96,93,99,85,85,94,97,83,97,73.4,49.1,1084,23.5,2079,1167,1,2,9,56,10,22,107730,77722,58757,49327,14,8.4,15,34.8,10.3,24.4,12.4,3,5,90,3,76,9,1,4,3,7,387195,1.470000,163521540,9624,32,65,3,28591146,23,183328110,123999398,7298,59,5,6,13,17,72913774,4291,68,15,5,5,3,2,2,0
Anna,043902,043 COLLIN,10,AA,4,2144,9,23,66,2,38.9,8,10,14,19,3,96.5,0,1,100,96.9,82,96,95,90,79,93,73,73,86,95,73,87,39.3,25.7,1003,22,284,171,2,4,2,60,7,25,89730,65316,50758,42797,13,7.6,12.5,55.8,7.6,10.5,19.3,2,6,91,1,75,7,5,8,3,2,243311,1.540000,20465354,10233,56,41,3,2816256,16,23394463,15922033,7961,57,7,5,14,16,9083508,4542,69,12,7,5,3,1,4,0
Celina,043903,043 COLLIN,10,RE,4,1846,4,22,73,2,29,6,11,6,26,5,96.4,0,0,105,96.3,86,96,96,91,88,97,78,74,89,95,72,93,82.7,28.4,1013,22.2,235,122,1,4,6,52,14,23,97963,63035,50635,46894,16,7.8,15.1,24.8,13.4,18.1,12.1,2,3,95,0,83,4,0,3,3,7,352545,1.540000,18154232,10586,38,60,2,1134305,8,40869557,13802258,8048,55,7,6,11,21,7561289,4409,73,13,4,1,3,0,6,0
Farmersville,043904,043 COLLIN,10,RE,5,1459,6,23,70,1,42.4,6,8,6,14,6,96.3,0,1.9,102,89.6,81,94,97,86,84,95,75,71,84,.,73,96,50,22.9,958,21.1,184,109,2,4,5,59,11,19,101385,58942,53776,43027,8,7.9,13.4,34.8,13.2,19.9,24.1,2,3,95,0,80,6,4,2,3,5,217250,1.280000,13519938,9110,58,36,6,4568081,43,12352838,10265552,6917,61,4,6,11,18,6238445,4204,66,11,12,3,3,1,5,0
Frisco,043905,043 COLLIN,10,RE,41,30584,12,14,62,13,11.5,5,8,5,13,5,96.7,0,1.5,1124,91.7,93,98,98,96,94,99,84,87,95,97,83,94,73.6,39.7,1053,22.6,4097,2243,1,3,9,55,8,25,96632,73050,56053,47642,19,7.5,13.6,47.7,7.9,21.6,11.9,3,4,91,1,79,10,2,1,3,5,502128,1.370000,292506286,10732,21,77,2,22473686,9,449228898,204031341,7486,60,5,6,10,19,121740881,4467,72,15,4,2,2,1,3,1
McKinney,043907,043 COLLIN,10,AA,31,23261,12,23,61,4,23.8,10,9,10,13,6,95.8,0,5.8,1100,88.9,86,95,96,90,89,97,71,71,93,92,67,92,77.5,42.8,1058,22.8,2722,1663,2,3,8,61,8,18,80971,73584,55447,47891,17,8.5,14,37.3,9.8,26.1,16.8,5,7,86,2,77,13,1,5,2,3,383702,1.517000,227487585,10212,30,66,4,51897168,30,284756231,175066023,7859,60,7,6,10,18,105325063,4728,67,17,4,5,2,1,3,0
Melissa,043908,043 COLLIN,10,RE,4,1256,5,16,77,3,20.7,4,10,4,8,10,96.1,0,.,57,.,86,96,96,92,88,98,75,75,88,94,74,96,59.6,26.5,990,19.3,168,87,4,3,5,52,3,34,84206,69174,55504,46544,8,7.5,14.4,50.6,7.7,23,13.3,0,1,99,0,81,4,0,4,1,10,336104,1.540000,14865740,13144,38,46,15,1552975,16,24727878,11867568,10493,58,12,5,8,17,6869299,6074,54,38,4,1,1,0,3,0
Plano,043910,043 COLLIN,10,AA,68,53906,11,18,51,21,20.7,12,11,12,15,11,96.7,0,1.7,3315,91.5,89,97,97,93,90,98,73,74,94,97,71,93,83.8,62.4,1156,25.2,6776,4067,1,3,9,60,10,17,88380,73608,58251,49669,23,8,13.3,42.7,9.9,31.4,11.6,5,9,82,4,69,16,2,6,2,5,626151,1.303000,535042429,10012,25,71,4,122252313,24,599627656,443579427,8301,64,5,5,10,17,282234822,5281,64,20,3,7,2,2,1,1
Princeton,043911,043 COLLIN,10,RE,7,2762,5,29,64,2,47.9,12,14,11,21,5,95.8,0,4.5,172,90.4,79,95,96,85,87,96,71,75,81,88,74,94,48.4,30.7,1008,20.8,394,193,1,3,7,49,9,31,110222,70878,51396,43456,9,7,14.3,41.9,9.7,10,12.5,2,4,94,1,74,9,4,3,4,6,181133,1.490000,26552808,9990,62,31,7,2118235,10,40384537,20822626,7834,60,4,7,11,18,12470315,4692,68,13,9,2,4,1,4,0
Prosper,043912,043 COLLIN,10,RE,5,3115,8,15,74,2,12.9,7,6,11,16,5,96.5,0,4,139,90.7,91,98,97,94,93,99,78,81,94,.,79,97,77.5,38.7,1037,23.8,352,231,2,5,6,66,12,11,110283,65439,54212,48509,10,8.8,13.5,46.7,8.5,18.4,19.4,2,6,91,0,84,6,1,5,3,0,530043,1.670000,37831690,14196,23,76,1,2575055,8,107385702,22951463,8612,62,4,5,13,15,14234406,5341,80,12,2,1,2,0,2,0
Wylie,043914,043 COLLIN,10,RE,19,11305,14,19,58,8,24.9,9,8,8,19,8,96.7,0,4.8,568,91,84,95,96,90,87,95,77,80,87,86,77,93,60.7,29.1,1008,21.9,1537,779,1,3,7,51,10,29,80379,71234,51915,44731,17,7.4,14.5,44.9,8.9,20.4,17.3,2,4,93,1,77,9,3,3,3,4,270671,1.510000,94307296,8822,47,50,4,9224233,11,116171990,81128353,7589,58,5,6,12,19,46617910,4361,78,11,3,0,3,1,3,0
Blue Ridge,043917,043 COLLIN,10,RE,5,632,1,13,83,2,46,4,9,4,26,6,96.1,0,6.1,48,93.9,74,91,89,81,79,89,60,53,77,83,65,91,69,6.9,872,19.5,96,51,3,4,6,53,8,25,72300,59949,43037,40914,6,6.6,12.3,36.1,10,13.7,33.3,0,2,96,2,90,3,2,0,5,0,186826,1.540000,6742998,10487,62,35,3,402497,7,7991200,5795317,9013,56,7,7,13,17,3219616,5007,74,11,5,1,5,1,4,0
Community,043918,043 COLLIN,10,RE,4,1629,4,17,78,1,30.6,6,8,6,29,5,95.4,0,7.9,100,78.9,76,94,92,84,78,93,74,66,78,73,68,85,55.8,18.8,941,19.9,215,113,2,4,5,52,7,29,86642,63243,47111,42272,12,7.6,14.4,43.3,10.9,24.8,22,2,1,93,4,82,9,0,2,4,3,270746,1.495000,14985807,9467,46,51,3,4446370,40,27953897,10013939,6326,54,5,7,12,22,5438022,3435,70,13,6,1,5,0,5,0
Lovejoy,043919,043 COLLIN,10,EX,6,2863,3,6,86,5,2.1,1,6,1,17,18,96.8,0,.,0,.,95,99,99,97,96,.,92,91,96,95,86,.,.,.,.,.,445,231,1,3,9,52,6,29,133102,78790,59579,48245,12,6.4,12.4,46.7,8.2,21,10.5,2,4,93,1,81,7,0,0,3,8,498963,1.515000,30396873,12208,31,69,1,4524249,17,86236942,23064980,9263,53,9,6,10,22,12168955,4887,80,9,2,1,1,2,5,0
Wellington,044902,044 COLLINGSWORTH,16,RE,3,544,6,40,54,1,58.1,10,14,10,28,5,96.7,0,3.3,30,96.7,84,96,95,90,82,95,71,77,89,.,78,88,79.3,34.8,.,20.3,95,51,2,3,4,53,18,19,74942,59569,45770,42022,15,5.7,10.7,21.7,12.6,12.4,13.9,0,2,98,0,82,9,3,0,6,0,157959,1.020000,6297234,11146,71,19,9,1760597,32,6522657,5669740,10035,61,7,5,11,16,3450819,6108,52,17,16,1,6,0,5,2
Samnorwood,044904,044 COLLINGSWORTH,16,RE,1,98,11,13,76,0,61.2,1,13,1,29,3,96.6,0,10,9,90,64,90,.,66,73,89,80,38,67,.,65,.,44.4,.,.,.,22,13,4,0,0,60,9,27,68000,.,.,43320,0,4.4,7.3,25.9,11.5,19.2,20.7,0,0,100,0,86,7,0,0,7,0,392900,1.040000,1610641,16954,69,26,5,538387,41,1524956,1393438,14668,57,16,0,12,15,795110,8370,73,6,6,0,9,0,6,0
Columbus,045902,045 COLORADO,03,AA,3,1514,17,26,56,2,48.1,7,11,7,27,3,95.7,0,0.8,125,95.2,72,90,89,82,81,93,52,63,80,83,59,88,54.2,13.8,947,19.8,206,118,1,4,6,57,17,15,75837,60771,49832,41394,12,7.4,12.8,28.7,13.2,13.5,9.2,3,3,94,0,78,12,4,1,5,0,481663,1.190000,15881100,10393,38,53,9,4009983,34,15906150,12194072,7980,58,5,5,11,20,7103249,4649,57,21,12,1,5,0,4,0
Rice Cons,045903,045 COLORADO,03,AA,5,1276,22,47,31,0,65.8,9,15,9,27,5,95.6,0,5.5,85,92.3,70,90,94,79,71,95,50,68,84,.,63,85,89.9,14.5,1011,18.4,217,115,1,5,3,53,14,24,85094,62086,54314,44224,28,5.9,11.1,26.6,14.3,11.3,23.3,3,5,91,0,81,10,0,2,5,3,504475,1.285000,16961206,13230,32,55,12,6202619,50,21701367,13350687,10414,58,5,7,11,19,7788819,6076,57,20,15,0,4,0,4,0
Weimar,045905,045 COLORADO,03,AA,3,587,16,33,51,0,49.9,13,10,13,31,8,97.1,0,4.1,47,93.9,76,93,96,85,78,93,54,71,86,.,64,91,75.6,14.7,914,20.5,100,51,2,3,7,52,0,37,72924,57738,41465,42921,9,5.9,11.4,21.7,13.8,8.6,20,0,5,95,0,85,5,2,1,5,3,428031,1.220000,6750125,12032,42,50,8,1899359,38,5987146,5395124,9617,54,7,6,11,22,2934792,5231,57,17,11,1,5,0,6,2
Trinity Charter,046802,046 COMAL,13,EA,6,288,20,35,44,1,99.3,1,63,0,0,0,99.4,1.2,83.3,1,16.7,63,84,67,54,60,86,.,64,55,.,63,.,.,.,.,.,85,33,6,6,1,39,0,48,64644,68636,37650,45895,50,3.4,8.8,81.7,2.8,9.1,54.3,24,15,57,3,83,13,0,3,0,0,0,0.000000,3822568,17535,91,1,8,436170,9,4588832,4588832,21050,71,10,14,1,4,3270892,15004,2,87,11,0,0,0,0,0
New Braunfels,046901,046 COMAL,13,AA,12,7471,2,43,54,1,39.7,8,8,9,20,6,95.5,0.3,6.4,491,86.2,79,94,95,85,83,93,74,66,88,81,66,89,64.7,31.1,995,21.6,925,471,1,3,10,51,7,29,96665,70410,54329,48926,32,8.1,15.9,28.7,11.9,20.8,13.8,1,17,82,1,71,9,6,4,3,7,383772,1.339000,66857853,9140,34,56,10,23261504,46,86278058,52814162,7220,58,6,6,9,21,30442495,4162,69,15,7,1,3,1,2,2
Comal,046902,046 COMAL,13,AA,21,15979,3,30,66,2,29.2,5,9,4,18,11,95.6,0.1,4.8,940,88.1,84,95,96,89,87,97,78,76,87,91,72,92,68.5,30.8,1006,21.4,2220,1075,0,2,9,48,7,33,108164,70720,55703,49782,20,7.2,14.9,29.8,12.5,21.6,12.3,1,8,91,0,80,8,2,0,4,5,615048,1.310000,154978476,10238,22,72,6,51918887,39,224627771,122397930,8085,58,6,5,11,20,70426098,4652,68,16,7,1,4,1,3,1
Comanche,047901,047 COMANCHE,14,AU,4,1217,1,45,54,1,64.6,9,10,9,24,8,96.4,0.5,14.4,81,78.8,80,95,97,87,83,93,.,75,84,.,73,88,75,13,957,19.7,203,109,1,3,3,54,14,26,77770,59183,47911,41233,16,6,11.2,19,14.9,17.9,13.8,0,5,95,0,67,8,9,5,7,4,217277,1.030000,12794028,10219,64,28,9,884852,7,18853322,10133228,8094,63,5,4,10,18,6359483,5079,60,13,14,0,6,2,6,0
De Leon,047902,047 COMANCHE,14,AA,4,671,1,30,69,0,50.4,4,7,4,31,4,95.9,0,6.1,42,79.6,75,95,95,82,76,95,.,57,82,.,61,88,61.8,23.8,957,20.2,109,58,1,3,6,53,15,23,82000,61849,44326,40697,7,6.2,11.5,25.8,13.5,10.5,11.5,0,5,95,0,79,5,6,2,8,0,231625,0.990000,8010673,11815,54,29,17,747222,14,7657527,6908442,10189,57,12,4,9,18,3926349,5791,44,36,14,1,4,0,3,0
Gustine,047903,047 COMANCHE,14,AA,1,228,0,57,43,0,72.8,25,10,25,47,2,96.1,0,0,14,100,65,91,93,70,75,96,.,64,65,.,60,88,53.8,0,.,18.4,34,19,3,4,6,54,15,18,70000,56831,41431,36358,12,6.7,12.3,43.1,13.8,5.4,11.6,0,5,95,0,82,0,4,0,14,0,178471,1.108000,2323906,11066,68,22,10,512399,28,2218978,2031800,9675,54,9,5,13,20,1089685,5189,60,7,19,1,5,0,8,0
Sidney,047905,047 COMANCHE,14,RE,1,140,0,21,79,1,70.7,0,8,0,51,3,97.3,0,0,9,100,76,97,.,85,66,97,.,53,82,.,76,100,22.2,.,.,.,25,14,1,4,0,55,12,28,.,60000,.,37689,8,5.5,10,35.7,12.4,3.6,13.2,0,7,86,7,78,9,0,0,13,0,148202,1.040000,1500538,11454,76,17,8,572553,42,1472911,1422188,10856,58,9,6,11,15,826158,6307,57,17,13,0,8,0,5,0
Eden Cons,048901,048 CONCHO,15,AA,6,267,2,43,54,0,49.8,3,10,3,45,3,94.9,0,11.1,17,88.9,70,96,94,77,67,93,.,55,84,.,62,95,71.4,30,.,20.5,53,26,2,4,7,50,11,26,84000,54774,41099,41162,26,5.1,10.1,18.9,13.6,7.6,32.6,0,4,96,0,76,7,3,0,11,2,604464,1.040000,3853012,13615,39,54,6,279256,8,3144073,3027184,10697,53,12,5,11,19,1603403,5666,60,10,16,0,9,0,4,1
Paint Rock,048903,048 CONCHO,15,RE,3,147,0,46,54,0,64.6,2,7,2,30,3,94.8,0,0,10,100,63,92,.,68,70,88,.,52,70,.,56,81,100,0,.,18.6,31,17,3,4,0,55,9,28,75000,52390,.,37317,22,4.7,8.6,37.8,11.4,0,24.8,0,17,83,0,76,5,11,2,7,0,438068,1.320000,1925402,12422,44,50,6,129169,7,2647686,1686565,10881,52,16,7,10,16,871398,5622,68,9,11,0,5,1,6,0
Gainesville,049901,049 COOKE,11,AA,7,2664,9,48,41,2,69.1,22,11,22,15,7,95.3,0,14.7,141,78.5,68,87,90,77,75,89,62,60,76,89,63,83,43.2,11.1,1009,18.6,434,223,1,3,8,51,11,26,87667,67475,46916,42528,12,6.1,11.9,34.6,12.7,12.5,23.9,3,3,93,0,81,7,3,3,4,3,328975,1.275000,27658296,9864,46,41,13,5219335,26,44064842,24548355,8755,60,6,5,10,19,14636145,5220,55,14,21,2,3,0,4,1
Muenster,049902,049 COOKE,11,EX,2,491,0,4,94,2,15.7,1,13,1,39,6,97,0,0,40,97.4,89,98,.,94,87,94,.,63,89,.,70,89,69.7,43.5,1044,21.3,73,44,1,4,3,60,0,31,79650,65333,56049,41567,1,6.8,11.2,29.7,12.1,11.3,21,0,2,98,0,82,6,0,0,10,2,568654,1.167000,5831567,11087,42,55,3,1904391,43,5134469,3968476,7545,59,9,5,10,16,2355692,4479,71,11,6,0,7,0,5,0
Valley View,049903,049 COOKE,11,RE,3,665,0,14,83,3,36.5,5,12,5,36,5,96.5,0,1.7,51,87.9,76,94,97,82,84,85,.,60,79,71,66,89,54.3,20,946,19.6,99,58,2,3,5,59,8,23,33795,64166,51273,41220,5,6.7,11.5,25.9,12.4,17.2,13.9,0,3,97,0,79,6,2,2,9,2,259962,1.121000,6205203,9099,62,34,4,1355468,24,5990996,5357985,7856,58,6,7,12,17,3130850,4591,64,14,8,1,10,0,4,0
Callisburg,049905,049 COOKE,11,RE,2,1214,2,8,88,3,44.2,2,10,2,28,6,95.3,0,0,74,92.3,76,93,96,85,74,95,60,71,77,53,69,99,69.8,13.6,935,19.3,166,89,1,4,5,54,6,31,127300,69271,45398,45432,6,7.3,13.7,21.4,15.8,26.4,11.2,0,0,98,2,84,7,0,0,6,3,451263,1.301000,15162126,13598,41,53,7,2731824,26,23802619,11488280,10303,53,9,4,15,20,6080381,5453,53,30,6,0,4,1,5,1
Era,049906,049 COOKE,11,RE,1,444,1,8,91,1,22.7,0,12,0,40,8,97.2,0,0,23,100,87,98,.,90,91,96,.,86,87,.,78,97,55,27.3,1002,23,64,38,3,5,4,59,5,23,55277,61461,46675,43036,2,6.9,11.7,26.4,15.6,16.9,6.9,0,0,100,0,84,5,0,0,6,5,263913,1.140000,4271046,10193,63,33,4,1261154,34,5920239,3521774,8405,59,7,6,10,18,2077434,4958,68,13,7,0,7,0,4,0
Lindsay,049907,049 COOKE,11,EX,2,518,0,2,97,2,3.9,0,5,0,38,6,97.8,0,0,41,100,91,98,99,94,94,.,.,.,91,80,91,97,76.3,44.8,1086,23.3,63,41,2,4,5,64,5,20,72770,60806,43318,43962,2,8.2,12.8,13.6,16.9,8.8,4.1,0,2,98,0,77,5,4,0,9,5,342233,1.103000,4989114,9503,56,42,2,1428560,33,5247214,3900576,7430,58,7,6,10,19,2263283,4311,77,8,3,0,6,1,7,0
Walnut Bend,049908,049 COOKE,11,RE,1,73,3,6,92,0,71.2,0,18,0,0,4,94.1,0,.,0,.,86,.,.,89,89,.,.,.,85,.,84,.,.,.,.,.,13,6,2,2,2,47,23,25,70000,70000,70000,45948,23,5.5,11.7,16,19.7,31.9,50,0,0,100,0,86,6,8,0,0,0,536172,1.040000,942703,18129,66,28,6,438573,61,756619,743975,14307,55,10,9,10,16,410861,7901,70,13,17,0,0,0,0,0
Sivells Bend,049909,049 COOKE,11,EX,1,72,1,18,79,1,55.6,3,1,3,0,3,95.9,0,.,0,.,74,97,.,79,92,.,.,71,77,.,75,.,.,.,.,.,14,7,1,3,3,50,14,29,73950,73950,73950,42186,0,5.2,10.4,28.8,18.2,27.9,14.4,0,0,100,0,89,0,11,0,0,0,1512620,0.962000,954752,13079,35,56,9,424494,34,1005125,842724,11544,49,17,4,12,19,408884,5601,65,12,20,0,0,0,2,0
Evant,050901,050 CORYELL,12,RE,2,269,1,20,79,0,59.5,5,11,5,22,3,95.4,0,9.5,18,90.5,72,89,97,84,80,94,.,62,75,.,62,89,75,0,.,18.6,51,27,4,4,2,53,12,25,60990,61030,51733,38462,6,5.3,10,29.6,11.5,0,23.4,0,0,100,0,77,6,10,0,7,0,277350,1.040000,3333496,11186,69,25,6,1003158,39,2860048,2624708,8808,54,10,6,12,18,1425249,4783,58,10,18,0,9,1,4,0
Gatesville,050902,050 CORYELL,12,AA,5,2743,4,15,80,1,43.5,3,15,2,22,5,94.9,0,6.3,174,87.9,78,95,90,85,80,94,65,71,79,.,72,89,57.6,30,985,20.9,375,200,1,2,5,53,11,28,82488,63362,45015,39444,8,7.3,13.7,31.8,13.3,14.4,15.6,0,2,97,1,72,10,9,1,5,3,203035,1.128000,23434403,8578,63,31,6,10327326,53,21718242,19029452,6965,56,5,6,11,22,10728334,3927,60,18,11,0,6,1,4,1
Oglesby,050904,050 CORYELL,12,RE,1,187,1,21,78,0,54.5,1,10,1,45,3,96.3,0,6.3,17,87.5,66,87,83,70,85,92,.,62,67,.,63,88,64.3,44.4,.,22.2,29,16,7,4,0,54,11,25,46698,55000,.,40763,11,6.6,12.1,16.1,14.3,12.9,23.5,0,0,100,0,88,2,0,0,9,0,179905,1.105000,2200104,13751,73,21,6,133981,8,2058893,1641911,10262,57,12,7,10,15,930913,5818,62,14,13,0,7,0,4,0
Jonesboro,050909,050 CORYELL,12,AA,1,157,0,10,90,0,40.1,1,11,1,46,3,96.2,0,10,9,90,60,84,52,70,74,91,.,50,62,.,46,100,77.8,14.3,929,.,32,18,3,3,0,56,12,25,70373,58710,.,39256,9,4.9,8.7,27.8,16,11.1,33.3,0,11,89,0,80,4,0,0,15,1,342101,1.040000,1511350,10076,56,38,6,-212931,-14,1730330,1700836,11339,55,11,6,12,17,941026,6274,70,11,9,0,6,1,3,0
