DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
TRANSFORMATIVE CHARTER ACADEMY,12,72,45.8,30.6,19.4,0.0,0.0,0.0,4.2,65.3,1.4,0,0,0,22,32,3,1,13,47
PRIORITY CHARTER SCHOOLS,12,914,14.8,26.9,52.1,0.7,1.2,0.3,4.0,50.7,9.6,10,6,2,245,135,36,87,476,463
ORENDA CHARTER SCHOOL,12,1321,6.1,19.5,68.4,0.5,2.4,0.0,3.1,24.0,11.1,31,6,0,257,80,40,146,903,317
ACADEMY ISD,12,1361,3.2,23.0,69.7,0.7,1.1,0.1,2.3,39.5,7.1,14,9,1,313,43,31,96,948,537
BARTLETT ISD,13,395,9.6,63.5,23.8,0.5,0.0,0.0,2.5,77.0,10.6,0,1,0,250,37,9,41,94,304
BELTON ISD,12,10488,6.4,32.1,55.2,0.6,1.6,0.2,3.9,45.8,10.5,167,62,20,3366,671,409,1101,5789,4803
HOLLAND ISD,12,650,3.2,30.2,64.8,0.0,0.2,0.0,1.7,48.2,8.3,1,0,0,196,20,11,53,421,313
KILLEEN ISD,12,42581,33.5,28.6,25.9,0.6,2.5,1.7,7.2,57.4,11.2,1064,255,723,12178,14264,3065,4769,11028,24441
ROGERS ISD,12,856,1.9,28.4,68.1,0.4,0.7,0.0,0.6,46.1,6.8,5,3,0,243,16,5,58,582,394
SALADO ISD,12,1558,1.1,21.5,73.6,0.6,0.8,0.1,2.3,25.6,4.9,12,9,1,334,17,35,76,1146,398
TEMPLE ISD,12,8609,27.6,39.6,27.7,0.5,1.7,0.2,2.8,75.7,8.9,146,43,17,3409,2376,241,766,2384,6517
TROY ISD,12,1467,1.3,24.1,71.6,0.7,0.4,0.1,1.8,48.0,10.4,5,10,1,353,19,26,152,1050,704
