DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
HUGHES SPRINGS ISD,8,1231,12.4,9.7,73.2,0.3,0.3,0.1,3.9,61.8,7.6,3,3,1,119,152,48,93,901,760
LINDEN-KILDARE CISD,8,742,22.6,9.2,63.1,0.3,1.5,0.0,3.4,70.9,10.4,11,2,0,68,167,25,77,468,526
MCLEOD ISD,8,380,1.1,0.3,97.4,0.3,0.5,0.0,0.5,35.3,9.5,1,1,0,1,4,1,36,370,134
QUEEN CITY ISD,8,1033,13.3,2.7,78.7,0.9,0.5,0.0,4.0,54.6,8.6,5,9,0,27,137,41,88,812,564
BLOOMBURG ISD,8,276,4.0,2.9,89.1,2.2,1.4,0.0,0.4,59.1,9.4,3,6,0,8,11,1,25,245,163
DIMMITT ISD,16,1233,1.3,85.6,12.2,0.2,0.4,0.0,0.2,87.9,7.6,4,2,0,1055,16,2,93,150,1083
HART ISD,16,246,1.6,95.1,2.4,0.0,0.0,0.0,0.8,90.7,7.7,0,0,0,233,3,1,18,5,223
NAZARETH ISD,16,227,0.9,10.6,87.2,0.9,0.0,0.0,0.4,18.5,5.7,0,2,0,24,2,0,12,197,41
ANAHUAC ISD,4,1219,12.9,31.3,50.5,0.6,2.1,0.0,2.8,53.2,7.7,25,7,0,381,157,34,93,615,648
BARBERS HILL ISD,4,4900,3.1,21.2,72.2,0.6,0.7,0.0,2.2,19.4,6.7,34,29,0,1038,151,107,328,3537,950
EAST CHAMBERS ISD,5,1419,8.3,39.6,49.5,0.1,0.9,0.0,1.6,56.4,7.8,12,1,0,561,117,22,110,702,800
ALTO ISD,7,646,26.6,31.0,37.9,0.0,0.3,0.0,4.2,62.8,10.7,1,0,0,200,171,27,69,244,405
JACKSONVILLE ISD,7,4976,16.9,49.5,30.2,0.4,0.5,0.1,2.5,79.8,8.5,24,19,4,2463,840,124,422,1502,3970
RUSK ISD,7,2207,13.6,15.0,68.1,0.3,0.2,0.0,2.8,58.2,11.4,4,6,0,331,300,61,251,1502,1284
NEW SUMMERFIELD ISD,7,539,3.9,80.0,14.8,0.2,0.6,0.0,0.6,95.4,7.2,3,1,0,431,21,3,38,79,514
WELLS ISD,7,299,7.7,11.0,77.6,0.0,0.0,0.0,3.7,60.5,10.0,0,0,0,32,23,11,29,232,180
CHILDRESS ISD,16,1148,4.4,38.5,52.9,1.0,1.5,0.1,1.7,51.6,10.0,17,11,1,441,50,19,114,607,592
HENRIETTA ISD,9,983,0.8,7.9,85.5,1.6,0.1,0.1,4.0,42.7,11.9,0,15,0,77,7,39,116,840,419
PETROLIA ISD,9,519,0.8,11.4,82.5,2.3,0.0,0.0,3.1,49.7,9.2,0,11,0,59,4,16,47,428,257
BELLEVUE ISD,9,146,0.7,6.2,83.6,0.7,0.0,0.0,8.9,48.6,8.9,0,1,0,9,1,12,12,122,70
MIDWAY ISD,9,97,0.0,4.1,95.9,0.0,0.0,0.0,0.0,36.1,16.5,0,0,0,3,0,0,16,93,35
MORTON ISD,17,433,2.8,87.3,9.2,0.0,0.0,0.0,0.7,93.1,7.6,0,0,0,378,12,3,32,39,403
WHITEFACE CISD,17,362,2.5,44.5,49.7,0.3,0.0,1.1,1.9,48.9,12.2,0,1,3,161,9,6,44,179,177
BRONTE ISD,15,274,0.0,35.0,64.6,0.0,0.4,0.0,0.0,47.8,9.1,1,0,0,95,0,0,24,177,130
ROBERT LEE ISD,15,275,0.4,33.5,63.6,0.0,0.0,0.0,2.5,60.7,13.1,0,0,0,92,1,6,36,174,166
COLEMAN ISD,15,925,3.1,26.8,66.1,0.6,0.9,0.0,2.5,63.0,10.4,8,5,0,247,28,23,96,611,582
SANTA ANNA ISD,15,265,4.2,26.4,64.9,1.1,0.0,0.0,3.4,69.1,7.9,0,2,0,69,11,9,20,171,183
PANTHER CREEK CISD,15,144,0.0,20.8,77.1,0.0,0.0,0.0,2.1,67.4,6.3,0,0,0,29,0,3,9,111,97
IMAGINE INTERNATIONAL ACADEMY OF N,10,1097,9.5,14.7,48.1,1.3,21.6,0.2,4.6,7.7,4.8,236,14,2,161,104,50,52,527,84
ALLEN ISD,10,20554,11.4,12.6,54.5,0.6,16.5,0.3,4.1,15.2,9.7,3391,123,61,2589,2343,842,1993,11201,3124
ANNA ISD,10,2858,8.9,31.1,55.1,0.7,0.8,0.1,3.3,42.5,9.4,22,20,2,888,254,94,268,1574,1214
CELINA ISD,10,2198,3.1,25.2,66.2,1.1,0.9,0.0,3.5,29.0,7.1,19,24,0,553,68,76,156,1455,637
FARMERSVILLE ISD,10,1542,3.9,31.8,61.2,0.8,0.6,0.0,1.8,52.6,10.0,9,12,0,490,60,27,154,943,811
FRISCO ISD,10,49485,10.5,14.3,53.4,0.6,17.9,0.1,3.2,11.2,8.6,8857,296,49,7076,5195,1583,4255,26424,5542
MCKINNEY ISD,10,24653,12.9,27.8,51.9,0.6,3.7,0.3,2.8,30.9,9.6,912,147,73,6853,3180,690,2366,12794,7617
MELISSA ISD,10,2110,5.4,18.1,71.7,1.3,0.7,0.1,2.7,17.3,9.2,14,27,2,381,113,56,194,1512,365
PLANO ISD,10,54398,11.7,23.3,38.8,0.3,22.2,0.1,3.5,28.7,9.9,12076,163,54,12674,6364,1903,5385,21106,15612
PRINCETON ISD,10,3787,5.6,42.1,48.3,0.7,0.5,0.1,2.8,58.8,10.6,18,26,3,1594,212,106,401,1829,2226
PROSPER ISD,10,7060,7.5,12.8,71.9,0.7,2.9,0.2,4.0,8.3,7.8,204,49,14,903,529,282,550,5076,585
WYLIE ISD,10,13978,13.9,21.9,52.2,0.7,8.1,0.3,3.0,27.3,9.3,1132,97,41,3061,1942,419,1299,7296,3815
BLUE RIDGE ISD,10,719,0.7,18.4,77.7,0.8,0.1,0.0,2.2,55.2,7.1,0,5,0,132,5,15,51,558,396
COMMUNITY ISD,10,1826,5.0,27.9,63.1,0.7,1.1,0.1,2.2,42.4,9.1,20,12,1,509,91,40,166,1152,774
LOVEJOY ISD,10,3810,1.9,8.6,79.7,0.6,5.2,0.1,4.1,3.0,7.1,198,22,3,327,72,156,270,3036,114
WELLINGTON ISD,16,602,4.0,49.3,45.0,0.3,0.0,0.0,1.3,61.6,10.5,0,1,0,296,24,7,63,270,370
COLUMBUS ISD,3,1613,12.8,40.4,44.8,0.2,0.7,0.0,1.2,61.0,11.3,11,3,0,651,206,19,182,722,983
RICE CISD,3,1255,20.5,54.5,23.3,0.2,0.2,0.0,1.4,74.3,10.5,2,2,0,683,257,17,131,292,932
WEIMAR ISD,3,635,14.2,41.9,40.8,0.0,0.2,0.0,3.0,53.1,7.7,1,0,0,266,90,19,48,259,337
TRINITY CHARTER SCHOOL,13,490,17.3,40.2,39.6,0.0,0.0,0.0,2.9,99.6,40.4,0,0,0,196,84,14,197,194,488
NEW BRAUNFELS ISD,13,8441,1.6,47.3,48.2,0.5,0.8,0.1,1.5,36.7,7.4,67,42,8,3992,135,126,624,4068,3097
COMAL ISD,13,20264,2.3,37.9,55.6,0.3,1.3,0.2,2.5,30.6,9.5,263,60,40,7680,466,506,1925,11266,6200
COMANCHE ISD,14,1259,0.2,50.7,47.4,0.4,0.5,0.0,0.8,65.4,9.8,6,5,0,638,2,10,123,596,823
DE LEON ISD,14,634,0.6,32.8,63.9,0.3,0.5,0.0,1.9,55.8,10.4,3,1,0,207,3,12,65,405,353
GUSTINE ISD,14,221,0.0,63.3,34.8,0.5,0.0,0.0,1.4,82.8,14.9,0,1,0,139,0,3,32,76,182
SIDNEY ISD,14,152,0.0,19.7,79.6,0.7,0.0,0.0,0.0,65.8,10.5,0,1,0,29,0,0,15,120,100
EDEN CISD,15,247,0.0,64.4,35.2,0.0,0.0,0.0,0.4,68.0,13.0,0,0,0,159,0,0,32,86,167
PAINT ROCK ISD,15,211,0.0,46.0,51.2,0.0,0.0,0.0,2.8,74.9,9.0,0,0,0,97,0,5,18,108,158
GAINESVILLE ISD,11,2853,7.0,56.5,29.9,0.6,1.1,0.1,4.6,79.5,7.0,31,17,2,1611,199,131,199,853,2268
MUENSTER ISD,11,491,0.2,3.1,93.7,1.0,0.8,0.2,1.0,16.5,11.4,3,4,0,15,0,4,55,460,81
VALLEY VIEW ISD,11,743,0.0,22.5,74.7,0.3,1.1,0.0,1.5,52.1,11.0,8,2,0,167,0,11,81,555,387
CALLISBURG ISD,11,1145,0.6,12.4,83.9,1.4,0.2,0.0,1.5,44.8,10.0,2,16,0,141,6,17,114,960,512
ERA ISD,11,472,0.2,11.4,84.3,1.1,0.2,0.0,2.8,35.8,7.4,0,5,0,53,0,13,34,397,168
LINDSAY ISD,11,506,0.2,3.0,93.5,0.4,1.8,0.0,1.2,9.3,3.8,9,2,0,15,1,6,19,473,47
WALNUT BEND ISD,11,88,0.0,12.5,86.4,0.0,0.0,0.0,1.1,72.7,3.4,0,0,0,11,0,0,2,76,63
SIVELLS BEND ISD,11,62,0.0,8.1,88.7,3.2,0.0,0.0,0.0,64.5,9.7,0,1,0,5,0,0,6,54,39
EVANT ISD,12,258,0.4,24.0,73.3,0.4,0.0,0.0,1.9,65.9,6.2,0,1,0,61,1,4,15,189,170
GATESVILLE ISD,12,2806,2.2,21.7,70.9,0.6,0.6,0.0,3.9,49.1,11.8,16,16,0,608,61,109,331,1989,1377
OGLESBY ISD,12,184,0.0,28.8,68.5,0.0,0.0,0.0,2.7,66.3,7.6,0,0,0,52,0,4,13,126,121
JONESBORO ISD,12,190,0.5,12.1,85.3,0.0,0.0,0.0,2.1,47.9,11.6,0,0,0,22,0,3,22,162,91
COPPERAS COVE ISD,12,7826,18.7,23.9,44.7,0.7,1.4,1.8,8.9,51.5,8.9,109,54,140,1870,1463,696,696,3498,4030
PADUCAH ISD,17,205,12.2,35.6,48.3,1.5,0.0,0.0,2.4,65.4,13.2,0,3,0,72,25,4,27,99,134
CRANE ISD,18,1162,2.2,75.4,21.6,0.2,0.1,0.1,0.4,40.5,7.5,1,2,1,876,25,4,87,250,470
CROCKETT COUNTY CONSOLIDATED CSD,15,864,0.3,74.4,23.8,0.8,0.3,0.0,0.2,62.0,6.6,2,6,0,642,2,1,57,205,535
CROSBYTON CISD,17,363,4.7,71.1,24.0,0.0,0.0,0.0,0.3,73.0,11.8,0,0,0,258,17,1,42,87,264
LORENZO ISD,17,284,2.8,80.3,16.5,0.0,0.0,0.0,0.4,87.7,17.6,0,0,0,228,7,1,49,46,249
RALLS ISD,17,585,1.2,74.9,23.1,0.2,0.2,0.0,0.5,81.5,10.8,1,1,0,438,7,2,63,135,476
CULBERSON COUNTY-ALLAMOORE ISD,18,431,0.0,90.0,7.4,0.2,0.9,0.5,0.9,74.2,5.6,3,0,2,387,0,3,24,31,319
DALHART ISD,16,1760,1.2,53.3,43.6,0.2,0.6,0.0,1.1,58.5,6.6,10,3,0,938,21,19,116,767,1029
TEXLINE ISD,16,180,2.2,48.9,47.2,1.1,0.6,0.0,0.0,68.9,8.9,1,1,0,88,3,0,16,84,124
PEGASUS SCHOOL OF LIBERAL ARTS AND,10,662,21.0,74.9,2.7,0.0,0.3,0.2,0.9,86.6,8.6,1,0,1,495,139,5,56,17,573
UPLIFT EDUCATION - NORTH HILLS PRE,10,2724,6.6,41.3,13.6,0.1,34.7,0.0,3.6,38.0,5.1,945,2,0,1125,179,98,138,370,1035
TEXANS CAN ACADEMIES,10,4158,30.8,65.2,2.9,0.3,0.5,0.0,0.3,94.8,10.5,20,12,0,2711,1280,12,436,120,3941
LUMIN EDUCATION,10,272,2.6,72.4,19.5,0.0,1.1,0.0,4.4,62.5,6.6,2,0,0,196,7,11,17,53,170
ADVANTAGE ACADEMY,10,1633,18.6,61.1,17.0,0.2,1.2,0.2,1.6,74.0,7.2,19,3,3,997,303,26,117,277,1208
LIFE SCHOOL,10,5026,48.1,31.8,16.0,0.3,0.7,0.1,2.9,55.2,6.4,35,15,5,1598,2417,145,321,804,2774
UNIVERSAL ACADEMY,10,1790,17.0,30.5,1.5,0.7,49.5,0.0,0.8,39.3,1.8,886,12,0,545,304,14,32,26,703
NOVA ACADEMY,10,224,42.0,55.8,2.2,0.0,0.0,0.0,0.0,95.5,2.7,0,0,0,124,94,0,6,4,213
ACADEMY OF DALLAS,10,644,78.7,20.3,0.9,0.0,0.0,0.0,0.0,87.7,2.3,0,0,0,130,506,0,14,5,564
CHILDREN FIRST ACADEMY OF DALLAS,10,716,95.7,3.1,1.0,0.1,0.1,0.0,0.0,98.6,0.1,0,0,0,22,685,0,0,7,705
TRINITY BASIN PREPARATORY,10,1840,1.8,95.7,0.6,0.3,1.6,0.0,0.1,90.9,7.1,29,5,0,1760,33,1,130,11,1672
ACADEMY FOR ACADEMIC EXCELLENCE,10,506,45.5,45.1,7.9,0.2,0.4,0.0,1.0,100.0,21.3,2,1,0,228,230,5,107,39,506
FAITH FAMILY ACADEMY OF OAK CLIFF,10,2390,34.3,64.1,1.2,0.1,0.1,0.0,0.3,95.4,4.5,2,2,0,1531,819,7,107,28,2280
A W BROWN-FELLOWSHIP LEADERSHIP AC,10,2152,97.1,2.0,0.3,0.1,0.1,0.2,0.1,84.6,5.6,2,2,4,43,2089,2,120,6,1820
FOCUS LEARNING ACADEMY,10,885,93.0,6.4,0.3,0.0,0.0,0.0,0.2,99.8,14.9,0,0,0,56,823,1,131,2,883
JEAN MASSIEU ACADEMY,10,193,23.3,63.7,10.9,0.0,0.0,0.5,1.6,93.8,10.4,0,0,0,122,44,3,20,21,181
NOVA ACADEMY (SOUTHEAST),10,720,35.7,61.9,1.8,0.0,0.0,0.0,0.6,91.4,5.7,0,0,0,445,257,4,41,12,658
WINFREE ACADEMY CHARTER SCHOOLS,10,1248,19.6,41.4,33.7,1.0,1.9,0.4,2.0,57.2,10.1,23,12,4,516,244,24,126,420,713
A+ ACADEMY,10,974,3.4,90.8,4.1,0.0,0.0,0.0,1.7,93.8,11.2,0,0,0,884,33,16,109,39,913
INSPIRED VISION ACADEMY,10,1084,9.0,89.5,0.8,0.1,0.1,0.1,0.4,95.0,10.3,1,1,1,970,97,4,111,8,1029
GATEWAY CHARTER ACADEMY,10,729,96.2,2.3,0.8,0.1,0.4,0.0,0.1,73.5,9.3,2,0,0,16,701,0,67,5,535
ALPHA CHARTER SCHOOL,10,156,31.4,48.7,16.0,0.0,1.9,0.6,1.3,85.3,9.0,2,0,0,75,48,2,14,24,133
EDUCATION CENTER INTERNATIONAL ACA,10,399,21.1,28.6,38.3,0.0,10.5,0.0,1.5,45.9,9.0,41,0,0,114,84,5,35,152,183
EVOLUTION ACADEMY CHARTER SCHOOL,10,794,50.0,34.4,10.7,1.8,0.8,0.6,1.8,54.5,10.3,6,14,4,273,397,14,81,84,432
GOLDEN RULE CHARTER SCHOOL,10,1531,8.0,90.1,1.0,0.0,0.8,0.0,0.1,96.7,3.7,12,0,0,1379,122,1,56,15,1480
ST ANTHONY SCHOOL,10,308,98.1,1.9,0.0,0.0,0.0,0.0,0.0,72.1,7.1,0,0,0,5,302,0,21,0,222
KIPP DALLAS-FORT WORTH,10,753,56.4,38.1,4.6,0.0,0.0,0.0,0.8,81.9,5.7,0,0,0,286,424,6,42,34,616
UPLIFT EDUCATION - PEAK PREPARATOR,10,2747,13.5,81.3,2.9,0.0,0.9,0.1,1.3,82.9,7.4,24,0,2,2233,370,35,203,79,2277
LA ACADEMIA DE ESTRELLAS,10,1048,0.8,98.4,0.8,0.0,0.0,0.1,0.0,94.4,9.4,0,0,1,1031,8,0,98,8,989
RICHLAND COLLEGIATE HIGH SCHOOL,10,445,19.3,22.7,27.4,0.4,27.2,0.4,2.5,27.6,0.2,121,1,1,101,85,11,0,121,122
CITYSCAPE SCHOOLS,10,392,7.9,69.6,22.2,0.0,0.0,0.0,0.3,95.9,3.1,0,0,0,272,30,1,12,87,375
UPLIFT EDUCATION - WILLIAMS PREPAR,10,2756,6.0,92.4,0.5,0.1,0.5,0.0,0.5,90.8,5.8,13,2,0,2546,165,13,159,13,2502
UPLIFT EDUCATION - HAMPTON PREPARA,10,1242,66.9,29.9,1.4,0.1,0.1,0.0,1.7,72.3,6.5,1,1,0,371,830,21,80,17,897
MANARA ACADEMY,10,693,21.9,5.2,31.6,0.0,39.2,0.0,2.0,49.8,5.8,271,0,0,36,151,13,40,218,345
UME PREPARATORY ACADEMY,10,413,9.9,30.0,51.1,0.2,6.1,0.2,2.4,22.0,5.3,25,0,0,123,40,9,21,211,90
LEGACY PREPARATORY,10,1252,22.4,59.3,13.5,0.1,2.8,0.0,2.0,71.0,5.7,35,1,0,742,280,25,71,169,888
VILLAGE TECH SCHOOLS,10,727,30.5,32.2,29.2,0.1,1.8,0.1,6.1,32.2,2.9,13,0,0,234,221,44,21,212,234
INTERNATIONAL LEADERSHIP OF TEXAS,10,4633,17.0,47.3,26.1,0.4,6.8,0.1,2.3,42.7,5.2,315,18,4,2191,787,106,240,1209,1978
CARROLLTON-FARMERS BRANCH ISD,10,26152,16.9,55.3,15.4,0.2,10.5,0.1,1.7,64.7,9.3,2745,52,26,14462,4419,444,2432,4027,16920
CEDAR HILL ISD,10,7867,66.3,22.7,6.7,0.3,1.3,0.1,2.7,68.3,8.6,102,23,7,1785,5215,212,676,527,5373
DALLAS ISD,10,160148,22.9,70.1,4.8,0.4,1.3,0.1,0.5,85.9,7.2,2081,640,160,112263,36673,800,11530,7687,137567
DESOTO ISD,10,9577,77.6,17.5,3.0,0.2,0.3,0.1,1.4,72.1,9.6,28,19,9,1675,7431,134,919,287,6905
DUNCANVILLE ISD,10,12924,40.7,50.8,5.0,0.8,1.7,0.1,0.9,75.2,9.3,219,103,12,6565,5260,116,1201,646,9718
GARLAND ISD,10,57323,17.1,49.0,21.5,1.9,8.3,0.1,2.1,60.6,8.3,4757,1089,57,28088,9802,1203,4757,12324,34737
GRAND PRAIRIE ISD,10,28304,17.9,64.7,12.0,0.3,3.3,0.1,1.7,72.4,9.1,934,84,28,18312,5066,481,2575,3396,20492
HIGHLAND PARK ISD,10,7061,0.5,4.9,87.3,0.3,5.3,0.1,1.6,0.0,7.4,374,21,7,345,35,112,522,6164,0
IRVING ISD,10,35085,13.0,71.9,9.2,1.3,3.3,0.2,1.1,79.6,7.3,1157,456,70,25226,4561,385,2561,3227,27927
LANCASTER ISD,10,7051,77.3,19.0,2.1,0.8,0.1,0.0,0.7,86.0,8.1,7,56,0,1339,5450,49,571,148,6063
MESQUITE ISD,10,40170,24.7,54.4,16.6,0.5,1.7,0.1,2.0,73.5,9.6,682,200,40,21852,9921,803,3856,6668,29524
RICHARDSON ISD,10,38496,21.6,40.0,28.3,0.4,7.0,0.1,2.7,57.4,10.3,2694,153,38,15398,8315,1039,3965,10894,22096
SUNNYVALE ISD,10,1511,8.1,10.1,55.2,0.2,22.7,0.1,3.6,13.3,9.0,342,3,1,152,122,54,135,834,200
COPPELL ISD,10,11539,4.4,13.2,40.6,0.5,38.1,0.1,3.0,10.0,4.8,4396,57,11,1523,507,346,553,4684,1153
DAWSON ISD,17,173,0.0,56.6,41.6,1.2,0.6,0.0,0.0,50.3,8.7,1,2,0,97,0,0,15,71,87
KLONDIKE ISD,17,258,0.4,35.3,62.0,0.4,0.8,0.0,1.2,34.9,3.5,2,1,0,91,1,3,9,159,90
LAMESA ISD,17,2034,3.7,80.3,14.1,0.5,0.4,0.0,0.9,76.7,8.2,8,10,0,1633,75,18,166,286,1560
SANDS CISD,17,235,0.0,43.4,53.6,1.3,0.9,0.0,0.9,56.2,8.1,2,3,0,101,0,2,19,125,132
HEREFORD ISD,16,4201,0.5,87.1,11.5,0.1,0.2,0.0,0.5,83.1,6.6,8,4,0,3659,21,21,277,483,3491
WALCOTT ISD,16,132,0.0,79.5,20.5,0.0,0.0,0.0,0.0,66.7,6.1,0,0,0,104,0,0,8,27,88
COOPER ISD,8,808,12.3,10.3,71.7,1.4,0.5,0.0,4.0,60.0,10.4,4,11,0,83,99,32,84,579,484
FANNINDEL ISD,8,173,31.2,3.5,59.0,1.2,1.2,0.0,4.0,80.9,16.8,2,2,0,6,53,6,29,102,139
TEXAS EDUCATION CENTERS,11,480,12.3,44.0,40.2,0.2,0.6,0.0,2.7,55.8,10.8,2,0,0,211,59,12,51,192,267
LEADERSHIP PREP SCHOOL,10,520,7.5,12.5,37.3,0.4,39.2,0.0,3.1,5.2,8.5,203,2,0,65,39,16,44,193,27
DENTON ISD,11,26746,12.4,30.2,51.9,0.8,2.7,0.2,1.8,42.2,9.8,722,213,53,8077,3316,481,2621,13881,11286
LEWISVILLE ISD,11,53270,9.8,27.9,46.2,0.5,12.3,0.1,3.2,32.1,9.8,6552,266,53,14862,5220,1704,5220,24610,17099
PILOT POINT ISD,11,1388,2.7,39.7,53.2,1.2,0.6,0.4,2.2,51.2,6.6,8,16,5,551,37,30,91,738,710
KRUM ISD,11,2063,2.2,25.3,69.3,0.6,0.3,0.0,2.2,36.2,10.0,6,12,0,521,45,45,206,1429,746
PONDER ISD,11,1300,1.8,20.1,75.7,0.5,0.4,0.1,1.5,40.2,7.5,5,6,1,261,23,19,97,984,522
AUBREY ISD,11,2211,4.2,16.8,75.6,0.8,0.7,0.2,1.7,28.6,7.8,15,17,4,371,92,37,172,1671,632
SANGER ISD,11,2643,2.6,24.1,68.6,0.9,0.7,0.1,2.9,43.2,9.6,18,23,2,636,68,76,253,1813,1141
ARGYLE ISD,11,2049,0.5,10.4,86.2,0.4,0.8,0.0,1.7,11.6,8.2,16,8,0,213,10,34,168,1766,237
NORTHWEST ISD,11,19760,6.4,20.1,67.2,0.5,3.0,0.2,2.6,19.2,7.8,592,98,39,3971,1264,513,1541,13278,3793
LAKE DALLAS ISD,11,4003,7.0,26.6,58.2,0.9,2.2,0.1,4.9,37.9,11.0,88,36,4,1064,280,196,440,2329,1517
LITTLE ELM ISD,11,6921,14.5,40.8,38.6,0.3,2.3,0.2,3.3,44.8,7.8,159,20,13,2823,1003,228,539,2671,3100
CUERO ISD,3,2164,12.9,45.1,39.4,0.1,0.4,0.0,2.1,53.2,10.0,8,2,0,975,279,45,216,852,1151
NORDHEIM ISD,3,173,4.0,41.0,54.9,0.0,0.0,0.0,0.0,56.1,12.1,0,0,0,70,6,0,20,94,97
YOAKUM ISD,3,1634,8.0,62.2,27.8,0.1,0.4,0.0,1.5,69.6,11.9,6,1,0,1016,130,24,194,454,1137
YORKTOWN ISD,3,513,3.9,50.7,44.8,0.2,0.0,0.0,0.4,52.0,10.3,0,1,0,260,20,2,52,229,266
WESTHOFF ISD,3,64,6.3,51.6,42.2,0.0,0.0,0.0,0.0,62.5,3.1,0,0,0,33,4,0,1,27,40
MEYERSVILLE ISD,3,115,0.0,16.5,83.5,0.0,0.0,0.0,0.0,31.3,7.8,0,0,0,18,0,0,8,96,35
SPUR ISD,17,280,2.9,39.3,56.4,0.0,0.0,0.0,1.4,49.3,8.9,0,0,0,110,8,3,24,157,138
PATTON SPRINGS ISD,17,99,0.0,38.4,61.6,0.0,0.0,0.0,0.0,88.9,17.2,0,0,0,38,0,0,17,60,88
CARRIZO SPRINGS CISD,20,2449,0.5,93.4,5.3,0.0,0.7,0.0,0.1,73.6,6.9,17,0,0,2287,12,2,168,129,1802
CLARENDON ISD,16,481,9.1,12.3,74.0,0.0,0.8,0.6,3.1,48.4,9.6,3,0,2,59,43,14,46,355,232
HEDLEY ISD,16,112,1.8,24.1,71.4,1.8,0.0,0.0,0.9,72.3,12.5,0,2,0,26,2,1,14,79,80
RAMIREZ CSD,2,35,0.0,97.1,2.9,0.0,0.0,0.0,0.0,94.3,5.7,0,0,0,33,0,0,1,1,33
BENAVIDES ISD,2,371,0.0,98.9,1.1,0.0,0.0,0.0,0.0,74.7,12.7,0,0,0,366,0,0,47,4,277
SAN DIEGO ISD,2,1410,0.2,98.5,1.3,0.0,0.0,0.0,0.0,64.8,8.1,0,0,0,1388,2,0,114,18,913
FREER ISD,2,776,0.0,91.8,7.5,0.1,0.4,0.0,0.3,57.2,11.3,3,0,0,712,0,2,87,58,443
CISCO ISD,14,872,0.3,18.2,77.6,0.3,0.5,0.0,3.0,56.8,9.6,4,2,0,158,2,26,83,676,495
EASTLAND ISD,14,1087,1.6,29.4,67.1,0.3,0.9,0.0,0.7,56.7,9.2,9,3,0,319,17,7,100,729,616
GORMAN ISD,14,323,0.3,38.7,58.5,0.0,0.0,0.0,2.5,69.3,12.7,0,0,0,125,0,8,41,188,223
RANGER ISD,14,459,2.8,21.1,73.9,0.9,0.0,0.0,1.3,72.1,11.1,0,4,0,96,12,5,50,339,330
RISING STAR ISD,14,171,1.8,15.8,81.3,0.0,0.0,0.0,1.2,64.9,10.5,0,0,0,27,3,2,17,139,110
COMPASS ACADEMY CHARTER SCHOOL,18,575,1.7,31.5,65.4,0.0,0.2,0.0,1.2,24.9,6.1,1,0,0,181,9,6,35,376,143
UTPB STEM ACADEMY,18,301,3.7,31.2,58.8,0.7,0.7,0.0,5.0,9.6,4.7,2,2,0,93,11,15,14,176,28
ECTOR COUNTY ISD,18,31900,3.8,73.7,20.1,0.3,0.9,0.2,1.0,48.1,7.1,287,95,63,23510,1212,319,2264,6411,15343
ROCKSPRINGS ISD,15,257,0.0,83.3,16.3,0.0,0.4,0.0,0.0,75.9,10.5,1,0,0,214,0,0,26,41,195
NUECES CANYON CISD,15,294,0.3,41.8,56.1,0.3,0.0,0.0,1.4,62.6,10.9,0,0,0,122,0,4,32,164,184
WAXAHACHIE FAITH FAMILY ACADEMY,10,509,28.5,34.2,35.2,0.0,0.6,0.0,1.6,84.9,5.1,3,0,0,174,145,8,25,179,432
AVALON ISD,10,372,1.3,35.2,62.9,0.0,0.0,0.3,0.3,60.8,14.2,0,0,1,130,4,1,52,233,226
ENNIS ISD,10,5773,11.8,56.0,30.1,0.2,0.4,0.3,1.3,69.2,10.5,23,11,17,3232,681,75,606,1737,3994
FERRIS ISD,10,2453,6.8,68.9,22.8,0.4,0.0,0.0,1.0,81.0,10.1,0,9,0,1690,166,24,247,559,1986
ITALY ISD,10,569,10.7,33.2,51.7,0.5,0.7,0.0,3.2,53.3,10.2,3,2,0,188,60,18,58,294,303
MIDLOTHIAN ISD,10,7881,4.9,21.2,69.5,0.4,1.4,0.1,2.6,22.2,9.2,110,31,7,1670,386,204,725,5477,1749
MILFORD ISD,10,244,23.8,30.7,38.9,0.4,0.0,0.0,6.1,79.5,12.7,0,0,0,74,58,14,30,94,193
PALMER ISD,10,1140,1.4,42.1,54.3,0.4,0.4,0.0,1.5,54.4,13.3,4,4,0,479,15,17,151,619,620
RED OAK ISD,10,5608,19.0,32.6,44.4,0.7,0.9,0.1,2.4,44.3,10.2,50,39,5,1828,1065,134,572,2489,2484
WAXAHACHIE ISD,10,7947,11.5,35.3,49.5,0.4,0.5,0.1,2.7,48.4,10.8,39,31,7,2805,913,214,858,3933,3846
MAYPEARL ISD,10,1052,2.1,17.2,78.3,0.5,0.6,0.3,1.0,37.4,8.7,6,5,3,180,22,10,91,823,393
BURNHAM WOOD CHARTER SCHOOL DISTRI,19,968,2.8,86.1,8.0,0.0,2.5,0.1,0.6,51.1,4.0,24,0,0,833,27,5,38,77,494
PASO DEL NORTE ACADEMY CHARTER DIS,19,273,0.4,98.2,1.5,0.0,0.0,0.0,0.0,94.5,2.6,0,0,0,268,1,0,7,4,257
EL PASO ACADEMY,19,456,0.7,93.2,5.3,0.0,0.4,0.0,0.4,53.3,7.9,1,0,0,424,3,1,36,24,243
