DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total EXPULSION ACTIONS,ratio ECO. DISADV. EXPULSION ACTIONS vs average,ratio SPEC. ED. EXPULSION ACTIONS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
013901,BEEVILLE ISD,02,3364,2.1,82.9,13.6,0.2,0.4,0.1,0.7,74.3,9.2,1,1.3459,0,0,1.2063,0,0,0,0,0
013902,PAWNEE ISD,02,164,0,77.4,21.3,0,0,0,1.2,54.3,9.1,1,1.8416,0,1,1.2920,0,1,1,1,0
013903,PETTUS ISD,02,438,2.3,62.3,33.3,0,0.2,0,1.8,59.8,12.8,0,1,1,1,1,1,1,1,1,1
013905,SKIDMORE-TYNAN ISD,02,789,1,64.9,32.2,0.9,0.5,0.3,0.3,55.8,10.3,1,1.7921,9.7087,0,1.5408,0,0,0,0,0
014801,RICHARD MILBURN ALTER HIGH SCHOOL,12,132,37.1,34.1,22,0,0.8,1.5,4.5,68.2,17.4,0,1,1,1,1,1,1,1,1,1
014802,TRANSFORMATIVE CHARTER ACADEMY,12,91,41.8,35.2,17.6,0,1.1,1.1,3.3,68.1,6.6,0,1,1,1,1,1,1,1,1,1
014803,PRIORITY CHARTER SCHOOLS,12,885,16.4,25.2,51.6,0.2,1.1,0,5.4,52.3,10.2,0,1,1,1,1,1,1,1,1,1
014804,ORENDA CHARTER SCHOOL,12,1206,5.5,20.4,69.3,0.6,1.8,0.1,2.3,25.5,12.2,2,1.9608,0,0,2.4510,0.7215,0,0,0,0
014901,ACADEMY ISD,12,1270,2.3,21.8,71.7,0.7,0.6,0.3,2.5,36.3,7.1,0,1,1,1,1,1,1,1,1,1
014902,BARTLETT ISD,13,395,11.4,61.8,24.6,0.3,0,0,2,72.9,9.4,0,1,1,1,1,1,1,1,1,1
014903,BELTON ISD,12,10305,6.5,32.5,54.7,0.7,1.6,0.2,3.7,50.4,10.5,0,1,1,1,1,1,1,1,1,1
014905,HOLLAND ISD,12,630,3,31.1,64.1,0.2,0.5,0,1.1,50.8,8.1,0,1,1,1,1,1,1,1,1,1
014906,KILLEEN ISD,12,41336,33.6,28.1,26.4,0.7,2.6,1.6,6.9,57.3,11.2,4,0.4363,2.2321,0.7440,0.8897,0.9470,0,0,0,3.6232
014907,ROGERS ISD,12,862,2.7,27.5,68,0.5,0.5,0.1,0.8,49.7,7.2,0,1,1,1,1,1,1,1,1,1
014908,SALADO ISD,12,1465,1,20.1,75,0.9,0.9,0.1,2.1,27.5,5.9,0,1,1,1,1,1,1,1,1,1
014909,TEMPLE ISD,12,8644,27.9,40.3,26.7,0.5,1.6,0.1,3,76.8,8.8,3,0.4340,3.7879,1.1947,0.8271,1.2484,0,0,0,0
014910,TROY ISD,12,1434,1.5,23.7,72.4,0.5,0.6,0.1,1.2,48,9.3,0,1,1,1,1,1,1,1,1,1
015801,POR VIDA ACADEMY,20,303,2.6,89.1,7.6,0,0,0,0.7,69.6,17.2,0,1,1,1,1,1,1,1,1,1
015802,GEORGE GERVIN ACADEMY,20,1313,30.1,63.1,4.6,0.1,0.5,0.1,1.6,97.7,3,0,1,1,1,1,1,1,1,1,1
015803,HIGGS CARTER KING GIFTED & TALENTE,20,485,13.4,82.9,2.1,0.4,0,0.2,1,94.6,5.8,0,1,1,1,1,1,1,1,1,1
015805,NEW FRONTIERS CHARTER SCHOOL,20,615,1.3,96.3,2.3,0,0,0,0.2,89.3,8.8,0,1,1,1,1,1,1,1,1,1
015806,SCHOOL OF EXCELLENCE IN EDUCATION,20,1384,31.6,62.5,3.5,0,0.1,0.4,2,92.6,6.8,0,1,1,1,1,1,1,1,1,1
015807,SOUTHWEST PREPARATORY SCHOOL,20,627,11.5,81.7,6.2,0,0.2,0,0.5,77,12.8,0,1,1,1,1,1,1,1,1,1
015808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,489,23.5,36,35.6,1.6,0.2,0.2,2.9,100,40.9,0,1,1,1,1,1,1,1,1,1
015809,BEXAR COUNTY ACADEMY,20,505,4.4,91.3,3.8,0,0.4,0,0.2,35,11.5,0,1,1,1,1,1,1,1,1,1
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,20,183,1.6,95.6,2.2,0,0,0,0.5,89.6,13.7,0,1,1,1,1,1,1,1,1,1
015815,RADIANCE ACADEMY OF LEARNING,20,556,10.4,69.6,14,0,2.2,0,3.8,75.7,6.3,0,1,1,1,1,1,1,1,1,1
015816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,182,10.4,76.4,12.1,1.1,0,0,0,28.6,8.8,0,1,1,1,1,1,1,1,1,1
015819,SHEKINAH RADIANCE ACADEMY,20,798,33.5,26.9,34,0.4,0.5,0.3,4.5,69.9,6.1,2,0,0,1.4925,1.8587,0,0,0,0,0
015820,SAN ANTONIO SCHOOL FOR INQUIRY & C,20,408,3.2,82.6,12.5,0.2,0.5,0,1,90.2,12.5,0,1,1,1,1,1,1,1,1,1
015822,JUBILEE ACADEMIC CENTER,20,2991,5.8,84.5,8.5,0,0.5,0,0.7,76.1,6.6,0,1,1,1,1,1,1,1,1,1
015823,SAN ANTONIO TECHNOLOGY ACADEMY,20,62,1.6,93.5,3.2,0,1.6,0,0,91.9,12.9,0,1,1,1,1,1,1,1,1,1
015825,LIGHTHOUSE CHARTER SCHOOL,20,247,4.9,89.1,6.1,0,0,0,0,89.9,8.1,0,1,1,1,1,1,1,1,1,1
015826,KIPP SAN ANTONIO,20,1485,2.8,94.7,2,0,0.1,0,0.3,85.9,8,0,1,1,1,1,1,1,1,1,1
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,20,855,13.8,56.1,22.6,0,3.5,0.1,3.9,54.3,6.1,0,1,1,1,1,1,1,1,1,1
015828,HARMONY SCIENCE ACAD (SAN ANTONIO),20,2266,9.3,73.4,13.9,0.3,1.5,0.1,1.5,65.4,5.6,4,0.3823,0,2.6882,0.3406,1.7986,0,16.6667,0,0
