DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total EXPULSION ACTIONS,ratio ECO. DISADV. EXPULSION ACTIONS vs average,ratio SPEC. ED. EXPULSION ACTIONS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
031911,RIO HONDO ISD,01,2168,0.1,96.7,3.1,0,0,0,0,86.1,7.2,1,1.1614,13.8889,0,1.0341,0,1,1,1,1
031912,SAN BENITO CISD,01,11010,0,99,0.8,0,0,0,0.1,83,7.5,5,0.2410,2.6667,1,1.0101,0,1,1,1,0
031913,SANTA MARIA ISD,01,727,0,98.9,1.1,0,0,0,0,96,5.6,0,1,1,1,1,1,1,1,1,1
031914,SANTA ROSA ISD,01,1170,0.1,99.2,0.7,0,0,0,0,96.2,7.9,0,1,1,1,1,1,1,1,1,1
031916,SOUTH TEXAS ISD,01,3353,1.1,81.6,5.7,0,10.8,0,0.8,60.5,1.2,0,1,1,1,1,1,1,1,1,1
032902,PITTSBURG ISD,08,2449,17.3,38,40.5,0.6,1,0.2,2.4,78.9,10.8,1,1.2674,9.2593,5.7803,0,0,0,0,0,0
033901,GROOM ISD,16,134,0.7,11.9,84.3,0,0.7,0,2.2,30.6,7.5,0,1,1,1,1,1,1,1,1,1
033902,PANHANDLE ISD,16,670,1.2,7.9,89,0.4,0.4,0.1,0.9,22.5,8.4,2,2.2222,0,0,6.3291,0.5618,0,0,0,0
033904,WHITE DEER ISD,16,378,0,12.4,86,0.5,0,0,1.1,42.6,6.1,1,0,0,1,0,1.1628,0,1,1,0
034901,ATLANTA ISD,08,1825,33.6,7,55.9,0.5,0.5,0.1,2.3,64.5,9.2,1,1.5504,10.8696,2.9762,0,0,0,0,0,0
034902,AVINGER ISD,08,152,15.8,11.8,65.1,0.7,0,0,6.6,88.2,7.2,0,1,1,1,1,1,1,1,1,1
034903,HUGHES SPRINGS ISD,08,1204,13.4,9.7,72,0.2,0.3,0.1,4.2,57.7,7.1,0,1,1,1,1,1,1,1,1,1
034905,LINDEN-KILDARE CISD,08,751,20.9,9.3,65.5,0.1,1.6,0,2.5,73.2,10.4,0,1,1,1,1,1,1,1,1,1
034906,MCLEOD ISD,08,411,1.2,0.7,96.1,0.2,0.5,0,1.2,40.9,9.2,0,1,1,1,1,1,1,1,1,1
034907,QUEEN CITY ISD,08,1015,14.2,3.5,77.2,0.7,0.5,0,3.8,55.3,8.5,0,1,1,1,1,1,1,1,1,1
034909,BLOOMBURG ISD,08,265,1.1,3.8,91.3,1.5,1.5,0,0.8,57.7,9.4,0,1,1,1,1,1,1,1,1,1
035901,DIMMITT ISD,16,1231,1.5,85.4,12.4,0,0.3,0,0.4,89.3,6.7,1,1.1198,0,0,1.1710,0,1,0,1,0
035902,HART ISD,16,250,1.6,96.4,1.2,0,0,0,0.8,91.2,8.4,0,1,1,1,1,1,1,1,1,1
035903,NAZARETH ISD,16,227,0.9,12.3,85.5,0.9,0,0,0.4,21.6,7,0,1,1,1,1,1,1,1,1,1
036901,ANAHUAC ISD,04,1228,14.3,30.3,49.2,0.7,2.4,0,3.1,53.9,7.9,0,1,1,1,1,1,1,1,1,1
036902,BARBERS HILL ISD,04,4676,3,20.8,73,0.6,0.8,0,1.8,20,6.3,1,0,15.8730,33.3333,0,0,0,0,1,0
036903,EAST CHAMBERS ISD,05,1409,7.6,38.5,50.9,0,1.1,0,1.9,56.1,8.5,0,1,1,1,1,1,1,1,1,1
037901,ALTO ISD,07,649,25.9,29.1,40.5,0,0.3,0,4.2,71.8,9.2,2,0.6964,5.4348,0,1.7182,1.2346,1,0,1,0
037904,JACKSONVILLE ISD,07,4938,17,49.5,30.5,0.3,0.5,0.1,2.2,80.6,8.8,3,0.4136,3.7879,1.9608,0,1.0929,0,0,0,15.1515
037907,RUSK ISD,07,2225,14.6,15.1,66.6,0.4,0.3,0,2.9,60.9,10.7,1,1.6420,0,0,6.6225,0,0,0,1,0
037908,NEW SUMMERFIELD ISD,07,510,4.1,82.5,11.8,0.2,0.6,0,0.8,94.3,6.7,0,1,1,1,1,1,1,1,1,1
037909,WELLS ISD,07,317,9.1,8.8,77.9,0,0,0,4.1,66.9,6.6,0,1,1,1,1,1,1,1,1,1
038901,CHILDRESS ISD,16,1128,5,37,54,0.7,1.5,0.1,1.8,57.4,9,0,1,1,1,1,1,1,1,1,1
039902,HENRIETTA ISD,09,948,0.6,7.8,87.2,1.1,0.2,0,3.1,44.2,11.2,1,2.2624,8.9286,0,0,1.1468,0,0,1,0
039903,PETROLIA ISD,09,508,0.6,10.6,83.9,1.8,0,0,3.1,46.3,8.9,1,2.1598,0,0,0,1.1919,0,1,1,0
039904,BELLEVUE ISD,09,144,0,4.2,87.5,2.8,0,0,5.6,43.1,11.1,0,1,1,1,1,1,1,1,1,1
039905,MIDWAY ISD,09,106,0,2.8,96.2,0.9,0,0,0,37.7,17,0,1,1,1,1,1,1,1,1,1
040901,MORTON ISD,17,449,2.7,86.4,10.5,0,0,0,0.4,92.2,7.8,0,1,1,1,1,1,1,1,1,1
040902,WHITEFACE CISD,17,370,2.4,45.7,48.6,0.3,0.3,0.5,2.2,53.2,12.4,0,1,1,1,1,1,1,1,1,1
041901,BRONTE ISD,15,272,0,34.2,65.1,0,0.4,0,0.4,51.8,10.3,0,1,1,1,1,1,1,1,1,1
041902,ROBERT LEE ISD,15,241,0,35.7,63.9,0,0,0,0.4,60.2,11.2,0,1,1,1,1,1,1,1,1,1
042901,COLEMAN ISD,15,880,3,26.1,66.1,0.8,0.7,0,3.3,58.5,10.1,0,1,1,1,1,1,1,1,1,1
042903,SANTA ANNA ISD,15,245,4.1,32.2,60,1.2,0,0,2.4,71.4,9.4,0,1,1,1,1,1,1,1,1,1
042905,PANTHER CREEK CISD,15,148,0,22.3,77,0,0,0,0.7,14.2,8.8,0,1,1,1,1,1,1,1,1,1
043801,IMAGINE INTERNATIONAL ACADEMY OF N,10,1022,9.4,15.4,51.5,0.9,17.8,0.2,4.9,7.2,3.9,0,1,1,1,1,1,1,1,1,1
043901,ALLEN ISD,10,20262,10.8,12.7,55.9,0.6,15.4,0.3,4.3,15.9,10.1,4,1.5723,2.4752,2.3148,1.9685,0.4472,0,0,0,5.8140
043902,ANNA ISD,10,2578,7.5,30.6,57.3,0.6,0.8,0,3,45,9.4,1,2.2222,10.6383,0,0,1.7452,0,0,1,0
043903,CELINA ISD,10,2071,3.5,25.6,65.6,0.9,0.7,0,3.7,29.9,7.7,2,1.6722,6.4935,0,1.9531,0.7622,0,0,1,0
043904,FARMERSVILLE ISD,10,1527,3.8,32,61,1,0.6,0,1.6,52.8,9.1,0,1,1,1,1,1,1,1,1,1
043905,FRISCO ISD,10,45892,10.6,14.8,55.3,0.6,15.4,0.1,3.2,11.3,8.8,3,2.9499,3.7879,3.1447,2.2523,0.6028,0,0,0,0
043907,MCKINNEY ISD,10,24440,12.9,27.3,52.8,0.6,3.4,0.3,2.8,30.3,9.3,38,2.7792,3.1126,2.8560,2.0243,0.0498,0,0,8.7719,0.9398
043908,MELISSA ISD,10,1890,5.6,18.4,71,1.3,0.8,0.1,2.9,21.2,9,2,0,0,8.9286,2.7174,0,0,0,0,0
043910,PLANO ISD,10,54551,11.4,23,40.2,0.3,21.5,0.1,3.4,27.6,9.8,20,3.0797,3.5714,0.4386,3.6957,0.1244,0,0,0,1.4706
043911,PRINCETON ISD,10,3616,5.4,41.2,49.8,0.5,0.4,0.1,2.5,57.4,10.7,1,1.7422,0,0,2.4272,0,0,0,0,0
043912,PROSPER ISD,10,6395,7.8,13.6,71.8,0.8,2.2,0.1,3.6,10.7,7.4,0,1,1,1,1,1,1,1,1,1
043914,WYLIE ISD,10,13673,13.7,21.4,53.7,0.8,7.5,0.3,2.7,27.7,9.2,10,2.1661,1.0870,0.7299,0.4673,1.3035,0,1.3333,0,0
043917,BLUE RIDGE ISD,10,655,0.3,17.1,80,0.8,0.2,0,1.7,44,7.6,0,1,1,1,1,1,1,1,1,1
043918,COMMUNITY ISD,10,1675,4.8,25.1,67.2,0.6,1,0.1,1.3,42.5,9,1,0,0,0,3.9841,0,0,0,0,0
043919,LOVEJOY ISD,10,3722,1.8,7.8,81.1,0.5,4.9,0.1,3.8,3.6,6.9,0,1,1,1,1,1,1,1,1,1
044902,WELLINGTON ISD,16,611,4.1,49.8,44.2,0.3,0,0,1.6,62.4,11.3,0,1,1,1,1,1,1,1,1,1
045902,COLUMBUS ISD,03,1661,12.9,39,45.9,0.2,0.5,0,1.4,58.2,10.6,0,1,1,1,1,1,1,1,1,1
045903,RICE CISD,03,1259,20.3,53.5,24.8,0.2,0.2,0,1.1,75.7,9.8,0,1,1,1,1,1,1,1,1,1
045905,WEIMAR ISD,03,604,15.2,43,38.9,0,0,0,2.8,51.2,8.1,0,1,1,1,1,1,1,1,1,1
046802,TRINITY CHARTER SCHOOL,13,315,19.7,36.5,40.6,1.6,0,0,1.6,99,35.9,0,1,1,1,1,1,1,1,1,1
046901,NEW BRAUNFELS ISD,13,8265,1.6,46.8,48.9,0.5,0.6,0.1,1.5,38.6,7.6,0,1,1,1,1,1,1,1,1,1
046902,COMAL ISD,13,19436,2.2,37.2,56.4,0.3,1.2,0.2,2.6,30.7,9.2,16,2.2394,0.6793,0,1.6801,0.6649,0,0,0,0
047901,COMANCHE ISD,14,1258,0.4,48.8,49,0.5,0.5,0,0.9,66.2,10.8,0,1,1,1,1,1,1,1,1,1
047902,DE LEON ISD,14,647,1.1,34.5,61.7,0.3,0.3,0,2.2,58.1,9.4,1,1.7212,0,0,0,1.6207,0,0,1,0
047903,GUSTINE ISD,14,230,0.4,61.3,36.1,0.4,0,0,1.7,81.3,11.7,0,1,1,1,1,1,1,1,1,1
047905,SIDNEY ISD,14,133,0,15.8,83.5,0.8,0,0,0,69.2,7.5,0,1,1,1,1,1,1,1,1,1
048901,EDEN CISD,15,235,1.3,57.9,40.4,0,0,0,0.4,67.7,9.4,0,1,1,1,1,1,1,1,1,1
048903,PAINT ROCK ISD,15,229,0,46.3,50.7,0.4,0,0,2.6,68.6,10.9,0,1,1,1,1,1,1,1,1,1
049901,GAINESVILLE ISD,11,2823,7.3,55.5,30.8,0.6,1.1,0,4.7,80.6,7.4,2,0.6203,6.7568,0,0.9009,1.6234,0,0,1,0
049902,MUENSTER ISD,11,480,0.4,3.3,94,0.4,0.8,0,1,14.6,9.8,0,1,1,1,1,1,1,1,1,1
049903,VALLEY VIEW ISD,11,740,0,21.2,74.5,0.5,1.2,0.1,2.4,48.4,9.5,0,1,1,1,1,1,1,1,1,1
049905,CALLISBURG ISD,11,1156,0.6,10.3,86.6,1.2,0.1,0,1.2,48.8,10.4,0,1,1,1,1,1,1,1,1,1
049906,ERA ISD,11,450,0.4,12.4,81.8,1.8,0.2,0,3.3,35.1,6.9,0,1,1,1,1,1,1,1,1,1
049907,LINDSAY ISD,11,487,0.2,3.5,93.6,0.6,1.2,0,0.8,6.4,2.5,0,1,1,1,1,1,1,1,1,1
049908,WALNUT BEND ISD,11,86,0,12.8,83.7,0,0,0,3.5,74.4,7,0,1,1,1,1,1,1,1,1,1
049909,SIVELLS BEND ISD,11,70,1.4,4.3,90,2.9,0,0,1.4,62.9,8.6,0,1,1,1,1,1,1,1,1,1
050901,EVANT ISD,12,243,0.4,24.7,73.7,0.8,0,0,0.4,63.8,9.5,0,1,1,1,1,1,1,1,1,1
050902,GATESVILLE ISD,12,2817,2.3,21.3,71.5,0.5,0.6,0,3.9,49.8,11.8,4,0,2.1186,10.8696,1.1737,0.3497,0,0,1,6.4103
050904,OGLESBY ISD,12,170,0,28.2,70,0,0,0,1.8,70,7.1,0,1,1,1,1,1,1,1,1,1
050909,JONESBORO ISD,12,189,0.5,11.1,87.3,0,0,0,1.1,54,8.5,1,0,11.7647,0,0,1.1455,1,1,1,0
050910,COPPERAS COVE ISD,12,8249,18.6,22.8,45.7,0.8,1.6,1.5,9,51.8,8.4,5,3.4749,2.3810,1.0753,0.8772,0.4376,0,0,13.3333,2.2222
051901,PADUCAH ISD,17,210,12.4,37.6,47.1,1.9,0,0,1,64.8,12.4,0,1,1,1,1,1,1,1,1,1
052901,CRANE ISD,18,1147,2,72.2,25.2,0.2,0.1,0.1,0.3,36.5,7.9,0,1,1,1,1,1,1,1,1,1
053001,CROCKETT COUNTY CONSOLIDATED CSD,15,810,0.6,75.6,23,0.5,0.4,0,0,60.5,7.7,0,1,1,1,1,1,1,1,1,1
054901,CROSBYTON CISD,17,361,4.4,70.6,23.8,0,0,0,1.1,76.5,11.9,0,1,1,1,1,1,1,1,1,1
054902,LORENZO ISD,17,298,6,83.2,10.7,0,0,0,0,87.6,20.8,0,1,1,1,1,1,1,1,1,1
054903,RALLS ISD,17,532,1.1,75.8,22.6,0.2,0.2,0,0.2,85.5,10.3,0,1,1,1,1,1,1,1,1,1
055901,CULBERSON COUNTY-ALLAMOORE ISD,18,459,0,89.8,7.6,0.2,1.1,0.4,0.9,73.2,5.4,0,1,1,1,1,1,1,1,1,1
056901,DALHART ISD,16,1770,1.1,51.8,45,0.2,0.6,0.2,1.1,59.8,6.8,0,1,1,1,1,1,1,1,1,1
056902,TEXLINE ISD,16,156,1.9,49.4,46.2,1.9,0,0,0.6,61.5,9,0,1,1,1,1,1,1,1,1,1
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10,726,21.8,74.2,2.5,0,0.6,0,1,81,7.3,0,1,1,1,1,1,1,1,1,1
057803,UPLIFT EDUCATION - NORTH HILLS PRE,10,2198,5.6,34.3,16.3,0.1,40.4,0,3.2,27.3,4.8,0,1,1,1,1,1,1,1,1,1
057804,TEXANS CAN ACADEMIES,10,4258,28.5,67.7,2.8,0.2,0.4,0,0.3,94.2,11.7,2,0.5308,4.2735,1.7544,0.7386,0,0,0,1,0
057805,DALLAS COMMUNITY CHARTER SCHOOL,10,273,2.2,68.9,23.8,0,1.1,0,4,57.9,8.4,0,1,1,1,1,1,1,1,1,1
057806,ADVANTAGE ACADEMY,10,1630,21,57.1,18.3,0.2,1.2,0.2,1.8,73.6,6.5,0,1,1,1,1,1,1,1,1,1
057807,LIFE SCHOOL,10,4644,48.4,29.6,17.5,0.4,0.8,0.1,3.2,55.4,6.9,0,1,1,1,1,1,1,1,1,1
057808,UNIVERSAL ACADEMY,10,1518,16.6,33.1,1.4,0.2,48.2,0,0.5,42.8,1.9,0,1,1,1,1,1,1,1,1,1
057809,NOVA ACADEMY,10,200,39,59.5,1.5,0,0,0,0,90.5,2.5,0,1,1,1,1,1,1,1,1,1
057810,ACADEMY OF DALLAS,10,603,82.3,16.7,0.8,0,0,0,0.2,54.6,13.8,0,1,1,1,1,1,1,1,1,1
057813,TRINITY BASIN PREPARATORY,10,1732,3.6,94.6,0.5,0.5,0.8,0,0.1,90.5,6.8,6,1.1050,2.4510,0,1.0571,0,0,0,1,0
057814,ACADEMY FOR ACADEMIC EXCELLENCE,10,535,49.2,39.6,9.7,0,0,0,1.5,100,25.6,0,1,1,1,1,1,1,1,1,1
057815,FAITH FAMILY ACADEMY OF OAK CLIFF,10,2182,37.1,61.3,1.4,0.1,0,0,0.1,96,4.8,0,1,1,1,1,1,1,1,1,1
057816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,1991,97.7,1.6,0.2,0.1,0.1,0.2,0.2,82.4,6.4,0,1,1,1,1,1,1,1,1,1
057817,FOCUS LEARNING ACADEMY,10,888,91.7,7.9,0.3,0.1,0,0,0,82.4,15.8,0,1,1,1,1,1,1,1,1,1
057819,JEAN MASSIEU ACADEMY,10,196,27,62.2,9.7,0,0,0,1,93.4,10.7,0,1,1,1,1,1,1,1,1,1
057825,HONORS ACADEMY,10,759,19,54.2,23.7,0.4,0.3,0.3,2.2,74.6,9.2,0,1,1,1,1,1,1,1,1,1
057827,NOVA ACADEMY (SOUTHEAST),10,680,40.1,57.5,1.5,0,0,0.1,0.7,93.8,6.2,1,1.0661,0,0,1.7391,0,1,1,0,0
057828,WINFREE ACADEMY CHARTER SCHOOLS,10,1406,16,38.7,40.2,1.3,1.6,0.4,1.8,53.9,13.9,3,0.6184,0,2.0833,0.8613,0.8292,0,0,0,0
057829,A+ ACADEMY,10,994,3.5,90,4.2,0,0,0,2.2,93.2,10.4,0,1,1,1,1,1,1,1,1,1
057830,INSPIRED VISION ACADEMY,10,1081,10.9,87.7,0.8,0.1,0.1,0.1,0.3,90.7,8.5,1,1.1025,11.7647,0,1.1403,0,0,0,0,0
057831,GATEWAY CHARTER ACADEMY,10,779,97.4,1,0.4,0.3,0.8,0,0.1,86.4,7.8,0,1,1,1,1,1,1,1,1,1
057832,ALPHA CHARTER SCHOOL,10,115,26.1,53.9,17.4,0,0.9,0,1.7,60,13,0,1,1,1,1,1,1,1,1,1
057833,EDUCATION CENTER INTERNATIONAL ACA,10,362,24.9,24,41.2,0.6,7.7,0,1.7,41.2,8,0,1,1,1,1,1,1,1,1,1
057834,EVOLUTION ACADEMY CHARTER SCHOOL,10,536,47.2,40.9,8.6,1.3,0.6,0,1.5,69.2,12.3,3,3.8536,2.7100,0.7062,0.8150,3.8760,0,0,1,0
057835,GOLDEN RULE CHARTER SCHOOL,10,1349,9.2,89,1,0.1,0.8,0,0,97.9,3.6,0,1,1,1,1,1,1,1,1,1
057836,ST ANTHONY SCHOOL,10,311,98.7,1.3,0,0,0,0,0,67.8,5.8,0,1,1,1,1,1,1,1,1,1
057837,KIPP DALLAS-FORT WORTH,10,564,48.2,48.9,2.1,0.4,0,0,0.4,94.5,5.7,2,0.5291,0,1.0373,1.0225,0,0,1,1,0
057838,UPLIFT EDUCATION - PEAK PREPARATOR,10,1943,12.6,82.6,2.7,0,0.8,0.2,1.2,83.9,7.1,0,1,1,1,1,1,1,1,1,1
057839,LA ACADEMIA DE ESTRELLAS,10,1058,1.2,97.4,1.1,0.1,0,0,0.1,94.5,9.7,0,1,1,1,1,1,1,1,1,1
057840,RICHLAND COLLEGIATE HIGH SCHOOL,10,458,17.9,23.4,27.5,0.2,29,0.2,1.7,18.3,0,0,1,1,1,1,1,1,1,1,1
057841,RECONCILIATION ACADEMY,10,203,16.3,80.3,2.5,0,0.5,0,0.5,97.5,4.4,0,1,1,1,1,1,1,1,1,1
057842,UPLIFT EDUCATION - WILLIAMS PREPAR,10,2335,6.2,92,0.7,0.1,0.6,0,0.4,91.1,5.2,0,1,1,1,1,1,1,1,1,1
057843,UPLIFT EDUCATION - HAMPTON PREPARA,10,950,68.8,28.6,0.8,0.1,0.3,0,1.3,74.6,6.1,0,1,1,1,1,1,1,1,1,1
057844,MANARA ACADEMY,10,494,23.5,3.2,24.9,0,46.6,0,1.8,49.8,6.1,0,1,1,1,1,1,1,1,1,1
057845,UME PREPARATORY ACADEMY,10,392,6.4,19.4,63,0.5,8.2,0,2.6,17.1,5.4,0,1,1,1,1,1,1,1,1,1
057846,LEGACY PREPARATORY,10,980,23.8,54.6,15.6,0,3.7,0,2.3,74.2,4.8,1,1.3477,0,0,1.8315,0,1,0,1,0
057847,VILLAGE TECH SCHOOLS,10,636,31.4,30.2,30.2,0.2,1.9,0.2,6,27.5,0.8,0,1,1,1,1,1,1,1,1,1
057848,INTERNATIONAL LEADERSHIP OF TEXAS,10,2499,19,55.9,17.7,0.4,5.5,0,1.4,54.9,4.4,0,1,1,1,1,1,1,1,1,1
057903,CARROLLTON-FARMERS BRANCH ISD,10,26289,16.5,54.9,16,0.3,10.5,0.1,1.6,62.4,9,3,3.7393,3.7037,2.0202,0.6072,0,0,0,0,20.8333
057904,CEDAR HILL ISD,10,7848,66,23.2,6.4,0.4,1.3,0.1,2.7,68.2,8.4,3,2.9326,3.9683,0.5051,1.4368,5.2083,0,0,0,0
057905,DALLAS ISD,10,159487,23.4,69.8,4.7,0.4,1.2,0.1,0.5,89.2,7.4,58,1.8362,4.4268,0.0737,1.3586,0.3668,0,0,0,3.4483
057906,DESOTO ISD,10,9399,77.5,17.8,2.9,0.2,0.3,0,1.2,65.9,9.7,2,0.7587,5.1546,0.6452,0,0,250.0000,0,1,0
057907,DUNCANVILLE ISD,10,13074,40.6,50.2,5.7,0.8,1.8,0.1,0.9,74.8,9.1,15,1.4260,0.7326,2.1346,0.1328,1.1696,0,0,0,0
057909,GARLAND ISD,10,57504,17.2,50.8,21.3,0.5,8.2,0.1,2,60.9,8.6,32,0.0513,0.3634,0.9084,1.0458,1.1737,0,0.3811,0,1.5625
057910,GRAND PRAIRIE ISD,10,27637,17.5,65.4,11.8,0.3,3.3,0.1,1.7,71.8,8.9,2,0.6964,5.6180,2.8571,0.7645,0,0,0,0,0
057911,HIGHLAND PARK ISD,10,7012,0.5,5,88.2,0.2,4.3,0.1,1.6,0,7.1,0,1,1,1,1,1,1,1,1,1
057912,IRVING ISD,10,35259,12.8,71.7,9.6,1.3,3.3,0.2,1.2,80.6,7.4,59,1.1776,2.7485,1.7214,1.0401,0.1766,1.3038,0,0,0
057913,LANCASTER ISD,10,6820,78,17.9,2.8,0.7,0.2,0,0.4,83.9,8.7,1,1.1919,11.4943,1.2821,0,0,0,0,1,0
057914,MESQUITE ISD,10,39806,24.5,53,18,0.6,1.8,0.1,1.9,70.7,9.9,25,1.3013,2.8283,1.4694,0.9811,0.2222,6.6667,0,0,2.1053
057916,RICHARDSON ISD,10,38169,22.3,40,27.8,0.4,6.9,0.1,2.5,57.7,10.4,26,1.2665,0.3698,1.8972,1.2500,0.1384,9.6154,0,0,0
057919,SUNNYVALE ISD,10,1366,6,9.6,56.9,0.2,23.9,0.1,3.3,10.8,8.1,0,1,1,1,1,1,1,1,1,1
057922,COPPELL ISD,10,11329,4.6,12.8,43.9,0.5,35.2,0.1,2.8,10.2,4.7,5,1.9608,0,4.3478,1.5625,0.4556,40.0000,0.5682,0,0
058902,DAWSON ISD,17,170,0,63.5,34.7,1.2,0,0,0.6,51.8,8.2,0,1,1,1,1,1,1,1,1,1
058905,KLONDIKE ISD,17,256,0.4,33.6,63.7,0.4,1.2,0,0.8,34.8,5.9,2,1.4368,0,0,1.4881,0.7849,0,0,1,0
058906,LAMESA ISD,17,2046,3.6,76.8,17.5,0.6,0.6,0,0.8,73,7.3,0,1,1,1,1,1,1,1,1,1
058909,SANDS CISD,17,212,0.5,43.4,53.8,1.4,0.9,0,0,54.2,8.5,0,1,1,1,1,1,1,1,1,1
059901,HEREFORD ISD,16,4210,0.6,86.9,11.7,0.1,0.3,0,0.4,82.1,6.7,0,1,1,1,1,1,1,1,1,1
059902,WALCOTT ISD,16,145,2.1,78.6,19.3,0,0,0,0,72.4,4.8,0,1,1,1,1,1,1,1,1,1
060902,COOPER ISD,08,791,13.7,8.2,73.3,1.3,0.1,0,3.4,64.2,9.4,0,1,1,1,1,1,1,1,1,1
060914,FANNINDEL ISD,08,200,35,3.5,53,1,1,0,6.5,82.5,11.5,0,1,1,1,1,1,1,1,1,1
061802,TEXAS EDUCATION CENTERS,11,664,13.4,32.8,50,0.2,0.8,0.9,2,50.8,13.4,1,0,0,0,0,2.0000,0,0,0,0
061804,LEADERSHIP PREP SCHOOL,10,425,6.6,9.9,36.9,0.7,43.1,0,2.8,4,4.7,0,1,1,1,1,1,1,1,1,1
061901,DENTON ISD,11,26047,12,30.8,51.6,0.8,2.8,0.1,1.8,42.3,9.6,1,2.3641,10.4167,0,0,1.9380,0,0,0,0
061902,LEWISVILLE ISD,11,52698,9.4,27.5,47.9,0.4,11.7,0.1,3,30.9,9.6,36,1.4383,1.4468,0.2955,1.0101,1.3338,0,0.2374,0,0.9259
061903,PILOT POINT ISD,11,1414,2.5,39.5,54.1,0.8,0.6,0.2,2.1,51.3,7.4,1,1.9493,0,0,0,1.8484,0,0,0,0
061905,KRUM ISD,11,1995,1.8,24,71.4,0.7,0.6,0.1,1.5,35.9,9.6,1,2.7855,0,0,0,1.4006,0,0,0,0
061906,PONDER ISD,11,1255,1.5,19.9,75.6,0.7,0.6,0.1,1.6,39.4,7.6,1,2.5381,13.1579,0,0,1.3228,0,0,0,0
061907,AUBREY ISD,11,2060,3.5,16.8,76.7,0.5,0.7,0,1.7,28.4,7.2,2,1.7606,6.9444,0,2.9762,0.6519,0,0,1,0
061908,SANGER ISD,11,2673,2.7,24.1,68.6,1,0.6,0,3,43.7,9.3,1,2.2883,0,0,0,1.4577,0,0,1,0
061910,ARGYLE ISD,11,1947,0.3,10.8,86.3,0.5,0.8,0,1.2,12.6,8.3,0,1,1,1,1,1,1,1,1,1
061911,NORTHWEST ISD,11,18893,6.3,20.1,67.4,0.6,2.9,0.1,2.5,19.1,7.8,1,5.2356,0,0,0,1.4837,0,0,0,0
061912,LAKE DALLAS ISD,11,3952,7.1,26.2,58.5,1.1,2.4,0.2,4.6,41.1,11,1,2.4331,0,0,0,1.7094,0,0,0,0
061914,LITTLE ELM ISD,11,6607,14.7,40.1,39.7,0.4,2,0.1,3,47.9,7.9,0,1,1,1,1,1,1,1,1,1
062901,CUERO ISD,03,2104,13,43.6,40.4,0.1,0.5,0,2.3,56.4,9.5,0,1,1,1,1,1,1,1,1,1
062902,NORDHEIM ISD,03,173,2.9,42.2,54.9,0,0,0,0,44.5,10.4,0,1,1,1,1,1,1,1,1,1
062903,YOAKUM ISD,03,1615,8.4,59.3,30.7,0.1,0.4,0,1.2,70.7,10.5,1,1.4144,0,0,0,3.2573,0,0,1,0
062904,YORKTOWN ISD,03,505,4.6,49.5,45.5,0,0,0,0.4,55,10.3,0,1,1,1,1,1,1,1,1,1
062905,WESTHOFF ISD,03,69,7.2,40.6,52.2,0,0,0,0,50.7,2.9,0,1,1,1,1,1,1,1,1,1
062906,MEYERSVILLE ISD,03,116,0,15.5,84.5,0,0,0,0,26.7,8.6,0,1,1,1,1,1,1,1,1,1
063903,SPUR ISD,17,292,2.4,44.5,51,0,0,0,2.1,53.8,10.3,0,1,1,1,1,1,1,1,1,1
063906,PATTON SPRINGS ISD,17,105,0,28.6,71.4,0,0,0,0,85.7,11.4,0,1,1,1,1,1,1,1,1,1
064903,CARRIZO SPRINGS CISD,20,2455,0.5,93,5.6,0.1,0.6,0,0.2,75.2,7.1,1,1.3298,0,0,1.0753,0,0,0,1,0
065901,CLARENDON ISD,16,458,10.5,13.8,71.6,0,0.7,0.7,2.8,52.4,9.4,0,1,1,1,1,1,1,1,1,1
065902,HEDLEY ISD,16,112,1.8,19.6,75.9,1.8,0,0,0.9,74.1,14.3,0,1,1,1,1,1,1,1,1,1
066005,RAMIREZ CSD,02,24,0,95.8,4.2,0,0,0,0,100,0,0,1,1,1,1,1,1,1,1,1
066901,BENAVIDES ISD,02,366,0,99.2,0.8,0,0,0,0,76.2,10.7,0,1,1,1,1,1,1,1,1,1
066902,SAN DIEGO ISD,02,1345,0.3,98.4,1.3,0,0,0,0,77.2,7.5,0,1,1,1,1,1,1,1,1,1
066903,FREER ISD,02,833,0.2,88.7,9.7,0.4,0.5,0,0.5,67.8,11.3,1,1.4749,0,0,1.1274,0,0,0,1,0
067902,CISCO ISD,14,878,0.3,17.9,78,0.3,0.5,0,3,61.6,9.5,0,1,1,1,1,1,1,1,1,1
067903,EASTLAND ISD,14,1077,1.6,26.6,69.8,0.2,1.1,0,0.6,51.5,8.3,0,1,1,1,1,1,1,1,1,1
