DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total IN SCHOOL SUSPENSIONS,ratio ECO. DISADV. IN SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. IN SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN IN SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO IN SCHOOL SUSPENSIONS vs average,ratio WHITE IN SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT IN SCHOOL SUSPENSIONS vs average,ratio ASIAN IN SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC IN SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES IN SCHOOL SUSPENSIONS vs average
020906,SWEENY ISD,04,1886,15.5,21.3,57.8,0.4,0.3,0.1,4.6,48.9,7.8,463,1.5547,1.4676,2.0344,1.1458,0.7548,0.5400,0,0,0.0470
020907,COLUMBIA-BRAZORIA ISD,04,3042,11.2,27.8,57.9,0.2,0.3,0,2.5,53.3,8.5,1100,1.2980,1.6791,2.4513,0.9908,0.7348,0,0,1,0.9818
020908,PEARLAND ISD,04,19964,16.1,29.7,41.1,0.5,9.8,0.1,2.8,27.8,8.8,2954,1.7779,2.7351,1.9533,1.1136,0.7709,0.0677,0.1865,0.3385,0.6770
020910,DAMON ISD,04,187,1.6,47.6,47.6,0,0.5,0,2.7,80.7,9.1,108,1.0900,1.9333,0,0.9921,1.1088,1,0,1,0
021803,BRAZOS SCHOOL FOR INQUIRY & CREATI,06,478,50,42.9,6.1,0,0.4,0,0.6,93.5,7.5,2,4.8128,6.6667,1.0000,1.1655,0,1,0,1,0
021805,ARROW ACADEMY,06,927,66.6,31.8,0.8,0,0.3,0.1,0.4,83.6,4.4,105,1.4582,1.7316,1.4586,0.0299,0,1,0,9.5238,2.3810
021901,COLLEGE STATION ISD,06,11607,13.9,21.4,53.6,0.3,7.7,0.1,3,34.5,8.3,1637,2.1744,2.6275,3.3137,1.1647,0.4753,0.2036,0.1190,0.6109,0.8349
021902,BRYAN ISD,06,15723,19.7,53.5,24.9,0.2,0.4,0.1,1.2,74,7.7,5675,1.2078,2.1580,2.2317,0.7885,0.4869,0.0881,0.0441,0.1762,1.3950
022004,TERLINGUA CSD,18,99,0,76.8,21.2,2,0,0,0,73.7,10.1,0,1,1,1,1,1,1,1,1,1
022901,ALPINE ISD,18,1047,0.7,64.5,32.8,0.1,1.1,0,1,50.9,8.2,139,1.3427,1.3160,0,1.0262,0.9212,0,0,1,3.5971
022902,MARATHON ISD,18,41,0,82.9,14.6,0,0,0,2.4,90.2,4.9,0,1,1,1,1,1,1,1,1,1
022903,SAN VICENTE ISD,18,24,0,37.5,54.2,0,0,0,8.3,41.7,4.2,0,1,1,1,1,1,1,1,1,1
023902,SILVERTON ISD,16,187,2.1,41.2,54.5,0,0,0,2.1,54.5,9.1,26,0.0706,0.4227,0,1.4003,0.7763,1,1,1,0
024901,BROOKS COUNTY ISD,02,1532,0,98.5,1.2,0.1,0.1,0,0,85.5,8.4,2,116.3743,184.5238,1,0.5076,41.6667,0,0,1,1
025901,BANGS ISD,15,1055,3,24.7,69.1,0.2,0.4,0.1,2.5,46.5,10.5,250,1.2645,1.2571,2.0000,0.7773,1.0709,0,1.0000,0,0.1600
025902,BROWNWOOD ISD,15,3504,5.4,38.6,52.1,0.5,0.7,0.1,2.7,63.9,9.1,431,1.3071,2.4477,1.8046,0.9197,0.9708,3.2483,0,0,0.9453
025904,BLANKET ISD,15,215,1.4,24.7,70.7,1.9,0.5,0,0.9,54.4,12.6,16,0.1149,4.9603,4.4643,0.2530,1.2376,0,0,1,0
025905,MAY ISD,15,259,0.4,21.6,76.8,0.4,0,0,0.8,53.7,10.8,13,1.2892,0.7123,0,0.3561,1.1018,19.2308,1,1,0
025906,ZEPHYR ISD,15,211,0.5,10,85.3,0,0,0,4.3,69.2,6.6,2,0.7225,7.5758,0,5.0000,0.5862,1,1,1,0
025908,BROOKESMITH ISD,15,177,0,20.9,77.4,0,0,0,1.7,68.9,13,56,1.2959,0.8242,1,0.0854,1.2458,1,1,1,1.0504
025909,EARLY ISD,15,1168,1.6,22.4,72.5,0.2,1.5,0.1,1.7,45.7,10.4,341,1.2064,1.6073,2.1994,0.6546,1.1164,1.4663,0.1955,0,0.1725
026901,CALDWELL ISD,06,1766,9.9,35,52.8,0.3,0.5,0,1.6,54.2,6.5,879,1.4504,2.1003,1.8042,0.8321,0.9998,0,0.2275,1,0.0711
026902,SOMERVILLE ISD,06,511,24.9,32.3,38.9,0.4,0,0,3.5,75.5,11.7,664,1.0991,1.8793,1.6149,0.7880,0.8750,0.3765,1,1,0.0430
026903,SNOOK ISD,06,503,30.8,25,42.7,0.2,0,0,1.2,66.2,9.1,199,1.1538,2.1536,1.6805,0.7035,0.6473,0,1,1,2.5126
027903,BURNET CISD,13,3218,1.3,29.2,66.6,0.5,0.3,0.1,2,58.6,9.6,769,1.3204,1.7609,0.9003,1.0243,1.0309,0.2601,0,0,0.0650
027904,MARBLE FALLS ISD,13,3993,2.6,43.2,51.6,0.4,0.6,0.4,1.2,60.9,10.8,1726,1.3262,2.0493,1.4484,1.1520,0.8803,0.1448,0.0966,0,0.7725
028902,LOCKHART ISD,13,5113,4.8,67.7,25.2,0.4,0.3,0,1.5,70.3,12,3384,1.2367,1.6992,2.1117,1.0476,0.6790,0.0739,0.0985,1,1.1820
028903,LULING ISD,13,1427,6.9,61.4,30.1,0.2,0.1,0,1.3,72.5,9.7,640,1.1272,2.0457,2.2418,0.8830,0.9603,0,0,1,1.0817
028906,PRAIRIE LEA ISD,13,176,8,46,43.8,1.1,0,0,1.1,71.6,13.1,1,1.3966,0,0,0,2.2831,0,1,1,0
029901,CALHOUN COUNTY ISD,03,4278,1.8,62.1,29.8,0.3,5.1,0,0.8,61.2,8.5,2981,1.2497,0.4420,2.8141,1.1690,0.6248,0.1118,0.3947,1,2.0547
030901,CROSS PLAINS ISD,14,337,0,8.6,89.6,0.9,0.3,0,0.6,63.2,8.9,32,1.2362,0,1,2.9070,0.8371,0,0,1,0
030902,CLYDE CISD,14,1448,1.1,14,82.6,0.1,0.1,0.1,2,47.2,8.8,262,1.6335,2.6891,0.3470,1.3359,0.9750,0,0,0,0.1908
030903,BAIRD ISD,14,323,0.6,22,76.5,0,0.6,0,0.3,70.9,10.2,14,0.1007,0.7003,0,0.3247,1.1204,1,0,1,23.8095
030906,EULA ISD,14,345,0.9,11.6,82.3,0.3,0.9,0,4.1,48.7,8.4,57,1.3689,1.8797,1.9493,0.1512,1.1511,0,0,1,0.4279
031803,HARMONY SCIENCE ACADEMY - BROWNSVI,01,442,0.7,93.4,4.5,0,1.1,0,0.2,81.4,2.7,0,1,1,1,1,1,1,1,1,1
031901,BROWNSVILLE ISD,01,49314,0.1,98.7,1,0,0.2,0,0,96.1,10.2,8846,1.0268,1.9317,0.1130,1.0076,0.5200,1,0,1,1
031903,HARLINGEN CISD,01,18475,0.5,91.4,7.2,0.2,0.6,0,0.1,78.8,8.4,5552,1.1202,1.6897,1.4049,1.0486,0.4303,0.0901,0.2702,1,1.6210
031905,LA FERIA ISD,01,3597,0.1,96.5,3,0.2,0.1,0,0.2,81.1,7.1,618,1.1612,1.4358,0,0.9960,0.9169,0,0,1,5.6634
031906,LOS FRESNOS CISD,01,10523,0.2,96.3,3.1,0.1,0.2,0,0.1,75.8,6.9,3725,1.1390,1.1439,0.1342,1.0150,0.5542,4.5638,0.1342,1,0.2685
031909,POINT ISABEL ISD,01,2637,0.4,91.2,7.2,0.3,0.3,0,0.5,89.5,8.8,1297,1.0372,1.6121,1.1565,1.0356,0.4926,2.3130,0,1,1.6962
031911,RIO HONDO ISD,01,2168,0.1,96.7,3.1,0,0,0,0,86.1,7.2,630,1.0342,2.7116,0,0.9914,1.3313,1,1,1,1
031912,SAN BENITO CISD,01,11010,0,99,0.8,0,0,0,0.1,83,7.5,2155,1.1070,1.2869,1,1.0087,0.0580,1,1,1,0
031913,SANTA MARIA ISD,01,727,0,98.9,1.1,0,0,0,0,96,5.6,188,1.0140,0.7599,1,1.0111,0,1,1,1,1
031914,SANTA ROSA ISD,01,1170,0.1,99.2,0.7,0,0,0,0,96.2,7.9,561,1.0321,1.3538,1.7825,1.0045,0.2546,1,1,1,1
031916,SOUTH TEXAS ISD,01,3353,1.1,81.6,5.7,0,10.8,0,0.8,60.5,1.2,346,1.1322,5.5395,0.2627,1.1617,0.4056,1,0.2141,1,0.3613
032902,PITTSBURG ISD,08,2449,17.3,38,40.5,0.6,1,0.2,2.4,78.9,10.8,924,1.1234,1.9440,2.0894,0.6237,0.8524,0.1804,0.1082,0,2.2547
033901,GROOM ISD,16,134,0.7,11.9,84.3,0,0.7,0,2.2,30.6,7.5,1,3.2680,13.3333,0,0,1.1862,1,0,1,0
033902,PANHANDLE ISD,16,670,1.2,7.9,89,0.4,0.4,0.1,0.9,22.5,8.4,8,0.5556,1.4881,0,0,1.1236,0,0,0,0
033904,WHITE DEER ISD,16,378,0,12.4,86,0.5,0,0,1.1,42.6,6.1,55,1.3231,2.3845,1,1.1730,0.9937,0,1,1,0
034901,ATLANTA ISD,08,1825,33.6,7,55.9,0.5,0.5,0.1,2.3,64.5,9.2,660,1.4494,1.1693,2.0112,0.1515,0.5096,0,0,0,1.2516
034902,AVINGER ISD,08,152,15.8,11.8,65.1,0.7,0,0,6.6,88.2,7.2,36,0.0315,0.3858,1.7581,0.2354,1.0241,0,1,1,0.4209
034903,HUGHES SPRINGS ISD,08,1204,13.4,9.7,72,0.2,0.3,0.1,4.2,57.7,7.1,238,1.3690,2.4263,2.1636,0.9096,0.7761,0,0,0,1.5006
034905,LINDEN-KILDARE CISD,08,751,20.9,9.3,65.5,0.1,1.6,0,2.5,73.2,10.4,220,1.1053,1.7920,1.9356,0.4888,0.7356,0,0,1,2.7273
034906,MCLEOD ISD,08,411,1.2,0.7,96.1,0.2,0.5,0,1.2,40.9,9.2,2,94.1320,65.2174,41.6667,0,0.5203,0,0,1,0
034907,QUEEN CITY ISD,08,1015,14.2,3.5,77.2,0.7,0.5,0,3.8,55.3,8.5,193,1.4710,1.8287,2.2988,0.1480,0.7450,0.7402,0,1,2.3180
034909,BLOOMBURG ISD,08,265,1.1,3.8,91.3,1.5,1.5,0,0.8,57.7,9.4,2,6.0659,5.3191,45.4545,0,0.5476,0,0,1,0
035901,DIMMITT ISD,16,1231,1.5,85.4,12.4,0,0.3,0,0.4,89.3,6.7,222,1.0946,1.0085,0.3003,1.0496,0.7629,1,0,1,1.1261
035902,HART ISD,16,250,1.6,96.4,1.2,0,0,0,0.8,91.2,8.4,64,0.0171,1.6741,0,1.0373,0,1,1,1,0
035903,NAZARETH ISD,16,227,0.9,12.3,85.5,0.9,0,0,0.4,21.6,7,2,2.3148,7.1429,0,4.0650,0.5848,0,1,1,0
036901,ANAHUAC ISD,04,1228,14.3,30.3,49.2,0.7,2.4,0,3.1,53.9,7.9,415,0.9969,2.2876,1.9547,0.7475,0.9354,0,0,1,1.0882
036902,BARBERS HILL ISD,04,4676,3,20.8,73,0.6,0.8,0,1.8,20,6.3,717,2.1130,2.0810,1.3482,1.3679,0.8922,1.8596,0,1,0.6974
036903,EAST CHAMBERS ISD,05,1409,7.6,38.5,50.9,0,1.1,0,1.9,56.1,8.5,3,0.5942,3.9216,4.3860,0.8658,0.6549,1,0,1,0
037901,ALTO ISD,07,649,25.9,29.1,40.5,0,0.3,0,4.2,71.8,9.2,287,1.1501,2.1209,1.2108,1.2692,0.7227,1,0,1,0.5807
037904,JACKSONVILLE ISD,07,4938,17,49.5,30.5,0.3,0.5,0.1,2.2,80.6,8.8,635,1.1059,1.3422,2.7327,0.4168,0.9294,4.7244,0,0,1.4316
037907,RUSK ISD,07,2225,14.6,15.1,66.6,0.4,0.3,0,2.9,60.9,10.7,239,1.4359,1.8379,1.9488,0.0277,1.0617,0,0,1,0.1443
037908,NEW SUMMERFIELD ISD,07,510,4.1,82.5,11.8,0.2,0.6,0,0.8,94.3,6.7,98,0.0108,2.1322,0.2489,0.9647,1.5566,0,0,1,1.2755
037909,WELLS ISD,07,317,9.1,8.8,77.9,0,0,0,4.1,66.9,6.6,44,0.0340,0.3444,1.7483,1.5496,0.7002,1,1,1,3.8803
038901,CHILDRESS ISD,16,1128,5,37,54,0.7,1.5,0.1,1.8,57.4,9,412,1.3827,2.6699,2.9126,1.4891,0.5304,1.7337,0.1618,0,0.1348
039902,HENRIETTA ISD,09,948,0.6,7.8,87.2,1.1,0.2,0,3.1,44.2,11.2,147,1.8469,2.6118,1.1338,0.0872,0.9362,0.6184,0,1,5.2666
039903,PETROLIA ISD,09,508,0.6,10.6,83.9,1.8,0,0,3.1,46.3,8.9,2,11.8790,5.6180,0,4.7170,0.5959,0,1,1,0
039904,BELLEVUE ISD,09,144,0,4.2,87.5,2.8,0,0,5.6,43.1,11.1,2,6.9606,4.5045,1,11.9048,0.5714,0,1,1,0
039905,MIDWAY ISD,09,106,0,2.8,96.2,0.9,0,0,0,37.7,17,2,1.3263,0,1,17.8571,0.5198,0,1,1,1
040901,MORTON ISD,17,449,2.7,86.4,10.5,0,0,0,0.4,92.2,7.8,117,1.1124,1.5341,0.3166,1.1376,0.0814,1,1,1,0
040902,WHITEFACE CISD,17,370,2.4,45.7,48.6,0.3,0.3,0.5,2.2,53.2,12.4,17,2.5431,4.2694,2.4510,0.1287,1.8155,0,0,0,0
041901,BRONTE ISD,15,272,0,34.2,65.1,0,0.4,0,0.4,51.8,10.3,24,0.0804,0.4045,1,1.8275,0.5760,1,0,1,0
041902,ROBERT LEE ISD,15,241,0,35.7,63.9,0,0,0,0.4,60.2,11.2,83,1.2208,2.2590,1,1.0800,0.9616,1,1,1,0
042901,COLEMAN ISD,15,880,3,26.1,66.1,0.8,0.7,0,3.3,58.5,10.1,202,1.2524,0.7842,3.7954,1.1191,0.8613,0,0,1,0.7501
042903,SANTA ANNA ISD,15,245,4.1,32.2,60,1.2,0,0,2.4,71.4,9.4,2,0.7003,0,0,1.5528,0.8333,0,1,1,0
042905,PANTHER CREEK CISD,15,148,0,22.3,77,0,0,0,0.7,14.2,8.8,0,1,1,1,1,1,1,1,1,1
043801,IMAGINE INTERNATIONAL ACADEMY OF N,10,1022,9.4,15.4,51.5,0.9,17.8,0.2,4.9,7.2,3.9,0,1,1,1,1,1,1,1,1,1
043901,ALLEN ISD,10,20262,10.8,12.7,55.9,0.6,15.4,0.3,4.3,15.9,10.1,1348,2.5381,2.8866,2.5415,1.2734,0.8653,0.1236,0.2120,0.2473,1.0696
043902,ANNA ISD,10,2578,7.5,30.6,57.3,0.6,0.8,0,3,45,9.4,527,1.2355,2.2407,2.1758,0.7441,0.9935,0.3163,0.2372,1,1.2018
043903,CELINA ISD,10,2071,3.5,25.6,65.6,0.9,0.7,0,3.7,29.9,7.7,261,1.2942,2.0401,2.9557,0.8531,0.9462,0.4257,0.5473,1,1.3462
043904,FARMERSVILLE ISD,10,1527,3.8,32,61,1,0.6,0,1.6,52.8,9.1,279,1.4120,1.9694,1.5091,1.0753,0.9636,0.3584,0.5974,1,0.2240
043905,FRISCO ISD,10,45892,10.6,14.8,55.3,0.6,15.4,0.1,3.2,11.3,8.8,3232,2.9873,2.3803,2.7175,1.3359,0.7816,0.4641,0.2773,1.5470,1.0926
043907,MCKINNEY ISD,10,24440,12.9,27.3,52.8,0.6,3.4,0.3,2.8,30.3,9.3,2631,1.8114,1.9209,2.3335,1.2126,0.6083,1.3936,0.1453,1.6470,1.0181
043908,MELISSA ISD,10,1890,5.6,18.4,71,1.3,0.8,0.1,2.9,21.2,9,228,1.8620,3.2651,1.1748,0.7151,1.0687,0.3374,0,4.3860,1.2099
043910,PLANO ISD,10,54551,11.4,23,40.2,0.3,21.5,0.1,3.4,27.6,9.8,3341,2.0507,2.2876,2.8645,1.1517,0.8041,0.0998,0.2144,0.2993,1.1356
043911,PRINCETON ISD,10,3616,5.4,41.2,49.8,0.5,0.4,0.1,2.5,57.4,10.7,1133,1.2824,2.2272,1.6508,0.9683,0.9960,0.1765,0.2207,0,0.5649
043912,PROSPER ISD,10,6395,7.8,13.6,71.8,0.8,2.2,0.1,3.6,10.7,7.4,665,2.1783,2.7230,3.0846,1.2826,0.7582,0.1880,0.0684,1.5038,1.0025
043914,WYLIE ISD,10,13673,13.7,21.4,53.7,0.8,7.5,0.3,2.7,27.7,9.2,2094,1.6602,2.0037,1.4501,1.1381,0.9364,0.7760,0.2356,1.5918,0.9728
043917,BLUE RIDGE ISD,10,655,0.3,17.1,80,0.8,0.2,0,1.7,44,7.6,73,1.2142,2.1629,0,0.0801,1.2158,0,0,1,0.8058
043918,COMMUNITY ISD,10,1675,4.8,25.1,67.2,0.6,1,0.1,1.3,42.5,9,463,1.3620,1.7999,1.2599,1.1272,0.9546,0,1.5119,0,0
043919,LOVEJOY ISD,10,3722,1.8,7.8,81.1,0.5,4.9,0.1,3.8,3.6,6.9,106,4.4549,2.7345,0.5241,1.8142,0.9655,1.8868,0.1925,0,1.2413
044902,WELLINGTON ISD,16,611,4.1,49.8,44.2,0.3,0,0,1.6,62.4,11.3,79,1.1157,1.6803,1.8524,0.8896,1.0883,0,1,1,0
045902,COLUMBUS ISD,03,1661,12.9,39,45.9,0.2,0.5,0,1.4,58.2,10.6,880,1.2340,1.0399,2.1142,0.9062,0.8071,0.5682,0.2273,1,0.0812
045903,RICE CISD,03,1259,20.3,53.5,24.8,0.2,0.2,0,1.1,75.7,9.8,234,1.4057,1.3954,2.0210,1.0784,0.0172,2.1368,0,1,0.3885
045905,WEIMAR ISD,03,604,15.2,43,38.9,0,0,0,2.8,51.2,8.1,271,1.7153,1.9589,3.1074,1.2100,0.0095,1,1,1,0.1318
046802,TRINITY CHARTER SCHOOL,13,315,19.7,36.5,40.6,1.6,0,0,1.6,99,35.9,0,1,1,1,1,1,1,1,1,1
046901,NEW BRAUNFELS ISD,13,8265,1.6,46.8,48.9,0.5,0.6,0.1,1.5,38.6,7.6,1495,1.5700,2.6756,2.5502,1.3049,0.6949,0.1338,1.2263,0,0.0446
046902,COMAL ISD,13,19436,2.2,37.2,56.4,0.3,1.2,0.2,2.6,30.7,9.2,3814,1.9293,1.7783,1.7996,1.2785,0.8028,1.3110,0.2403,1.1799,0.8773
047901,COMANCHE ISD,14,1258,0.4,48.8,49,0.5,0.5,0,0.9,66.2,10.8,13,0.1162,3.5613,19.2308,1.7339,0.1570,0,0,1,0
047902,DE LEON ISD,14,647,1.1,34.5,61.7,0.3,0.3,0,2.2,58.1,9.4,16,0.1076,0.6649,5.6818,0.1812,1.4182,0,0,1,0
047903,GUSTINE ISD,14,230,0.4,61.3,36.1,0.4,0,0,1.7,81.3,11.7,0,1,1,1,1,1,1,1,1,1
047905,SIDNEY ISD,14,133,0,15.8,83.5,0.8,0,0,0,69.2,7.5,10,0.1445,1.3333,1,0,1.1976,0,1,1,1
048901,EDEN CISD,15,235,1.3,57.9,40.4,0,0,0,0.4,67.7,9.4,26,0.0568,4.0917,2.9586,1.5943,0.0952,1,1,1,0
048903,PAINT ROCK ISD,15,229,0,46.3,50.7,0.4,0,0,2.6,68.6,10.9,37,0.9456,1.2398,1,0.4086,1.5992,0,1,1,0
049901,GAINESVILLE ISD,11,2823,7.3,55.5,30.8,0.6,1.1,0,4.7,80.6,7.4,1059,1.0685,2.3735,1.6169,0.9800,0.9106,0.1574,0,1,1.1854
049902,MUENSTER ISD,11,480,0.4,3.3,94,0.4,0.8,0,1,14.6,9.8,2,3.4247,51.0204,0,15.1515,0.5319,0,0,1,0
049903,VALLEY VIEW ISD,11,740,0,21.2,74.5,0.5,1.2,0.1,2.4,48.4,9.5,33,2.1913,3.8278,1,4.4311,0.0407,0,0,0,1.2626
049905,CALLISBURG ISD,11,1156,0.6,10.3,86.6,1.2,0.1,0,1.2,48.8,10.4,382,1.4269,1.9382,3.9267,1.1945,0.9794,0.2182,0,1,0.2182
049906,ERA ISD,11,450,0.4,12.4,81.8,1.8,0.2,0,3.3,35.1,6.9,24,1.8993,0.6039,10.4167,0.3360,1.0697,2.3148,0,1,0
049907,LINDSAY ISD,11,487,0.2,3.5,93.6,0.6,1.2,0,0.8,6.4,2.5,2,62.5000,20.0000,0,0,0.5342,0,0,1,62.5000
049908,WALNUT BEND ISD,11,86,0,12.8,83.7,0,0,0,3.5,74.4,7,3,3.1362,0,1,2.6042,0.3982,1,1,1,9.5238
049909,SIVELLS BEND ISD,11,70,1.4,4.3,90,2.9,0,0,1.4,62.9,8.6,3,0.5299,0,23.8095,7.7519,0.3704,0,1,1,0
050901,EVANT ISD,12,243,0.4,24.7,73.7,0.8,0,0,0.4,63.8,9.5,2,13.3229,5.2632,0,2.0243,0.6784,0,1,1,0
050902,GATESVILLE ISD,12,2817,2.3,21.3,71.5,0.5,0.6,0,3.9,49.8,11.8,1066,1.3977,1.7331,1.6722,0.8764,1.0391,0.1876,0.1563,1,0.7697
050904,OGLESBY ISD,12,170,0,28.2,70,0,0,0,1.8,70,7.1,36,0.0397,4.3036,1,1.3790,0.8730,1,1,1,0
050909,JONESBORO ISD,12,189,0.5,11.1,87.3,0,0,0,1.1,54,8.5,0,1,1,1,1,1,1,1,1,1
050910,COPPERAS COVE ISD,12,8249,18.6,22.8,45.7,0.8,1.6,1.5,9,51.8,8.4,2090,1.2793,1.6006,1.5512,0.7303,0.9234,0.7775,0.4486,0.5742,1.1217
051901,PADUCAH ISD,17,210,12.4,37.6,47.1,1.9,0,0,1,64.8,12.4,3,0.5144,0,2.6882,0.8865,0.7077,0,1,1,0
052901,CRANE ISD,18,1147,2,72.2,25.2,0.2,0.1,0.1,0.3,36.5,7.9,411,0.8066,1.0472,1.7032,0.9571,1.0717,1.2165,0,0,0.8110
053001,CROCKETT COUNTY CONSOLIDATED CSD,15,810,0.6,75.6,23,0.5,0.4,0,0,60.5,7.7,271,1.4211,1.4377,0.6150,1.1422,0.5615,0.7380,0,1,1
054901,CROSBYTON CISD,17,361,4.4,70.6,23.8,0,0,0,1.1,76.5,11.9,33,1.3864,2.5465,0.6887,1.3306,0.1273,1,1,1,0
054902,LORENZO ISD,17,298,6,83.2,10.7,0,0,0,0,87.6,20.8,245,0.9132,1.4129,0.8844,0.9076,1.7929,1,1,1,1
054903,RALLS ISD,17,532,1.1,75.8,22.6,0.2,0.2,0,0.2,85.5,10.3,107,1.0712,2.3591,4.2481,1.0480,0.7030,0,0,1,0
055901,CULBERSON COUNTY-ALLAMOORE ISD,18,459,0,89.8,7.6,0.2,1.1,0.4,0.9,73.2,5.4,55,1.2419,4.3771,1,0.9516,1.9139,0,0,0,0
056901,DALHART ISD,16,1770,1.1,51.8,45,0.2,0.6,0.2,1.1,59.8,6.8,294,1.1035,2.3509,0.3092,0.9193,1.1413,1.7007,0,1.7007,0
056902,TEXLINE ISD,16,156,1.9,49.4,46.2,1.9,0,0,0.6,61.5,9,0,1,1,1,1,1,1,1,1,1
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10,726,21.8,74.2,2.5,0,0.6,0,1,81,7.3,1,1.2346,0,0,1.3477,0,1,0,1,0
057803,UPLIFT EDUCATION - NORTH HILLS PRE,10,2198,5.6,34.3,16.3,0.1,40.4,0,3.2,27.3,4.8,10,0.3663,2.0833,1.7857,2.0408,0.6135,0,0,1,3.1250
057804,TEXANS CAN ACADEMIES,10,4258,28.5,67.7,2.8,0.2,0.4,0,0.3,94.2,11.7,106,1.4622,1.8545,0.0331,1.4353,0.3369,0,2.3585,1,0
057805,DALLAS COMMUNITY CHARTER SCHOOL,10,273,2.2,68.9,23.8,0,1.1,0,4,57.9,8.4,0,1,1,1,1,1,1,1,1,1
057806,ADVANTAGE ACADEMY,10,1630,21,57.1,18.3,0.2,1.2,0.2,1.8,73.6,6.5,209,1.0727,2.1347,1.4354,0.8631,0.9413,0,0,0,1.8607
057807,LIFE SCHOOL,10,4644,48.4,29.6,17.5,0.4,0.8,0.1,3.2,55.4,6.9,8,0.2256,1.8116,0.2583,0.4223,4.2857,0,0,0,0
057808,UNIVERSAL ACADEMY,10,1518,16.6,33.1,1.4,0.2,48.2,0,0.5,42.8,1.9,1,2.3364,0,0,3.0211,0,0,0,1,0
057809,NOVA ACADEMY,10,200,39,59.5,1.5,0,0,0,0,90.5,2.5,0,1,1,1,1,1,1,1,1,1
057810,ACADEMY OF DALLAS,10,603,82.3,16.7,0.8,0,0,0,0.2,54.6,13.8,0,1,1,1,1,1,1,1,1,1
057813,TRINITY BASIN PREPARATORY,10,1732,3.6,94.6,0.5,0.5,0.8,0,0.1,90.5,6.8,1,1.1050,0,0,1.0571,0,0,0,1,0
057814,ACADEMY FOR ACADEMIC EXCELLENCE,10,535,49.2,39.6,9.7,0,0,0,1.5,100,25.6,0,1,1,1,1,1,1,1,1,1
057815,FAITH FAMILY ACADEMY OF OAK CLIFF,10,2182,37.1,61.3,1.4,0.1,0,0,0.1,96,4.8,637,0.9779,1.9296,1.4133,0.7504,1.1213,0,1,1,0
057816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,1991,97.7,1.6,0.2,0.1,0.1,0.2,0.2,82.4,6.4,0,1,1,1,1,1,1,1,1,1
057817,FOCUS LEARNING ACADEMY,10,888,91.7,7.9,0.3,0.1,0,0,0,82.4,15.8,261,0.9858,1.3580,1.0446,0.5335,0,0,1,1,1
057819,JEAN MASSIEU ACADEMY,10,196,27,62.2,9.7,0,0,0,1,93.4,10.7,3,3.9258,0,1.2346,0.5359,3.4364,1,1,1,0
057825,HONORS ACADEMY,10,759,19,54.2,23.7,0.4,0.3,0.3,2.2,74.6,9.2,2,0.6702,5.4348,0,0.9225,2.1097,0,0,0,0
057827,NOVA ACADEMY (SOUTHEAST),10,680,40.1,57.5,1.5,0,0,0.1,0.7,93.8,6.2,0,1,1,1,1,1,1,1,1,1
057828,WINFREE ACADEMY CHARTER SCHOOLS,10,1406,16,38.7,40.2,1.3,1.6,0.4,1.8,53.9,13.9,0,1,1,1,1,1,1,1,1,1
057829,A+ ACADEMY,10,994,3.5,90,4.2,0,0,0,2.2,93.2,10.4,148,1.0657,1.8841,2.5097,0.9985,0.1609,1,1,1,0.3071
057830,INSPIRED VISION ACADEMY,10,1081,10.9,87.7,0.8,0.1,0.1,0.1,0.3,90.7,8.5,134,0.9791,3.0729,0.0685,1.1232,0,0,0,0,2.4876
057831,GATEWAY CHARTER ACADEMY,10,779,97.4,1,0.4,0.3,0.8,0,0.1,86.4,7.8,1,1.1574,12.8205,1.0267,0,0,0,0,1,0
057832,ALPHA CHARTER SCHOOL,10,115,26.1,53.9,17.4,0,0.9,0,1.7,60,13,0,1,1,1,1,1,1,1,1,1
057833,EDUCATION CENTER INTERNATIONAL ACA,10,362,24.9,24,41.2,0.6,7.7,0,1.7,41.2,8,0,1,1,1,1,1,1,1,1,1
057834,EVOLUTION ACADEMY CHARTER SCHOOL,10,536,47.2,40.9,8.6,1.3,0.6,0,1.5,69.2,12.3,41,1.4451,0.1983,2.0153,0.0596,0.2836,0,0,1,0
057835,GOLDEN RULE CHARTER SCHOOL,10,1349,9.2,89,1,0.1,0.8,0,0,97.9,3.6,0,1,1,1,1,1,1,1,1,1
057836,ST ANTHONY SCHOOL,10,311,98.7,1.3,0,0,0,0,0,67.8,5.8,0,1,1,1,1,1,1,1,1,1
057837,KIPP DALLAS-FORT WORTH,10,564,48.2,48.9,2.1,0.4,0,0,0.4,94.5,5.7,1,1.0582,17.5439,2.0747,0,0,0,1,1,0
