DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total IN SCHOOL SUSPENSIONS,ratio ECO. DISADV. IN SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. IN SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN IN SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO IN SCHOOL SUSPENSIONS vs average,ratio WHITE IN SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT IN SCHOOL SUSPENSIONS vs average,ratio ASIAN IN SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC IN SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES IN SCHOOL SUSPENSIONS vs average
010902,BANDERA ISD,20,2369,0.5,30.6,66.2,0.6,0.5,0,1.5,51.1,9.7,549,1.3581,1.2206,0.3643,1.1548,0.9245,0.3036,0,1,2.0644
011901,BASTROP ISD,13,9546,5.4,57.9,33.1,0.5,0.6,0,2.6,68.4,10.8,4109,1.2393,1.8005,1.6495,1.0933,0.7742,0.0487,0.0406,1,0.8143
011902,ELGIN ISD,13,4178,12.8,56.8,27.5,0.2,0.4,0,2.4,71.7,8.6,1336,1.1577,2.7503,2.5554,0.7788,0.7295,3.3683,0.9356,1,0.8109
011904,SMITHVILLE ISD,13,1799,7.8,26.7,61.1,0.5,0.4,0.1,3.3,58.3,8.9,798,1.4659,1.9008,1.8154,1.1780,0.8860,0,0.3133,0,0.0380
011905,MCDADE ISD,13,210,0.5,53.8,45.2,0,0,0,0.5,74.3,6.7,23,0.4096,11.0318,0,1.2122,0.7695,1,1,1,0
012901,SEYMOUR ISD,09,570,2.3,20,73.5,0.5,0.4,0,3.3,53.2,10.9,99,1.5759,0.6487,0.4392,1.3131,0.9757,0,0,1,0.3061
013801,ST MARY'S ACADEMY CHARTER SCHOOL,02,434,1.2,80.6,14.3,0,3,0,0.9,76.7,6.9,2,0.6519,43.4783,0,0.6203,3.4965,1,0,1,0
013901,BEEVILLE ISD,02,3364,2.1,82.9,13.6,0.2,0.4,0.1,0.7,74.3,9.2,1263,1.1392,1.7470,0.8672,1.0458,0.7976,0.3959,0,0.7918,0.6787
013902,PAWNEE ISD,02,164,0,77.4,21.3,0,0,0,1.2,54.3,9.1,2,0.9208,0,1,0.6460,2.3474,1,1,1,0
013903,PETTUS ISD,02,438,2.3,62.3,33.3,0,0.2,0,1.8,59.8,12.8,194,1.3016,2.0135,0.2241,1.3486,0.4489,1,0,1,0.2864
013905,SKIDMORE-TYNAN ISD,02,789,1,64.9,32.2,0.9,0.5,0.3,0.3,55.8,10.3,155,1.5724,3.8835,0,1.5210,0.0200,0,0,0,2.1505
014801,RICHARD MILBURN ALTER HIGH SCHOOL,12,132,37.1,34.1,22,0,0.8,1.5,4.5,68.2,17.4,0,1,1,1,1,1,1,1,1,1
014802,TRANSFORMATIVE CHARTER ACADEMY,12,91,41.8,35.2,17.6,0,1.1,1.1,3.3,68.1,6.6,0,1,1,1,1,1,1,1,1,1
014803,PRIORITY CHARTER SCHOOLS,12,885,16.4,25.2,51.6,0.2,1.1,0,5.4,52.3,10.2,0,1,1,1,1,1,1,1,1,1
014804,ORENDA CHARTER SCHOOL,12,1206,5.5,20.4,69.3,0.6,1.8,0.1,2.3,25.5,12.2,33,3.4462,4.4709,4.9587,0.1485,0.9620,0,0,0,1.3175
014901,ACADEMY ISD,12,1270,2.3,21.8,71.7,0.7,0.6,0.3,2.5,36.3,7.1,101,1.2274,2.2312,0.4305,0.9083,0.9666,0,1.6502,0,3.5644
014902,BARTLETT ISD,13,395,11.4,61.8,24.6,0.3,0,0,2,72.9,9.4,12,0.1143,0.8865,0.7310,1.2136,0.3388,0,1,1,4.1667
014903,BELTON ISD,12,10305,6.5,32.5,54.7,0.7,1.6,0.2,3.7,50.4,10.5,4080,1.4390,1.9631,2.2360,1.1561,0.7922,1.5406,0.0153,0.1225,0.9274
014905,HOLLAND ISD,12,630,3,31.1,64.1,0.2,0.5,0,1.1,50.8,8.1,110,1.4853,5.0505,0.3030,0.9062,1.0920,0,0,1,0.8264
014906,KILLEEN ISD,12,41336,33.6,28.1,26.4,0.7,2.6,1.6,6.9,57.3,11.2,23627,1.3484,1.8441,1.5140,0.7990,0.6671,0.7074,0.3028,0.5000,1.0121
014907,ROGERS ISD,12,862,2.7,27.5,68,0.5,0.5,0.1,0.8,49.7,7.2,113,1.5669,3.6873,1.6388,1.3837,0.8199,1.7699,1.7699,0,0
014908,SALADO ISD,12,1465,1,20.1,75,0.9,0.9,0.1,2.1,27.5,5.9,160,1.7273,2.2246,6.2500,1.3993,0.8583,0,0.6944,0,0.2976
014909,TEMPLE ISD,12,8644,27.9,40.3,26.7,0.5,1.6,0.1,3,76.8,8.8,4999,1.1773,1.3207,1.7258,0.8692,0.5372,0.7602,0.0750,2.2004,0.5868
014910,TROY ISD,12,1434,1.5,23.7,72.4,0.5,0.6,0.1,1.2,48,9.3,460,1.3451,2.5012,1.5942,0.7980,1.0479,0.4348,0.3623,0,1.9928
015801,POR VIDA ACADEMY,20,303,2.6,89.1,7.6,0,0,0,0.7,69.6,17.2,0,1,1,1,1,1,1,1,1,1
015802,GEORGE GERVIN ACADEMY,20,1313,30.1,63.1,4.6,0.1,0.5,0.1,1.6,97.7,3,3,5.1177,0,1.1074,0.5283,0,0,0,0,20.8333
015803,HIGGS CARTER KING GIFTED & TALENTE,20,485,13.4,82.9,2.1,0.4,0,0.2,1,94.6,5.8,0,1,1,1,1,1,1,1,1,1
015805,NEW FRONTIERS CHARTER SCHOOL,20,615,1.3,96.3,2.3,0,0,0,0.2,89.3,8.8,61,0.0184,2.4218,1.2610,1.0044,0.7128,1,1,1,0
015806,SCHOOL OF EXCELLENCE IN EDUCATION,20,1384,31.6,62.5,3.5,0,0.1,0.4,2,92.6,6.8,2,0.5400,7.3529,0,0.8000,14.2857,1,0,0,0
015807,SOUTHWEST PREPARATORY SCHOOL,20,627,11.5,81.7,6.2,0,0.2,0,0.5,77,12.8,27,0.0481,1.7361,0.3221,1.1333,0.5974,1,0,1,0
015808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,489,23.5,36,35.6,1.6,0.2,0.2,2.9,100,40.9,0,1,1,1,1,1,1,1,1,1
015809,BEXAR COUNTY ACADEMY,20,505,4.4,91.3,3.8,0,0.4,0,0.2,35,11.5,0,1,1,1,1,1,1,1,1,1
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,20,183,1.6,95.6,2.2,0,0,0,0.5,89.6,13.7,0,1,1,1,1,1,1,1,1,1
015815,RADIANCE ACADEMY OF LEARNING,20,556,10.4,69.6,14,0,2.2,0,3.8,75.7,6.3,11,0.1201,1.4430,0.8741,1.1755,0.6494,1,0,1,0
015816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,182,10.4,76.4,12.1,1.1,0,0,0,28.6,8.8,3,1.1655,3.7879,0,0.4363,2.7548,30.3030,1,1,1
015819,SHEKINAH RADIANCE ACADEMY,20,798,33.5,26.9,34,0.4,0.5,0.3,4.5,69.9,6.1,3,0.4769,0,0.9950,1.2392,0.9804,0,0,0,0
015820,SAN ANTONIO SCHOOL FOR INQUIRY & C,20,408,3.2,82.6,12.5,0.2,0.5,0,1,90.2,12.5,0,1,1,1,1,1,1,1,1,1
015822,JUBILEE ACADEMIC CENTER,20,2991,5.8,84.5,8.5,0,0.5,0,0.7,76.1,6.6,3,0.4380,35.3535,5.7471,0.3945,0,1,0,1,47.6190
015823,SAN ANTONIO TECHNOLOGY ACADEMY,20,62,1.6,93.5,3.2,0,1.6,0,0,91.9,12.9,0,1,1,1,1,1,1,1,1,1
015825,LIGHTHOUSE CHARTER SCHOOL,20,247,4.9,89.1,6.1,0,0,0,0,89.9,8.1,1,1.1123,12.3457,0,1.1223,0,1,1,1,1
015826,KIPP SAN ANTONIO,20,1485,2.8,94.7,2,0,0.1,0,0.3,85.9,8,12,0.0970,0,0,1.0560,0,1,0,1,0
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,20,855,13.8,56.1,22.6,0,3.5,0.1,3.9,54.3,6.1,0,1,1,1,1,1,1,1,1,1
015828,HARMONY SCIENCE ACAD (SAN ANTONIO),20,2266,9.3,73.4,13.9,0.3,1.5,0.1,1.5,65.4,5.6,0,1,1,1,1,1,1,1,1,1
015830,BROOKS ACADEMY OF SCIENCE AND ENGI,20,1509,1.9,88.3,8.7,0.2,0.7,0,0.3,57.9,4.6,3,0.5757,0,17.5439,0.3775,3.8314,0,0,1,0
015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,20,1014,6.9,68.1,18.4,0.2,5.1,0.1,1.1,59,5.7,0,1,1,1,1,1,1,1,1,1
015832,CITY CENTER HEALTH CAREERS,20,144,7.6,91,1.4,0,0,0,0,91,6.3,2,2.7473,0,6.5789,0.5495,0,1,1,1,1
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,20,181,2.2,84.5,10.5,1.7,0,0.6,0.6,38.1,8.8,3,0.8749,0,15.1515,0.3945,3.1746,0,1,0,0
015834,BASIS SAN ANTONIO,20,508,2.8,40,31.1,0.2,21.7,0.2,4.1,5.5,2.4,1,18.1818,0,35.7143,0,0,0,0,0,0
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,20,196,1,46.4,46.9,0,0.5,0,5.1,11.2,2.6,7,1.2755,5.4945,0,0,2.1322,1,0,1,0
015901,ALAMO HEIGHTS ISD,20,4815,1.5,39.4,54.8,0.2,2.2,0,2,20.1,6.9,157,2.9787,3.3232,0.4246,1.6489,0.6160,0,0,1,0.3185
015904,HARLANDALE ISD,20,15316,0.4,97.3,2,0.1,0.1,0,0.1,88.2,9.2,4602,1.0441,2.0194,0.7605,1.0092,0.7171,0.2173,0.2173,1,0.2173
015905,EDGEWOOD ISD,20,12059,1,98.3,0.4,0,0.1,0,0.1,98.7,9.5,3423,1.0064,1.8974,1.4023,0.9950,0.0730,1,3.5057,1,0.2921
015906,RANDOLPH FIELD ISD,20,1177,17.7,21.2,46.6,0.3,2.8,0.8,10.6,9.8,5.7,5,2.0408,0,1.1299,0.9434,0.4292,0,7.1429,0,1.8868
015907,SAN ANTONIO ISD,20,53811,6.3,91.2,1.8,0.1,0.2,0,0.4,93.4,10.1,6707,1.0399,1.9457,0.9419,1.0084,0.9691,0.1491,0.0745,1,0.8200
015908,SOUTH SAN ANTONIO ISD,20,10007,1.1,96.9,1.6,0.1,0.1,0,0.2,89.7,6.9,2229,1.0133,1.4044,1.5090,0.9926,1.0935,2.6918,0.4486,1,0.2243
015909,SOMERSET ISD,20,3934,0.7,86.2,11.8,0.3,0.1,0.1,0.8,78.2,9,1280,1.1379,1.7882,4.0179,0.9997,0.9137,0.2604,0,0.7812,0.0977
015910,NORTH EAST ISD,20,67986,7.1,56.9,29.1,0.3,3.6,0.2,2.9,46.5,8.8,17497,1.5703,2.1867,2.3569,1.0708,0.6161,0.9144,0.2032,0.4572,1.1411
015911,EAST CENTRAL ISD,20,9689,8,71.3,19.2,0.1,0.3,0.1,1.1,66,10.5,4138,1.2720,1.7446,1.6433,0.9033,1.1076,1.9333,0.0806,0.2417,0.8568
015912,SOUTHWEST ISD,20,13275,2.9,90.5,5.2,0.1,0.4,0.1,0.8,84,9.9,5492,1.0997,1.6038,1.3499,1.0177,0.6373,0.1821,0.5918,0.1821,0.5007
015913,LACKLAND ISD,20,931,16.4,27.1,41,0.3,2.9,0.9,11.4,35.4,10.3,19,2.2302,2.5549,2.8883,1.5537,0.1284,0,0,0,0.4617
015914,FT SAM HOUSTON ISD,20,1542,19.7,28,39.2,0.6,2.3,1.2,9.1,32.9,11.9,71,0.8990,1.7754,1.0724,0.8551,1.2935,0,0.6124,1.1737,0.1548
015915,NORTHSIDE ISD,20,101549,6.1,68.8,18.8,0.1,3,0.3,2.8,52.3,10.9,30394,1.4210,1.8536,1.6402,1.0899,0.5989,1.1186,0.3630,0.6580,0.8390
015916,JUDSON ISD,20,22928,23.2,54.8,16.4,0.3,1.8,0.3,3.2,70.5,9.7,7704,1.1185,1.8119,1.7227,0.8084,0.7155,1.0817,0.3966,1.0817,0.8234
015917,SOUTHSIDE ISD,20,5150,0.9,90.3,8.1,0,0.3,0,0.4,80.1,9.6,766,1.0447,2.2710,0.1451,0.9889,1.2894,1,0,1,0.3264
