DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP
015807,SOUTHWEST PREPARATORY SCHOOL,20,627,11.5,81.7,6.2,0,0.2,0,0.5,77,12.8
015808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,489,23.5,36,35.6,1.6,0.2,0.2,2.9,100,40.9
015809,BEXAR COUNTY ACADEMY,20,505,4.4,91.3,3.8,0,0.4,0,0.2,35,11.5
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,20,183,1.6,95.6,2.2,0,0,0,0.5,89.6,13.7
015815,RADIANCE ACADEMY OF LEARNING,20,556,10.4,69.6,14,0,2.2,0,3.8,75.7,6.3
015816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,182,10.4,76.4,12.1,1.1,0,0,0,28.6,8.8
015819,SHEKINAH RADIANCE ACADEMY,20,798,33.5,26.9,34,0.4,0.5,0.3,4.5,69.9,6.1
015820,SAN ANTONIO SCHOOL FOR INQUIRY & C,20,408,3.2,82.6,12.5,0.2,0.5,0,1,90.2,12.5
015822,JUBILEE ACADEMIC CENTER,20,2991,5.8,84.5,8.5,0,0.5,0,0.7,76.1,6.6
015823,SAN ANTONIO TECHNOLOGY ACADEMY,20,62,1.6,93.5,3.2,0,1.6,0,0,91.9,12.9
015825,LIGHTHOUSE CHARTER SCHOOL,20,247,4.9,89.1,6.1,0,0,0,0,89.9,8.1
015826,KIPP SAN ANTONIO,20,1485,2.8,94.7,2,0,0.1,0,0.3,85.9,8
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,20,855,13.8,56.1,22.6,0,3.5,0.1,3.9,54.3,6.1
015828,HARMONY SCIENCE ACAD (SAN ANTONIO),20,2266,9.3,73.4,13.9,0.3,1.5,0.1,1.5,65.4,5.6
015830,BROOKS ACADEMY OF SCIENCE AND ENGI,20,1509,1.9,88.3,8.7,0.2,0.7,0,0.3,57.9,4.6
015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,20,1014,6.9,68.1,18.4,0.2,5.1,0.1,1.1,59,5.7
015832,CITY CENTER HEALTH CAREERS,20,144,7.6,91,1.4,0,0,0,0,91,6.3
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,20,181,2.2,84.5,10.5,1.7,0,0.6,0.6,38.1,8.8
015834,BASIS SAN ANTONIO,20,508,2.8,40,31.1,0.2,21.7,0.2,4.1,5.5,2.4
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,20,196,1,46.4,46.9,0,0.5,0,5.1,11.2,2.6
015901,ALAMO HEIGHTS ISD,20,4815,1.5,39.4,54.8,0.2,2.2,0,2,20.1,6.9
015904,HARLANDALE ISD,20,15316,0.4,97.3,2,0.1,0.1,0,0.1,88.2,9.2
015905,EDGEWOOD ISD,20,12059,1,98.3,0.4,0,0.1,0,0.1,98.7,9.5
015906,RANDOLPH FIELD ISD,20,1177,17.7,21.2,46.6,0.3,2.8,0.8,10.6,9.8,5.7
015907,SAN ANTONIO ISD,20,53811,6.3,91.2,1.8,0.1,0.2,0,0.4,93.4,10.1
015908,SOUTH SAN ANTONIO ISD,20,10007,1.1,96.9,1.6,0.1,0.1,0,0.2,89.7,6.9
015909,SOMERSET ISD,20,3934,0.7,86.2,11.8,0.3,0.1,0.1,0.8,78.2,9
015910,NORTH EAST ISD,20,67986,7.1,56.9,29.1,0.3,3.6,0.2,2.9,46.5,8.8
015911,EAST CENTRAL ISD,20,9689,8,71.3,19.2,0.1,0.3,0.1,1.1,66,10.5
015912,SOUTHWEST ISD,20,13275,2.9,90.5,5.2,0.1,0.4,0.1,0.8,84,9.9
015913,LACKLAND ISD,20,931,16.4,27.1,41,0.3,2.9,0.9,11.4,35.4,10.3
015914,FT SAM HOUSTON ISD,20,1542,19.7,28,39.2,0.6,2.3,1.2,9.1,32.9,11.9
015915,NORTHSIDE ISD,20,101549,6.1,68.8,18.8,0.1,3,0.3,2.8,52.3,10.9
015916,JUDSON ISD,20,22928,23.2,54.8,16.4,0.3,1.8,0.3,3.2,70.5,9.7
015917,SOUTHSIDE ISD,20,5150,0.9,90.3,8.1,0,0.3,0,0.4,80.1,9.6
016901,JOHNSON CITY ISD,13,707,0.1,27.7,68.9,0.7,0.3,0,2.3,38.8,9.2
016902,BLANCO ISD,13,970,1,37,59.9,0.3,0,0,1.8,51.3,9.1
017901,BORDEN COUNTY ISD,17,256,0.8,15.2,76.2,1.6,0,0,6.3,23.4,6.6
018901,CLIFTON ISD,12,1039,2.8,32.9,58.9,0.8,1,0,3.7,60,10.4
018902,MERIDIAN ISD,12,523,4,32.1,59.7,0.2,0.4,0,3.6,61.6,10.9
018903,MORGAN ISD,12,117,0,65,27.4,1.7,0,0,6,95.7,17.1
018904,VALLEY MILLS ISD,12,618,3.4,22.3,70.4,0.6,0.5,0,2.8,56,11
018905,WALNUT SPRINGS ISD,12,174,0,59.2,40.2,0,0,0,0.6,86.8,10.9
018906,IREDELL ISD,12,135,0,24.4,74.8,0,0,0,0.7,51.9,9.6
