DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total DAEP PLACEMENTS,ratio ECO. DISADV. DAEP PLACEMENTS vs average,ratio SPEC. ED. DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average
011904,SMITHVILLE ISD,13,1799,7.8,26.7,61.1,0.5,0.4,0.1,3.3,58.3,8.9,54,1.6835,2.9130,0.2374,1.5952,0.8789,0,0,0,0.5612
011905,MCDADE ISD,13,210,0.5,53.8,45.2,0,0,0,0.5,74.3,6.7,0,1,1,1,1,1,1,1,1,1
012901,SEYMOUR ISD,09,570,2.3,20,73.5,0.5,0.4,0,3.3,53.2,10.9,1,1.8797,9.1743,0,0,1.3605,0,0,1,0
013801,ST MARY'S ACADEMY CHARTER SCHOOL,02,434,1.2,80.6,14.3,0,3,0,0.9,76.7,6.9,0,1,1,1,1,1,1,1,1,1
013901,BEEVILLE ISD,02,3364,2.1,82.9,13.6,0.2,0.4,0.1,0.7,74.3,9.2,98,1.3047,2.5510,0.4859,1.0463,0.8253,0,0,0,1.4577
013902,PAWNEE ISD,02,164,0,77.4,21.3,0,0,0,1.2,54.3,9.1,1,1.8416,0,1,1.2920,0,1,1,1,0
013903,PETTUS ISD,02,438,2.3,62.3,33.3,0,0.2,0,1.8,59.8,12.8,2,0.8361,3.9062,0,0.8026,1.5015,1,0,1,0
013905,SKIDMORE-TYNAN ISD,02,789,1,64.9,32.2,0.9,0.5,0.3,0.3,55.8,10.3,2,0.8961,4.8544,0,0.7704,1.5528,0,0,0,0
014801,RICHARD MILBURN ALTER HIGH SCHOOL,12,132,37.1,34.1,22,0,0.8,1.5,4.5,68.2,17.4,0,1,1,1,1,1,1,1,1,1
014802,TRANSFORMATIVE CHARTER ACADEMY,12,91,41.8,35.2,17.6,0,1.1,1.1,3.3,68.1,6.6,0,1,1,1,1,1,1,1,1,1
014803,PRIORITY CHARTER SCHOOLS,12,885,16.4,25.2,51.6,0.2,1.1,0,5.4,52.3,10.2,0,1,1,1,1,1,1,1,1,1
014804,ORENDA CHARTER SCHOOL,12,1206,5.5,20.4,69.3,0.6,1.8,0.1,2.3,25.5,12.2,0,1,1,1,1,1,1,1,1,1
014901,ACADEMY ISD,12,1270,2.3,21.8,71.7,0.7,0.6,0.3,2.5,36.3,7.1,2,8.2645,7.0423,0,2.2936,0.6974,0,0,0,0
014902,BARTLETT ISD,13,395,11.4,61.8,24.6,0.3,0,0,2,72.9,9.4,2,0.6859,5.3191,0,0.8091,2.0325,0,1,1,0
014903,BELTON ISD,12,10305,6.5,32.5,54.7,0.7,1.6,0.2,3.7,50.4,10.5,170,1.4239,1.2885,2.4434,1.1584,0.8173,0.8403,0,2.9412,0.1590
014905,HOLLAND ISD,12,630,3,31.1,64.1,0.2,0.5,0,1.1,50.8,8.1,3,0.6562,0,0,1.0718,0.5200,0,0,1,30.3030
014906,KILLEEN ISD,12,41336,33.6,28.1,26.4,0.7,2.6,1.6,6.9,57.3,11.2,1045,1.4429,1.8882,1.6177,0.8105,0.5546,1.3671,0.0368,0.0598,1.0263
