DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total OUT OF SCHOOL SUSPENSIONS,ratio ECO. DISADV. OUT OF SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average
011902,ELGIN ISD,13,4178,12.8,56.8,27.5,0.2,0.4,0,2.4,71.7,8.6,308,1.3177,3.2845,4.6165,0.4401,0.4014,1.6234,0.8117,1,1.7587
011904,SMITHVILLE ISD,13,1799,7.8,26.7,61.1,0.5,0.4,0.1,3.3,58.3,8.9,178,1.3491,3.2193,2.0887,1.0100,0.8735,0,0,0,1.0215
011905,MCDADE ISD,13,210,0.5,53.8,45.2,0,0,0,0.5,74.3,6.7,0,1,1,1,1,1,1,1,1,1
012901,SEYMOUR ISD,09,570,2.3,20,73.5,0.5,0.4,0,3.3,53.2,10.9,3,0.6266,3.0581,14.4928,1.6667,0.4535,0,0,1,0
013801,ST MARY'S ACADEMY CHARTER SCHOOL,02,434,1.2,80.6,14.3,0,3,0,0.9,76.7,6.9,2,0.6519,7.2464,0,0.6203,3.4965,1,0,1,0
013901,BEEVILLE ISD,02,3364,2.1,82.9,13.6,0.2,0.4,0.1,0.7,74.3,9.2,267,1.2703,3.0125,0.1783,1.0888,0.6609,0,0,0,0.5350
013902,PAWNEE ISD,02,164,0,77.4,21.3,0,0,0,1.2,54.3,9.1,0,1,1,1,1,1,1,1,1,1
013903,PETTUS ISD,02,438,2.3,62.3,33.3,0,0.2,0,1.8,59.8,12.8,12,1.6722,5.2083,3.6232,1.3376,0.2503,1,0,1,0
013905,SKIDMORE-TYNAN ISD,02,789,1,64.9,32.2,0.9,0.5,0.3,0.3,55.8,10.3,3,0.5974,19.4175,33.3333,0.5136,1.0352,0,0,0,0
014801,RICHARD MILBURN ALTER HIGH SCHOOL,12,132,37.1,34.1,22,0,0.8,1.5,4.5,68.2,17.4,9,0.9775,0.6386,1.7969,0.3258,0.5051,1,13.8889,0,0
014802,TRANSFORMATIVE CHARTER ACADEMY,12,91,41.8,35.2,17.6,0,1.1,1.1,3.3,68.1,6.6,0,1,1,1,1,1,1,1,1,1
014803,PRIORITY CHARTER SCHOOLS,12,885,16.4,25.2,51.6,0.2,1.1,0,5.4,52.3,10.2,0,1,1,1,1,1,1,1,1,1
014804,ORENDA CHARTER SCHOOL,12,1206,5.5,20.4,69.3,0.6,1.8,0.1,2.3,25.5,12.2,413,3.4373,2.3022,4.1382,1.2463,0.7407,0,0.1345,0,0.1053
014901,ACADEMY ISD,12,1270,2.3,21.8,71.7,0.7,0.6,0.3,2.5,36.3,7.1,3,11.9376,28.1690,0,1.5291,0.4649,0,0,0,13.3333
014902,BARTLETT ISD,13,395,11.4,61.8,24.6,0.3,0,0,2,72.9,9.4,40,1.1317,3.4574,0.2193,0.9709,1.3211,8.3333,1,1,1.2500
014903,BELTON ISD,12,10305,6.5,32.5,54.7,0.7,1.6,0.2,3.7,50.4,10.5,541,1.5330,2.4822,3.0712,1.0181,0.7772,0.2641,0.1155,0,1.0991
014905,HOLLAND ISD,12,630,3,31.1,64.1,0.2,0.5,0,1.1,50.8,8.1,0,1,1,1,1,1,1,1,1,1
014906,KILLEEN ISD,12,41336,33.6,28.1,26.4,0.7,2.6,1.6,6.9,57.3,11.2,6990,1.4169,2.2289,1.5434,0.8013,0.6243,1.7985,0.2311,0.3577,0.9724
014907,ROGERS ISD,12,862,2.7,27.5,68,0.5,0.5,0.1,0.8,49.7,7.2,13,2.6312,6.4103,2.8490,0.2797,1.1312,15.3846,0,0,0
014908,SALADO ISD,12,1465,1,20.1,75,0.9,0.9,0.1,2.1,27.5,5.9,15,3.3939,5.6497,6.6667,0.3317,1.1556,0,0,0,0
014909,TEMPLE ISD,12,8644,27.9,40.3,26.7,0.5,1.6,0.1,3,76.8,8.8,2195,1.1959,2.1329,1.8060,0.7212,0.6552,0.0911,0.0285,0.4556,0.9719
014910,TROY ISD,12,1434,1.5,23.7,72.4,0.5,0.6,0.1,1.2,48,9.3,45,1.7130,6.2127,0,0.0938,1.3198,0,3.7037,0,0
015801,POR VIDA ACADEMY,20,303,2.6,89.1,7.6,0,0,0,0.7,69.6,17.2,2,0.7184,2.9070,0,0.5612,6.5789,1,1,1,0
015802,GEORGE GERVIN ACADEMY,20,1313,30.1,63.1,4.6,0.1,0.5,0.1,1.6,97.7,3,60,0.0171,9.4444,3.1561,0.0264,0.3623,0,0,0,1.0417
015803,HIGGS CARTER KING GIFTED & TALENTE,20,485,13.4,82.9,2.1,0.4,0,0.2,1,94.6,5.8,2,6.8710,0,3.7313,0.6031,0,0,1,0,0
