DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total OUT OF SCHOOL SUSPENSIONS,ratio ECO. DISADV. OUT OF SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average
025906,ZEPHYR ISD,15,211,0.5,10,85.3,0,0,0,4.3,69.2,6.6,1,1.4451,0,0,10.0000,0,1,1,1,0
025908,BROOKESMITH ISD,15,177,0,20.9,77.4,0,0,0,1.7,68.9,13,2,0.7257,0,1,2.3923,0.6460,1,1,1,0
025909,EARLY ISD,15,1168,1.6,22.4,72.5,0.2,1.5,0.1,1.7,45.7,10.4,3,0.7294,3.2051,20.8333,1.4881,0.4598,0,0,0,0
026901,CALDWELL ISD,06,1766,9.9,35,52.8,0.3,0.5,0,1.6,54.2,6.5,129,2.0023,2.9815,3.9151,0.0221,1.1305,0,0,1,0.4845
026902,SOMERVILLE ISD,06,511,24.9,32.3,38.9,0.4,0,0,3.5,75.5,11.7,207,1.2157,2.7251,1.8625,0.6581,0.8321,0,1,1,0
026903,SNOOK ISD,06,503,30.8,25,42.7,0.2,0,0,1.2,66.2,9.1,25,1.3897,2.1978,1.8182,1.4400,0.0937,0,1,1,3.3333
027903,BURNET CISD,13,3218,1.3,29.2,66.6,0.5,0.3,0.1,2,58.6,9.6,68,1.5810,2.9105,1.1312,0.8562,1.0599,2.9412,0,0,0.7353
027904,MARBLE FALLS ISD,13,3993,2.6,43.2,51.6,0.4,0.6,0.4,1.2,60.9,10.8,15,0.1095,6.7901,0,0.1543,1.6796,0,0,0,5.5556
028902,LOCKHART ISD,13,5113,4.8,67.7,25.2,0.4,0.3,0,1.5,70.3,12,902,1.2395,2.8178,3.8110,0.9482,0.6071,0.2772,0.3695,1,1.3304
028903,LULING ISD,13,1427,6.9,61.4,30.1,0.2,0.1,0,1.3,72.5,9.7,73,1.4171,4.0955,0.1985,1.1378,0.9102,0,0,1,1.0537
028906,PRAIRIE LEA ISD,13,176,8,46,43.8,1.1,0,0,1.1,71.6,13.1,2,0.6983,0,0,1.0870,0,0,1,1,45.4545
029901,CALHOUN COUNTY ISD,03,4278,1.8,62.1,29.8,0.3,5.1,0,0.8,61.2,8.5,906,1.3869,2.7269,2.7594,1.1766,0.5185,2.9433,0.8008,1,1.9316
030901,CROSS PLAINS ISD,14,337,0,8.6,89.6,0.9,0.3,0,0.6,63.2,8.9,5,0.3165,0,1,0,1.1161,0,0,1,0
030902,CLYDE CISD,14,1448,1.1,14,82.6,0.1,0.1,0.1,2,47.2,8.8,29,0.0731,2.7429,0,0.2463,1.1272,0,0,0,1.7241
030903,BAIRD ISD,14,323,0.6,22,76.5,0,0.6,0,0.3,70.9,10.2,2,0.7052,0,0,2.2727,0.6536,1,0,1,0
030906,EULA ISD,14,345,0.9,11.6,82.3,0.3,0.9,0,4.1,48.7,8.4,2,1.0267,0,0,0,0.6075,0,0,1,12.1951
031803,HARMONY SCIENCE ACADEMY - BROWNSVI,01,442,0.7,93.4,4.5,0,1.1,0,0.2,81.4,2.7,72,1.0920,0.5144,0,0.9963,1.5432,1,0,1,0
031901,BROWNSVILLE ISD,01,49314,0.1,98.7,1,0,0.2,0,0,96.1,10.2,2702,1.0398,2.5326,0.3701,1.0124,0.0370,1,0,1,1
031903,HARLINGEN CISD,01,18475,0.5,91.4,7.2,0.2,0.6,0,0.1,78.8,8.4,1118,1.2043,2.7579,0.1789,1.0912,0.0124,0.4472,0,1,0
031905,LA FERIA ISD,01,3597,0.1,96.5,3,0.2,0.1,0,0.2,81.1,7.1,2,0.6165,91.5493,0,0.5181,16.6667,0,0,1,0
031906,LOS FRESNOS CISD,01,10523,0.2,96.3,3.1,0.1,0.2,0,0.1,75.8,6.9,967,1.1542,1.9484,0.5171,1.0116,0.7339,1.0341,0,1,1.0341
031909,POINT ISABEL ISD,01,2637,0.4,91.2,7.2,0.3,0.3,0,0.5,89.5,8.8,5,0.2235,2.2727,0,1.0965,0,0,0,1,0
031911,RIO HONDO ISD,01,2168,0.1,96.7,3.1,0,0,0,0,86.1,7.2,46,0.0252,1.8116,0,1.0341,0,1,1,1,1
031912,SAN BENITO CISD,01,11010,0,99,0.8,0,0,0,0.1,83,7.5,528,1.1637,1.9444,1,1.0063,0.2367,1,1,1,0
031913,SANTA MARIA ISD,01,727,0,98.9,1.1,0,0,0,0,96,5.6,3,0.3472,5.9524,1,0.3370,30.3030,1,1,1,1
031914,SANTA ROSA ISD,01,1170,0.1,99.2,0.7,0,0,0,0,96.2,7.9,2,0.5198,101.2658,0,0.5040,71.4286,1,1,1,1
031916,SOUTH TEXAS ISD,01,3353,1.1,81.6,5.7,0,10.8,0,0.8,60.5,1.2,52,1.0807,9.6154,1.7483,1.1312,0.3374,1,0.1781,1,2.4038
032902,PITTSBURG ISD,08,2449,17.3,38,40.5,0.6,1,0.2,2.4,78.9,10.8,76,1.0673,4.1423,2.1296,0.5194,1.0071,0,0,6.5789,0.5482
033901,GROOM ISD,16,134,0.7,11.9,84.3,0,0.7,0,2.2,30.6,7.5,0,1,1,1,1,1,1,1,1,1
033902,PANHANDLE ISD,16,670,1.2,7.9,89,0.4,0.4,0.1,0.9,22.5,8.4,3,1.4815,3.9683,27.7778,4.2194,0.3745,0,0,0,0
033904,WHITE DEER ISD,16,378,0,12.4,86,0.5,0,0,1.1,42.6,6.1,2,1.1737,8.1967,1,4.0323,0.5814,0,1,1,0
034901,ATLANTA ISD,08,1825,33.6,7,55.9,0.5,0.5,0.1,2.3,64.5,9.2,194,1.4705,1.2326,1.8716,0.0736,0.6455,0,0,0,0.2241
034902,AVINGER ISD,08,152,15.8,11.8,65.1,0.7,0,0,6.6,88.2,7.2,9,1.5117,0,0.7032,0.9416,1.0241,0,1,1,1.6835
034903,HUGHES SPRINGS ISD,08,1204,13.4,9.7,72,0.2,0.3,0.1,4.2,57.7,7.1,12,0.1444,5.8685,0.6219,0,1.1574,0,0,0,1.9841
034905,LINDEN-KILDARE CISD,08,751,20.9,9.3,65.5,0.1,1.6,0,2.5,73.2,10.4,42,0.0325,1.8315,1.9367,0.2560,0.8361,0,0,1,0.9524
034906,MCLEOD ISD,08,411,1.2,0.7,96.1,0.2,0.5,0,1.2,40.9,9.2,1,0,0,0,0,1.0406,0,0,1,0
034907,QUEEN CITY ISD,08,1015,14.2,3.5,77.2,0.7,0.5,0,3.8,55.3,8.5,3,6.6305,3.9216,2.3474,0,0.4318,0,0,1,8.7719
034909,BLOOMBURG ISD,08,265,1.1,3.8,91.3,1.5,1.5,0,0.8,57.7,9.4,0,1,1,1,1,1,1,1,1,1
035901,DIMMITT ISD,16,1231,1.5,85.4,12.4,0,0.3,0,0.4,89.3,6.7,55,0.0204,1.8996,1.2121,1.1284,0.1466,1,0,1,0
035902,HART ISD,16,250,1.6,96.4,1.2,0,0,0,0.8,91.2,8.4,2,0.5482,5.9524,0,0.5187,41.6667,1,1,1,0
035903,NAZARETH ISD,16,227,0.9,12.3,85.5,0.9,0,0,0.4,21.6,7,0,1,1,1,1,1,1,1,1,1
036901,ANAHUAC ISD,04,1228,14.3,30.3,49.2,0.7,2.4,0,3.1,53.9,7.9,24,1.5461,3.6920,0.2914,0.1375,1.8631,0,0,1,0
036902,BARBERS HILL ISD,04,4676,3,20.8,73,0.6,0.8,0,1.8,20,6.3,100,3.3000,5.7143,0.3333,0.9135,1.0822,1.6667,0,1,0
036903,EAST CHAMBERS ISD,05,1409,7.6,38.5,50.9,0,1.1,0,1.9,56.1,8.5,53,1.1435,3.3296,0.2483,0.5881,1.4457,1,0,1,0.9930
037901,ALTO ISD,07,649,25.9,29.1,40.5,0,0.3,0,4.2,71.8,9.2,38,1.5027,2.2883,1.6257,0.0904,1.2995,1,0,1,0.6266
037904,JACKSONVILLE ISD,07,4938,17,49.5,30.5,0.3,0.5,0.1,2.2,80.6,8.8,1298,1.1594,1.9348,1.8988,0.9338,0.6517,0.2568,0.1541,0,0.6654
037907,RUSK ISD,07,2225,14.6,15.1,66.6,0.4,0.3,0,2.9,60.9,10.7,335,1.4019,2.4829,1.3699,0.6919,1.0085,0,0,1,0.8235
037908,NEW SUMMERFIELD ISD,07,510,4.1,82.5,11.8,0.2,0.6,0,0.8,94.3,6.7,2,4.2418,0,0,0.6061,4.2373,0,0,1,0
037909,WELLS ISD,07,317,9.1,8.8,77.9,0,0,0,4.1,66.9,6.6,16,0.0934,6.6288,0.6868,0.7102,1.0430,1,1,1,1.5244
038901,CHILDRESS ISD,16,1128,5,37,54,0.7,1.5,0.1,1.8,57.4,9,80,1.8510,1.5278,0.2500,1.7568,0.6019,1.7857,0,0,0
039902,HENRIETTA ISD,09,948,0.6,7.8,87.2,1.1,0.2,0,3.1,44.2,11.2,3,0.7541,2.9762,0,4.2735,0.3823,0,0,1,10.7527
039903,PETROLIA ISD,09,508,0.6,10.6,83.9,1.8,0,0,3.1,46.3,8.9,2,1.0799,5.6180,0,4.7170,0.5959,0,1,1,0
039904,BELLEVUE ISD,09,144,0,4.2,87.5,2.8,0,0,5.6,43.1,11.1,0,1,1,1,1,1,1,1,1,1
039905,MIDWAY ISD,09,106,0,2.8,96.2,0.9,0,0,0,37.7,17,0,1,1,1,1,1,1,1,1,1
040901,MORTON ISD,17,449,2.7,86.4,10.5,0,0,0,0.4,92.2,7.8,2,4.3384,6.4103,0,0.5787,4.7619,1,1,1,0
040902,WHITEFACE CISD,17,370,2.4,45.7,48.6,0.3,0.3,0.5,2.2,53.2,12.4,0,1,1,1,1,1,1,1,1,1
041901,BRONTE ISD,15,272,0,34.2,65.1,0,0.4,0,0.4,51.8,10.3,1,1.9305,0,1,0,1.5361,1,0,1,0
041902,ROBERT LEE ISD,15,241,0,35.7,63.9,0,0,0,0.4,60.2,11.2,2,0.8306,0,1,1.4006,0.7825,1,1,1,0
042901,COLEMAN ISD,15,880,3,26.1,66.1,0.8,0.7,0,3.3,58.5,10.1,89,1.1716,1.8912,0.3745,1.1193,1.0369,0,0,1,0.3405
042903,SANTA ANNA ISD,15,245,4.1,32.2,60,1.2,0,0,2.4,71.4,9.4,0,1,1,1,1,1,1,1,1,1
042905,PANTHER CREEK CISD,15,148,0,22.3,77,0,0,0,0.7,14.2,8.8,1,0,0,1,0,1.2987,1,1,1,0
043801,IMAGINE INTERNATIONAL ACADEMY OF N,10,1022,9.4,15.4,51.5,0.9,17.8,0.2,4.9,7.2,3.9,0,1,1,1,1,1,1,1,1,1
043901,ALLEN ISD,10,20262,10.8,12.7,55.9,0.6,15.4,0.3,4.3,15.9,10.1,225,2.4878,3.5204,2.6749,1.1549,0.9302,0,0.0289,1.4815,0.8269
043902,ANNA ISD,10,2578,7.5,30.6,57.3,0.6,0.8,0,3,45,9.4,39,1.5954,5.4555,0.3419,1.0055,1.1187,0,3.2051,1,0
043903,CELINA ISD,10,2071,3.5,25.6,65.6,0.9,0.7,0,3.7,29.9,7.7,21,1.4333,4.9474,1.3605,0.1860,1.3066,0,0,1,1.2870
043904,FARMERSVILLE ISD,10,1527,3.8,32,61,1,0.6,0,1.6,52.8,9.1,38,1.3457,3.1810,0.6925,1.2336,0.9060,2.6316,0,1,0
043905,FRISCO ISD,10,45892,10.6,14.8,55.3,0.6,15.4,0.1,3.2,11.3,8.8,686,3.0961,2.9817,2.9430,1.1327,0.8119,0.2430,0.2650,1.4577,0.8655
043907,MCKINNEY ISD,10,24440,12.9,27.3,52.8,0.6,3.4,0.3,2.8,30.3,9.3,1471,2.1785,2.6535,2.9353,1.1629,0.5137,0.1133,0.0200,0,1.1168
043908,MELISSA ISD,10,1890,5.6,18.4,71,1.3,0.8,0.1,2.9,21.2,9,53,1.3350,2.3061,0.3369,0.8203,1.1427,1.4514,0,0,0
043910,PLANO ISD,10,54551,11.4,23,40.2,0.3,21.5,0.1,3.4,27.6,9.8,1548,2.3382,2.9070,2.9636,1.3538,0.7762,0.2153,0.1713,0.6460,0.0190
043911,PRINCETON ISD,10,3616,5.4,41.2,49.8,0.5,0.4,0.1,2.5,57.4,10.7,174,1.3417,3.4375,2.6607,0.9625,0.9232,0,0,0,0
043912,PROSPER ISD,10,6395,7.8,13.6,71.8,0.8,2.2,0.1,3.6,10.7,7.4,46,2.6412,5.8754,3.9019,0.1598,0.9083,0,0,0,0.6039
043914,WYLIE ISD,10,13673,13.7,21.4,53.7,0.8,7.5,0.3,2.7,27.7,9.2,372,1.6013,2.4836,1.6678,1.1054,0.9061,0.3360,0.0358,0,1.5930
043917,BLUE RIDGE ISD,10,655,0.3,17.1,80,0.8,0.2,0,1.7,44,7.6,7,0.3247,1.8797,0,0,1.2500,0,0,1,0
043918,COMMUNITY ISD,10,1675,4.8,25.1,67.2,0.6,1,0.1,1.3,42.5,9,120,1.4314,2.6852,0.1736,1.1952,1.0045,0,0.8333,0,0.6410
043919,LOVEJOY ISD,10,3722,1.8,7.8,81.1,0.5,4.9,0.1,3.8,3.6,6.9,8,3.4722,1.8116,6.9444,1.6026,0.7707,0,0,0,3.2895
044902,WELLINGTON ISD,16,611,4.1,49.8,44.2,0.3,0,0,1.6,62.4,11.3,3,0.5342,2.9499,8.1301,0.6693,0.7541,0,1,1,0
045902,COLUMBUS ISD,03,1661,12.9,39,45.9,0.2,0.5,0,1.4,58.2,10.6,135,1.7055,3.7736,4.4215,1.0636,0.0161,0,0,1,0.5291
045903,RICE CISD,03,1259,20.3,53.5,24.8,0.2,0.2,0,1.1,75.7,9.8,157,1.2032,1.6898,2.2277,0.9048,0.2568,0,0,1,0
045905,WEIMAR ISD,03,604,15.2,43,38.9,0,0,0,2.8,51.2,8.1,14,1.8136,0.8818,0.4699,1.9934,0.1836,1,1,1,0
046802,TRINITY CHARTER SCHOOL,13,315,19.7,36.5,40.6,1.6,0,0,1.6,99,35.9,0,1,1,1,1,1,1,1,1,1
046901,NEW BRAUNFELS ISD,13,8265,1.6,46.8,48.9,0.5,0.6,0.1,1.5,38.6,7.6,617,1.8265,4.6490,7.0908,1.3714,0.4673,0,0,0,1.0805
046902,COMAL ISD,13,19436,2.2,37.2,56.4,0.3,1.2,0.2,2.6,30.7,9.2,979,2.0329,2.7535,1.8108,1.4333,0.7045,0.3405,0.0851,0.5107,1.0215
047901,COMANCHE ISD,14,1258,0.4,48.8,49,0.5,0.5,0,0.9,66.2,10.8,3,2.5176,3.0864,83.3333,0.6831,0.6803,0,0,1,0
047902,DE LEON ISD,14,647,1.1,34.5,61.7,0.3,0.3,0,2.2,58.1,9.4,2,0.8606,0,0,1.4493,0.8104,0,0,1,0
047903,GUSTINE ISD,14,230,0.4,61.3,36.1,0.4,0,0,1.7,81.3,11.7,1,1.2300,8.5470,0,1.6313,0,0,1,1,0
047905,SIDNEY ISD,14,133,0,15.8,83.5,0.8,0,0,0,69.2,7.5,1,1.4451,0,1,0,1.1976,0,1,1,1
048901,EDEN CISD,15,235,1.3,57.9,40.4,0,0,0,0.4,67.7,9.4,1,1.4771,10.6383,0,1.7271,0,1,1,1,0
048903,PAINT ROCK ISD,15,229,0,46.3,50.7,0.4,0,0,2.6,68.6,10.9,1,0,0,1,0,1.9724,0,1,1,0
049901,GAINESVILLE ISD,11,2823,7.3,55.5,30.8,0.6,1.1,0,4.7,80.6,7.4,179,1.1021,2.5668,2.7550,0.9462,0.7981,0,0,1,0.5943
049902,MUENSTER ISD,11,480,0.4,3.3,94,0.4,0.8,0,1,14.6,9.8,1,0,10.2041,0,0,1.0638,0,0,1,0
049903,VALLEY VIEW ISD,11,740,0,21.2,74.5,0.5,1.2,0.1,2.4,48.4,9.5,3,0.6887,3.5088,1,1.5723,0.4474,0,0,0,0
049905,CALLISBURG ISD,11,1156,0.6,10.3,86.6,1.2,0.1,0,1.2,48.8,10.4,37,1.3292,1.5593,0,0,1.1547,0,0,1,0
049906,ERA ISD,11,450,0.4,12.4,81.8,1.8,0.2,0,3.3,35.1,6.9,1,2.8490,0,0,0,1.2225,0,0,1,0
049907,LINDSAY ISD,11,487,0.2,3.5,93.6,0.6,1.2,0,0.8,6.4,2.5,1,0,0,0,28.5714,0,0,0,1,0
049908,WALNUT BEND ISD,11,86,0,12.8,83.7,0,0,0,3.5,74.4,7,1,1.3441,0,1,7.8125,0,1,1,1,0
049909,SIVELLS BEND ISD,11,70,1.4,4.3,90,2.9,0,0,1.4,62.9,8.6,2,0.7949,0,0,11.6279,0.5556,0,1,1,0
050901,EVANT ISD,12,243,0.4,24.7,73.7,0.8,0,0,0.4,63.8,9.5,1,1.5674,0,0,0,1.3569,0,1,1,0
050902,GATESVILLE ISD,12,2817,2.3,21.3,71.5,0.5,0.6,0,3.9,49.8,11.8,135,1.6659,2.8249,0.3221,1.1824,1.0256,0,0,1,0.1899
050904,OGLESBY ISD,12,170,0,28.2,70,0,0,0,1.8,70,7.1,0,1,1,1,1,1,1,1,1,1
050909,JONESBORO ISD,12,189,0.5,11.1,87.3,0,0,0,1.1,54,8.5,2,0.9259,0,0,4.5045,0.5727,1,1,1,0
050910,COPPERAS COVE ISD,12,8249,18.6,22.8,45.7,0.8,1.6,1.5,9,51.8,8.4,590,1.3677,1.8765,1.6129,0.7211,0.8753,0,0.1059,0.1130,1.4689
051901,PADUCAH ISD,17,210,12.4,37.6,47.1,1.9,0,0,1,64.8,12.4,0,1,1,1,1,1,1,1,1,1
052901,CRANE ISD,18,1147,2,72.2,25.2,0.2,0.1,0.1,0.3,36.5,7.9,1,0,0,0,1.3850,0,0,0,0,0
053001,CROCKETT COUNTY CONSOLIDATED CSD,15,810,0.6,75.6,23,0.5,0.4,0,0,60.5,7.7,2,0.8264,6.4935,0,0.6614,2.1739,0,0,1,1
054901,CROSBYTON CISD,17,361,4.4,70.6,23.8,0,0,0,1.1,76.5,11.9,0,1,1,1,1,1,1,1,1,1
054902,LORENZO ISD,17,298,6,83.2,10.7,0,0,0,0,87.6,20.8,1,1.1416,4.8077,0,1.2019,0,1,1,1,1
054903,RALLS ISD,17,532,1.1,75.8,22.6,0.2,0.2,0,0.2,85.5,10.3,1,1.1696,0,90.9091,0,0,0,0,1,0
055901,CULBERSON COUNTY-ALLAMOORE ISD,18,459,0,89.8,7.6,0.2,1.1,0.4,0.9,73.2,5.4,2,12.2951,55.5556,1,0.5568,6.5789,0,0,0,0
056901,DALHART ISD,16,1770,1.1,51.8,45,0.2,0.6,0.2,1.1,59.8,6.8,55,2.1587,9.6257,0,0.0351,2.1414,0,0,0,1.6529
056902,TEXLINE ISD,16,156,1.9,49.4,46.2,1.9,0,0,0.6,61.5,9,1,1.6260,0,0,0,2.1645,0,1,1,0
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10,726,21.8,74.2,2.5,0,0.6,0,1,81,7.3,2,9.8765,6.8493,2.2936,0.6739,0,1,0,1,0
057803,UPLIFT EDUCATION - NORTH HILLS PRE,10,2198,5.6,34.3,16.3,0.1,40.4,0,3.2,27.3,4.8,86,2.3426,2.4225,1.6611,1.9662,0.3567,0,0.2590,1,2.1802
057804,TEXANS CAN ACADEMIES,10,4258,28.5,67.7,2.8,0.2,0.4,0,0.3,94.2,11.7,676,0.9752,1.3908,1.7855,0.7080,0.3170,0.7396,0,1,0.4931
057805,DALLAS COMMUNITY CHARTER SCHOOL,10,273,2.2,68.9,23.8,0,1.1,0,4,57.9,8.4,0,1,1,1,1,1,1,1,1,1
057806,ADVANTAGE ACADEMY,10,1630,21,57.1,18.3,0.2,1.2,0.2,1.8,73.6,6.5,158,1.0405,2.2395,1.5672,0.8867,0.8300,3.1646,0,0,0.3516
057807,LIFE SCHOOL,10,4644,48.4,29.6,17.5,0.4,0.8,0.1,3.2,55.4,6.9,483,1.2407,2.0104,1.5229,0.5456,0.4377,0,0,0,0.7764
057808,UNIVERSAL ACADEMY,10,1518,16.6,33.1,1.4,0.2,48.2,0,0.5,42.8,1.9,61,2.0300,0.8628,1.4813,2.1297,1.1710,8.1967,0.0340,1,0
057809,NOVA ACADEMY,10,200,39,59.5,1.5,0,0,0,0,90.5,2.5,0,1,1,1,1,1,1,1,1,1
057810,ACADEMY OF DALLAS,10,603,82.3,16.7,0.8,0,0,0,0.2,54.6,13.8,0,1,1,1,1,1,1,1,1,1
057813,TRINITY BASIN PREPARATORY,10,1732,3.6,94.6,0.5,0.5,0.8,0,0.1,90.5,6.8,1220,1.0207,1.9166,1.5938,0.9938,0.1639,0.1639,0,1,0.8197
057814,ACADEMY FOR ACADEMIC EXCELLENCE,10,535,49.2,39.6,9.7,0,0,0,1.5,100,25.6,0,1,1,1,1,1,1,1,1,1
057815,FAITH FAMILY ACADEMY OF OAK CLIFF,10,2182,37.1,61.3,1.4,0.1,0,0,0.1,96,4.8,125,1.4833,2.8333,2.6523,0.0131,0.5714,0,1,1,0
057816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,1991,97.7,1.6,0.2,0.1,0.1,0.2,0.2,82.4,6.4,0,1,1,1,1,1,1,1,1,1
057817,FOCUS LEARNING ACADEMY,10,888,91.7,7.9,0.3,0.1,0,0,0,82.4,15.8,231,1.1295,1.7535,1.0811,0.0548,0,0,1,1,1
057819,JEAN MASSIEU ACADEMY,10,196,27,62.2,9.7,0,0,0,1,93.4,10.7,12,1.4276,0.7788,2.7778,0.1340,0.8591,1,1,1,8.3333
057825,HONORS ACADEMY,10,759,19,54.2,23.7,0.4,0.3,0.3,2.2,74.6,9.2,3,0.4468,3.6232,1.7544,0.6150,1.4065,0,0,0,0
057827,NOVA ACADEMY (SOUTHEAST),10,680,40.1,57.5,1.5,0,0,0.1,0.7,93.8,6.2,17,0.0627,0.9488,1.4669,0.7161,0,1,1,0,0
057828,WINFREE ACADEMY CHARTER SCHOOLS,10,1406,16,38.7,40.2,1.3,1.6,0.4,1.8,53.9,13.9,378,1.0798,1.2561,1.1409,0.9707,1.0135,0.2035,0.1653,0.6614,1.4697
057829,A+ ACADEMY,10,994,3.5,90,4.2,0,0,0,2.2,93.2,10.4,5,1.0730,0,0,1.1111,0,1,1,1,0
057830,INSPIRED VISION ACADEMY,10,1081,10.9,87.7,0.8,0.1,0.1,0.1,0.3,90.7,8.5,123,0.7171,2.5825,2.5360,0.8065,1.0163,0,0,0,2.7100
057831,GATEWAY CHARTER ACADEMY,10,779,97.4,1,0.4,0.3,0.8,0,0.1,86.4,7.8,2,16.7824,6.4103,0.5133,0,0,0,62.5000,1,0
057832,ALPHA CHARTER SCHOOL,10,115,26.1,53.9,17.4,0,0.9,0,1.7,60,13,0,1,1,1,1,1,1,1,1,1
057833,EDUCATION CENTER INTERNATIONAL ACA,10,362,24.9,24,41.2,0.6,7.7,0,1.7,41.2,8,48,1.4664,3.9062,2.2590,0.0868,0.9608,0,0.2706,1,0
057834,EVOLUTION ACADEMY CHARTER SCHOOL,10,536,47.2,40.9,8.6,1.3,0.6,0,1.5,69.2,12.3,201,1.0425,0.9303,1.4230,0.7785,0.0579,0,0,1,0.3317
057835,GOLDEN RULE CHARTER SCHOOL,10,1349,9.2,89,1,0.1,0.8,0,0,97.9,3.6,44,0.0232,5.0505,0.2470,1.0725,2.2727,0,0,1,1
057836,ST ANTHONY SCHOOL,10,311,98.7,1.3,0,0,0,0,0,67.8,5.8,42,1.2993,3.6946,1.0132,0,1,1,1,1,1
057837,KIPP DALLAS-FORT WORTH,10,564,48.2,48.9,2.1,0.4,0,0,0.4,94.5,5.7,67,0.0158,1.5711,1.4244,0.6410,0,0,1,1,0
057838,UPLIFT EDUCATION - PEAK PREPARATOR,10,1943,12.6,82.6,2.7,0,0.8,0.2,1.2,83.9,7.1,103,1.4118,3.0083,0.0771,1.1871,0,1,1.2136,0,0
057839,LA ACADEMIA DE ESTRELLAS,10,1058,1.2,97.4,1.1,0.1,0,0,0.1,94.5,9.7,3,0.3527,27.4914,27.7778,0.3422,30.3030,0,1,1,0
057840,RICHLAND COLLEGIATE HIGH SCHOOL,10,458,17.9,23.4,27.5,0.2,29,0.2,1.7,18.3,0,0,1,1,1,1,1,1,1,1,1
057841,RECONCILIATION ACADEMY,10,203,16.3,80.3,2.5,0,0.5,0,0.5,97.5,4.4,17,1.4480,1.3369,0.3609,1.0988,2.3529,1,0,1,0
057842,UPLIFT EDUCATION - WILLIAMS PREPAR,10,2335,6.2,92,0.7,0.1,0.6,0,0.4,91.1,5.2,169,1.0262,2.8448,2.6723,0.9069,0,0,0,1,0
057843,UPLIFT EDUCATION - HAMPTON PREPARA,10,950,68.8,28.6,0.8,0.1,0.3,0,1.3,74.6,6.1,143,1.3311,2.1781,1.4230,0.0245,0.8741,0,0,1,0.5379
057844,MANARA ACADEMY,10,494,23.5,3.2,24.9,0,46.6,0,1.8,49.8,6.1,3,6.6934,5.4645,1.4184,0,1.3387,1,0,1,18.5185
057845,UME PREPARATORY ACADEMY,10,392,6.4,19.4,63,0.5,8.2,0,2.6,17.1,5.4,2,2.9240,0,0,2.5773,0.7937,0,0,1,0
057846,LEGACY PREPARATORY,10,980,23.8,54.6,15.6,0,3.7,0,2.3,74.2,4.8,24,0.0562,0.8681,1.9258,0.7631,0.2671,1,1.1261,1,1.8116
057847,VILLAGE TECH SCHOOLS,10,636,31.4,30.2,30.2,0.2,1.9,0.2,6,27.5,0.8,17,1.7112,0,2.6227,0.1948,0.1948,0,0,0,0.9804
057848,INTERNATIONAL LEADERSHIP OF TEXAS,10,2499,19,55.9,17.7,0.4,5.5,0,1.4,54.9,4.4,272,1.2925,2.5067,1.7802,0.8616,0.9762,0,0.0668,1,0.2626
057903,CARROLLTON-FARMERS BRANCH ISD,10,26289,16.5,54.9,16,0.3,10.5,0.1,1.6,62.4,9,3576,1.3453,1.5411,1.9389,1.0442,0.5069,0.0932,0.1145,0.2796,0.8214
057904,CEDAR HILL ISD,10,7848,66,23.2,6.4,0.4,1.3,0.1,2.7,68.2,8.4,1982,1.1792,2.1023,1.2170,0.6068,0.5755,0.1261,0.0388,0,0.6727
057905,DALLAS ISD,10,159487,23.4,69.8,4.7,0.4,1.2,0.1,0.5,89.2,7.4,25124,1.0390,2.0606,2.2373,0.6332,0.4683,0.8060,0.2720,0.1990,1.1543
057906,DESOTO ISD,10,9399,77.5,17.8,2.9,0.2,0.3,0,1.2,65.9,9.7,1882,1.1441,1.7036,1.1127,0.6239,0.6230,0.2657,0.1771,1,0.6199
057907,DUNCANVILLE ISD,10,13074,40.6,50.2,5.7,0.8,1.8,0.1,0.9,74.8,9.1,3972,1.0774,1.8038,1.5490,0.6409,0.5919,0.0315,0.2518,0.2518,1.1749
057909,GARLAND ISD,10,57504,17.2,50.8,21.3,0.5,8.2,0.1,2,60.9,8.6,7778,1.1672,2.6132,2.2178,0.8534,0.6839,0.5400,0.1881,0,1.0607
057910,GRAND PRAIRIE ISD,10,27637,17.5,65.4,11.8,0.3,3.3,0.1,1.7,71.8,8.9,163,1.1706,2.4126,1.9281,0.9850,0.0520,0,0,6.1350,0.3609
057911,HIGHLAND PARK ISD,10,7012,0.5,5,88.2,0.2,4.3,0.1,1.6,0,7.1,2,1,70.4225,0,10.0000,0.5669,0,0,0,0
